row_principle,col_principle,feature_type,mean_group_a,mean_group_b,delta_group_a_minus_group_b,welch_t,welch_p,permutation_p,fdr_p,hedges_g,bootstrap_ci_low,bootstrap_ci_high,significant_fdr_0_05
Authority,Authority,diagonal,0.9398526508334174,0.9462612578370265,-0.006408607003609124,-4.516444527374824,6.322640551285135e-06,0.004975124378109453,0.006965174129353233,-0.05624217609670972,-0.00891864081298043,-0.0037791789280307267,True
Authority,Liking,cooccurrence,0.8294052585951459,0.8419077891462803,-0.012502530551134372,-4.078337786430654,4.55284755892033e-05,0.004975124378109453,0.006965174129353233,-0.05118145523271196,-0.01834694829128238,-0.00682556891965101,True
Authority,Reciprocity,cooccurrence,0.4160221395861072,0.5193669418560912,-0.10334480226998405,-27.576478286538432,2.9791478618661988e-164,0.004975124378109453,0.006965174129353233,-0.3533753143214665,-0.11132564919891227,-0.09557772134660412,True
Authority,Social Proof,cooccurrence,0.3425064436105765,0.3670960662030856,-0.024589622592509075,-7.795867397186166,6.767677194719857e-15,0.004975124378109453,0.006965174129353233,-0.10504019290029933,-0.03149925690345364,-0.018204063925876587,True
Authority,Scarcity,cooccurrence,0.0700271036834922,0.06469379808606247,0.005333305597429727,5.617287282464654,1.9785431530563958e-08,0.004975124378109453,0.006965174129353233,0.08253004313329418,0.0036122372659526717,0.007515514575505051,True
Authority,Commitment,cooccurrence,0.023674565571256086,0.02338693951385001,0.0002876260574060756,0.9049296663954939,0.36551810587855926,0.35323383084577115,0.3904163393558523,0.013013733628557332,-0.00027536250280304765,0.0009673676058579981,False
Liking,Liking,diagonal,0.8771067862512208,0.8772553448296235,-0.00014855857840267994,-0.05096268732095761,0.9593557630730594,0.9601990049751243,0.9601990049751243,-0.0006478670733356531,-0.005819239448205507,0.005652514038465581,False
Liking,Reciprocity,cooccurrence,0.3921174861861505,0.49809065237276695,-0.10597316618661645,-27.69890194013161,9.45476908383819e-166,0.004975124378109453,0.006965174129353233,-0.3516347868075262,-0.11365356107064853,-0.09689873549372521,True
Liking,Social Proof,cooccurrence,0.3164099416584905,0.3502055127325141,-0.03379557107402359,-10.717019634280701,1.0238189198931307e-26,0.004975124378109453,0.006965174129353233,-0.14228945269331408,-0.04022022785013541,-0.027683305591263314,True
Liking,Scarcity,cooccurrence,0.06491589333834052,0.06170312846659523,0.003212764871745294,3.4128090516881597,0.00064484605828107,0.004975124378109453,0.006965174129353233,0.04980342456114361,0.0014529026932955603,0.005208209895446686,True
Liking,Commitment,cooccurrence,0.022267234176427324,0.02236112219864857,-9.388802222124598e-05,-0.2957781922030326,0.7674037768501301,0.7512437810945274,0.7888059701492538,-0.0042328292224577254,-0.0006627306071571941,0.000594512979649366,False
Reciprocity,Reciprocity,diagonal,0.42819338707920324,0.5297891237333305,-0.1015957366541273,-27.783836624763655,1.2035833560542832e-166,0.004975124378109453,0.006965174129353233,-0.3563472519285369,-0.1093213088934209,-0.09414341011027633,True
Reciprocity,Social Proof,cooccurrence,0.209847057346617,0.2537968312669176,-0.04394977392030061,-13.47052403721763,3.770479493375529e-41,0.004975124378109453,0.006965174129353233,-0.1803030528939787,-0.05024588387323911,-0.0364547155055796,True
Reciprocity,Scarcity,cooccurrence,0.047855478437787494,0.04626301751410822,0.0015924609236792758,1.7221233179808786,0.08506995364560883,0.06467661691542288,0.08488805970149253,0.025131917836821414,-5.3877542338100115e-05,0.00362561699481632,False
Reciprocity,Commitment,cooccurrence,0.01616887069855157,0.016592684980539448,-0.000423814281987879,-1.3490456529044188,0.17734387188015782,0.15422885572139303,0.19051799824407373,-0.019370743262476776,-0.0010042910391143574,0.00025749571582321684,False
Social Proof,Social Proof,diagonal,0.3508596452772636,0.37377594891851973,-0.02291630364125613,-7.45135522410709,9.686967965887042e-14,0.004975124378109453,0.006965174129353233,-0.10054286004410846,-0.02960260651694022,-0.016729624397381068,True
Social Proof,Scarcity,cooccurrence,0.04327077896905656,0.03473489110511399,0.00853588786394257,9.729164479468519,2.7129936502436444e-22,0.004975124378109453,0.006965174129353233,0.1463725655245959,0.006973020023933582,0.010620670184370068,True
Social Proof,Commitment,cooccurrence,0.014221368856362267,0.012348823299077629,0.0018725455572846383,6.426614250257441,1.3501066735440673e-10,0.004975124378109453,0.006965174129353233,0.09526034867542481,0.0013461345276163605,0.0024911495973105368,True
Scarcity,Scarcity,diagonal,0.07111767621745274,0.06567213641481459,0.00544553980263815,5.7880248528464895,7.2825479360604636e-09,0.004975124378109453,0.006965174129353233,0.08517003102929167,0.0037037385348786217,0.007600070983575013,True
Scarcity,Commitment,cooccurrence,0.0038341476389653563,0.0024891528213169764,0.00134499481764838,12.229060773013215,3.5807745675494687e-34,0.004975124378109453,0.006965174129353233,0.1932434163302662,0.001161068397532743,0.0015498268543832378,True
Commitment,Commitment,diagonal,0.024152344808802628,0.023819995970370485,0.00033234883843214283,1.0567892797156169,0.29062593384181656,0.26865671641791045,0.31343283582089554,0.015218855859210527,-0.00022478184198983141,0.0010222682260405546,False
