stage,hw_precision,hw_recall,hw_accuracy,hw_fpr,hw_fnr,hw_f0_5,hw_f1,hw_f2,hw_mcc,llm_precision,llm_recall,llm_accuracy,llm_fpr,llm_fnr,llm_f0_5,llm_f1,llm_f2,llm_mcc
S1,0.6342412451361867,0.24219910846953938,0.7740366629255518,0.047,0.7578008915304606,0.479129923574368,0.35053763440860214,0.27636486944727023,0.28739905321266257,0.39416604338070305,0.7830609212481426,0.6423494201271979,0.405,0.21693907875185736,0.43763494436140177,0.5243781094527363,0.6540084388185654,0.3281824746846828
S2,0.791970802919708,0.2176529588766299,0.5804511278195489,0.05711422845691383,0.7823470411233701,0.5183946488294314,0.34146341463414637,0.2545753167526983,0.23319914692005345,0.4964131994261119,0.34704112337011034,0.49774436090225566,0.3517034068136273,0.6529588766298897,0.4570673712021136,0.4085005903187721,0.36926360725720386,-0.004889424984960705
S4,0.8851878100637846,0.21272247296261604,0.445243202504493,0.05884489647657101,0.787277527037384,0.5423125352785376,0.34301407483693785,0.2508334337470378,0.19391725330900236,0.9824663939216832,0.4294473303244486,0.6063539915357412,0.01634580457682528,0.5705526696755514,0.7812548412083656,0.5976534723868215,0.48392668649841664,0.42121048031340164
S5,,,,,,,,,,0.9923076923076923,0.8403908794788274,0.9169381107491856,0.006514657980456026,0.15960912052117263,0.9576837416481069,0.91005291005291,0.8669354838709677,0.8438235859714008
S6-MPG,0.7937219730941704,0.22125,0.581875,0.0575,0.77875,0.5230496453900709,0.3460410557184751,0.25854513584574934,0.23640240693231818,0.7672672672672672,0.32506361323155214,0.6151898734177215,0.09760705289672544,0.6749363867684478,0.6031633616619453,0.45665773011617516,0.36741443773367843,0.2788461470859393
S6-UTA,0.8014018691588785,0.214375,0.580625,0.053125,0.785625,0.5178140096618358,0.33826429980276135,0.2511716461628588,0.23686517228885215,0.680731364275668,0.3025,0.5803125,0.141875,0.6975,0.5445544554455446,0.418866291648637,0.3403178174658979,0.1931905481170264
S6-fuzzer,0.8752260397830018,0.22,0.4590909090909091,0.06272727272727273,0.78,0.5485040797824116,0.35161641845259717,0.2587405110659681,0.1985039739748111,0.7863013698630137,0.2609090909090909,0.46,0.14181818181818182,0.7390909090909091,0.560546875,0.3918088737201365,0.3011542497376705,0.13525654879053153
S8-deepseek,,,,,,,,,,0.8803827751196173,0.24533333333333332,0.606,0.03333333333333333,0.7546666666666667,0.5800756620428752,0.38373305526590196,0.28669367404175755,0.30609825947298713
S8-llama,,,,,,,,,,0.7890520694259012,0.394,0.6443333333333333,0.10533333333333333,0.606,0.6572508896797153,0.5255669186305024,0.43784264335457107,0.3334718969447074
S8-ministral,,,,,,,,,,0.8643006263048016,0.276,0.6163333333333333,0.043333333333333335,0.724,0.6059718969555035,0.4183931278423446,0.31949374903534494,0.3175932382130451
