subject,body,label,model_prediction
Technical glitch in website analytics,"Hello support team, I am contacting you to notify about a problem with the analytics on our website. It unexpectedly ceased to function, and we have not been able to pinpoint the reason. We have already performed checks, verifications, and software restarts, yet the problem persists. We suspect the issue may be related to recent code adjustments or a software update gone wrong. Kindly examine this situation and offer a prompt solution. We would be grateful for any help you can provide to resolve this issue as it is essential for our business operations. We rely on accurate analytics for decision-making, and we need this functionality to be operational. Thank you for your assistance and time.",0,1
"2025 Employee Work Manual, Benefits & Payroll Plan","You Have Received (1) New Document For Your Review Document Type: Excel Document Name: 2025 Employee Work Manual, Payroll & Incentives Document Date: 01/22/2025 Open [link] Notice: Confidential patient safety work product document communication. Protected from disclosure pursuant to the Patient Safety and Quality Improvement Act (42 CFR, Part 3) and other state and federal laws. Unauthorized disclosure or duplication is prohibited. Disclaimer: This electronic message may contain information that is Proprietary, Confidential, or legally privileged or protected. It is intended only for the use of the individual(s) and entity named in the message. If you are not an intended recipient of this message, please notify the sender immediately and delete the material from your computer. Do not deliver, distribute or copy this message and do not disclose its contents or take any action in reliance on the information it contains.",1,1
Bank of the West Reminder: Client Details Form! (mess_id: wi2132778868059),[],1,1
Login Problem Encountered on Friday,"On Friday, you faced a login issue. This might have been due to an old browser cache. You tried to solve it by clearing the cache and restarting the browser.",0,1
Overdue: Customer 525560882 - 15 days,"Please contact customer immediately:

Invoice: 2561167
Amount: €490,298
Days overdue: 87
Last contact: 20 days ago

Customer threatening to switch suppliers but owes us money!

Othmar",0,1
"Medical data encryption failure reported, possible glitch or configuration issue",We are experiencing a sudden failure in medical data encryption. This may be due to a software glitch or configuration error. We have already restarted the servers and reviewed the firewall settings.,0,1
Security Protocols for Medical Data Storage on IBM Cloud,I require details on the recommended security protocols for storing medical data on IBM Cloud. Can you guide me on how to secure and maintain the integrity of sensitive medical data?,0,1
Health Information Leak Caused by Unapproved Entry Concerns,Installed new firewall and antivirus systems post the incident.,0,1
Overdue: Customer 511568108 - 65 days,"Please contact customer immediately:

Invoice: 2711717
Amount: €467,939
Days overdue: 61
Last contact: 5 days ago

Customer threatening to switch suppliers but owes us money!

Cory",0,1
Your ATM Visa Card Will Be Shipped Through USPS To Your Address,"Internal Revenue Service (U.S.)
Main Address: 1111 Constitution Ave., NW
Washington, DC 20224

Attention Dear

Your ATM Visa Card Will Be Shipped Through USPS To Your Address ,

I am Mr. Danny Werfel, commissioner of the IRS Department. This is to inform you officially that after our investigations with the Federal Bureau of Investigation (FBI), Central Intelligence Agency (CIA) and other Security Agencies in the Country for the Past Months, we discovered that you have not received your funds. I have made it my first point of call since taking office to settle all Outstanding Payments accrued to Individuals or Corporations with respect to local and overseas contract payment, Debt Rescheduling and Outstanding Compensation payment. This is to make sure all Outstanding payments are settled by June, ending 2024. On Behalf of the entire staff of the U.S. Department of State and the United Nations in collaboration with World Bank, we apologize for the delay of your payment,

However, from the records of outstanding beneficiaries due for payment with the U.S, Your name was discovered as next on the list of the outstanding payment who has not yet received their payments.Note that from the record in my file, your outstanding contract payment is $20,500.Million (Twenty Million Five Hundred Thousand United States Dollars loaded in an ATM Visa Card that allows you to make a withdrawal from your card.

I have your file here in my office and it says that you are yet to receive your fund valued at $20,500.Million (Twenty Million Five Hundred Thousand United States Dollars This Funds will now be delivered to your designated address or your preferred payment option. We have perfected all modules on how to bring this fund to your house without any problem, but be aware that the United Nations and the United States Government has only authorized my office to release the Sum of $20,500.Million (Twenty Million Five Hundred Thousand United States Dollars to you as true beneficiary of the Fund.

Note that your loaded ATM Visa Card will be mailed to you through Priority Mail Express (USPS) to your designated address immediately you admit full compliance to this email. You are advised to kindly reply this email with the below details enclosed to help ensure safe mailing of your ATM Visa Card:

Your Full Name:
Age and Occupation:
Country of Residence:
Name of City of Residence:
Your Contact House Address:
Direct Mobile Telephone Number:
ID Card, DL or Passport Copy:

NOTE: Every documentation proof for your fund has been packaged and sealed to be mailed together with your Visa Card to your address. Therefore, the only obligation required of you by the laws of the Government of United States and the financial Monetary Policy of the Supreme Court, states that; you as a beneficiary must officially obtain the clearance certificate from the Supreme Court of USA,

so that by the time your funds get to you, no authority will question the funds as it has been legally certified from all financial Malpractices and facets. The clearance certificate is valued at a cost of just ($125) The fee payment can be made VIA Ebay card or iTunes Card immediately for quick and easy obtain the documents which will show that the transaction was made through the full capacity of the Government and will not be queried for certain circumstance

As soon as the above mentioned details are received, The clearance certificate will be secured on your behalf immediately. I need all the compliance that I can get from you to ensure we get this project accomplished. Personally, I am very sorry for the delay you have gone through in the past years. Thanks for adhering to these instructions which are meant for your sole benefit, once again accept my congratulations in advance. Thanks for your cooperation as your quick response to this email notice with adherence to the above instructions is highly anticipated.

Treat with urgency,

Yours Sincerely,
Danny Werfel, commissioner of the IRS Department USA,
Your ATM Visa Card Will Be Shipped Through USPS To Your Address,",1,1
