feature_a,feature_b,cell_slug,contribution_type,group_size,background_size,mean_group_contribution,mean_background_contribution,max_group_contribution,top_doc_count_used
Authority,Authority,authority__authority,diagonal,5792,92384,0.7076133097375692,0.9120729547973675,1.0,400
Authority,Liking,authority__liking,cooccurrence,5792,92384,0.3398284051440102,0.6808206674172689,1.0,400
Authority,Reciprocity,authority__reciprocity,cooccurrence,5792,92384,0.21188874247500591,0.38126902094991627,0.999998,400
Authority,Social Proof,authority__social_proof,cooccurrence,5792,92384,0.15006865971362846,0.2932668547017794,0.999991,400
Authority,Scarcity,authority__scarcity,cooccurrence,5792,92384,0.03557955526846685,0.059181290509790103,0.869076,400
Authority,Commitment,authority__commitment,cooccurrence,5792,92384,0.011837675596872927,0.020159255854503278,0.525503,400
Liking,Liking,liking__liking,diagonal,5792,92384,0.3694528848411602,0.7140127369024939,1.0,400
Liking,Reciprocity,liking__reciprocity,cooccurrence,5792,92384,0.1307424573254444,0.33564572817877736,0.9999760000440001,400
Liking,Social Proof,liking__social_proof,cooccurrence,5792,92384,0.1058688696445463,0.25574922578889775,0.999969000198,400
Liking,Scarcity,liking__scarcity,cooccurrence,5792,92384,0.029286015131450103,0.052307482598583456,0.869076,400
Liking,Commitment,liking__commitment,cooccurrence,5792,92384,0.009894065984601519,0.0179876801163775,0.525503,400
Reciprocity,Reciprocity,reciprocity__reciprocity,diagonal,5792,92384,0.2906467097720994,0.39653194964496014,0.999998,400
Reciprocity,Social Proof,reciprocity__social_proof,cooccurrence,5792,92384,0.08266002259110601,0.17172133124276645,0.9999890000180001,400
Reciprocity,Scarcity,reciprocity__scarcity,cooccurrence,5792,92384,0.0224722176243586,0.0375037836305587,0.8689647582719999,400
Reciprocity,Commitment,reciprocity__commitment,cooccurrence,5792,92384,0.0076440513952030385,0.012856354400523306,0.5254357356160001,400
Social Proof,Social Proof,social_proof__social_proof,diagonal,5792,92384,0.1836427280732044,0.3028905430161067,0.999991,400
Social Proof,Scarcity,social_proof__scarcity,cooccurrence,5792,92384,0.020265400975292128,0.03182982141753011,0.868095682272,400
Social Proof,Commitment,social_proof__commitment,cooccurrence,5792,92384,0.006824931028789193,0.010768267378852843,0.524910232616,400
Scarcity,Scarcity,scarcity__scarcity,diagonal,5792,92384,0.038094562154696136,0.06073508027364046,0.869076,400
Scarcity,Commitment,scarcity__commitment,cooccurrence,5792,92384,0.0029479704486778313,0.0030234869145812806,0.456702045228,400
Commitment,Commitment,commitment__commitment,diagonal,5792,92384,0.012650243093922651,0.02078193453411846,0.525503,400
