stage,hw_precision,hw_recall,hw_accuracy,hw_fpr,hw_fnr,hw_f0_5,hw_f1,hw_f2,hw_mcc,llm_precision,llm_recall,llm_accuracy,llm_fpr,llm_fnr,llm_f0_5,llm_f1,llm_f2,llm_mcc
S1,0.533210332103321,0.8588410104011887,0.7751589973812196,0.253,0.1411589895988113,0.5769614693551607,0.6579396698918611,0.7653601694915254,0.5355556536640032,0.38747675139491633,0.9286775631500743,0.6124205013093902,0.494,0.0713224368499257,0.43859649122807015,0.5468066491688539,0.7259001161440186,0.38567335632638805
S2,0.7650709219858156,0.8655967903711134,0.8,0.2655310621242485,0.13440320962888666,0.7832637502269014,0.812235294117647,0.8434323690383112,0.6052678062288607,0.5406075635461872,0.8746238716148446,0.5659147869674186,0.7424849699398798,0.12537612838515547,0.5853134648946168,0.668199233716475,0.7784324227816461,0.16791700416549182
S4,0.880232856775961,0.875585455164779,0.8341932865673373,0.2540864511442063,0.12441454483522098,0.879299433868678,0.8779030054644809,0.8765110054046681,0.6196671099166682,0.931194177968905,0.4794345567572171,0.6214853034958548,0.07555394115510353,0.520565443242783,0.7835332758092799,0.6329754342571252,0.53095175223509,0.39460211085976504
S5,0.7568710359408034,0.8745928338762216,0.7968241042345277,0.28094462540716614,0.1254071661237785,0.7778099652375434,0.8114846996599925,0.8482072342441952,0.6009619180968087,0.9013761467889908,0.9600977198697068,0.9275244299674267,0.10504885993485343,0.039902280130293157,0.9125386996904025,0.9298107255520505,0.9477491961414791,0.8568691024656853
S6-MPG,0.7769823788546255,0.881875,0.814375,0.253125,0.118125,0.7959160649819494,0.8261124121779859,0.8586903602726388,0.6345590079556654,0.8029637760702525,0.914375,0.845,0.224375,0.085625,0.823019801980198,0.8550555230859147,0.8896862077353442,0.6967392525471765
S6-UTA,0.7790762381747357,0.875,0.8134375,0.248125,0.125,0.7965407373691398,0.8242566970856638,0.8539709649871904,0.6316813560263851,0.7628687102371313,0.824375,0.7840625,0.25625,0.175625,0.7744246124941288,0.792430159206969,0.8112929019559602,0.5699805685687525
S6-fuzzer,0.879798903107861,0.875,0.8369696969696969,0.2390909090909091,0.125,0.8788349159970782,0.8773928896991796,0.8759555879140881,0.6342006228400073,0.669826224328594,0.7709090909090909,0.593939393939394,0.76,0.2290909090909091,0.6878650227125244,0.716821639898563,0.7483233321567243,0.012169809587780887
S8-deepseek,0.7809694793536804,0.87,0.813,0.244,0.13,0.7972873900293255,0.8230842005676443,0.8506061791161518,0.6301078306719015,0.780195865070729,0.478,0.6716666666666666,0.13466666666666666,0.522,0.6926197836166924,0.5928069450186028,0.5181384593149299,0.37240322494891887
S8-llama,0.7779090372120496,0.878,0.8136666666666666,0.25066666666666665,0.122,0.7960589941972921,0.8249295333542124,0.855972962433381,0.6325914977975532,0.7825494205862304,0.7653333333333333,0.7763333333333333,0.21266666666666667,0.23466666666666666,0.7790445168295331,0.7738456353218739,0.76871568233561,0.5528004605691459
S8-ministral,0.7825567502986858,0.8733333333333333,0.8153333333333334,0.24266666666666667,0.12666666666666668,0.799170326988775,0.8254568367989918,0.853531404743289,0.6349530995168529,0.7591145833333334,0.7773333333333333,0.7653333333333333,0.24666666666666667,0.22266666666666668,0.7626896912611199,0.7681159420289855,0.773619957537155,0.5308195647217979
