subject,body,label,model_prediction
Get auto protection for a low month-to-month cost,"<img src=""http://162.0.228.240/track/3cuHCc4077IIAp15rrrwyziawv308RJCJQXYFGKUQXPM707GLBZ1209883j20"" width=""1"" height=""1"">
<img src=""//162.0.228.240/track/3nDvqf4077hbwZ15jpugtffmgb308GAHKCZIFLDXKHBC707YSLH1209883a20"" width=""1"" height=""1"">
</tr>

<center>
<a href=""https://t.co/6fS2hMWXt8"">
<h2> Protect yourself against costly auto repair bills
</h2>
<br>
<img src=""https://zupimages.net/up/24/33/866v.png"">
</a>
<br>
<img src=""//zupimages.net/up/24/33/866v.png"">
</a>
<br>
<a hre""https://t.co/SYYiLTlc8u"">
<br>
<br>
<img src=""https://zupimages.net/up/24/18/rnfc.png"">",1,0
Customer Support Ticket,Update marketing strategy to enhance brand visibility through targeted digital campaigns and increased social media engagement to reach customers.,0,0
"Fw: ""How I jumpstarted my weight loss!""","________________________________
De: help@n2tCcHXSS9JmKUZiDoEFcean7.net <help@n2tCcHXSS9JmKUZiDoEFcean7.net> em nome de KETO Exclusive ®Ís .
Enviado: sexta-feira, 17 de fevereiro de 2023 03:45
Para: phishing@pot <merciayanmact@hotmail.com>
Cc: phishing@pot <merciayanmact@hotmail.com>
Assunto: ""How I jumpstarted my weight loss!""

[https://zupimages.net/up/23/07/3zhm.png][X]<https://1260870584.rsc.cdn77.org/xdd.html#Q0JEZy8xZ1hEczBGemc3M0VVZ3dQdFdVMHFnUCtrRUpxWllSeEczcjFrSkEvaXFVd3JVeEdLbGUyL2JuTkFtdWxsaGhJMGdnUitJNEN1a2M3L2E2U1Jlcm5zd09yWkxmZ015VXp0NkJtb1V5c2xwWGJoZzUwQml5LzVGZnVBQmhtL3RXaFlSZy9TS2RGSzlvc1FYb1N3PT0_>

[https://zupimages.net/up/23/07/eh3y.png][X]<https://1260870584.rsc.cdn77.org/xdd.html#TXRvekxMUXltQ0lkQUIyOHl1WXp6c3g1NC8yQzFPNEdDTkdVT0FxdStCbzZPRVkwZVhPcTlUdWVHUHhqdnRMdE05RmI1MWU5aTMwVTJWUmNmenNUZENYZVJES2lKYkJQZXozazN6SHpjVi9QUFNJZ2VCOXVCaVhla3JLelF2bTd2RWhGMkxoSEMvQ2ovSG90WGY0aUJBPT0_>

[https://1260870584.rsc.cdn77.org/xdd.html#RjRKSTZDeGpJNkQ4bExrbmxhTFNTNWpVZkRkUm5FVWRGKy9iR2dBOUxoRWJrbExYckR2L2thekFoK0ZPaFVESVQvNVpnVzJOTWMwVGNFOXJ6UnNjZzVxMEJWN3Y0QXhQeCs4VmhzZzFDdFc2RHhKRE9uUG1MU3lCbGRRTVdBaS9hejY4U3N1SHEyNkZuYi8xTExMcFJBPT0_]",1,0
Pipeline Update - January 09,"Morning update:

Opportunities in progress: 8
Value in pipeline: €204,093
Closes this week: 3

Key activities today:
- Customer meetings: 5
- Proposals to send: 3
- Follow-ups needed: 4

Gerlind",0,0
Support for Security Breach,"Dear Customer Support Team, we have detected a security breach that may have affected the integrity of medical data due to unauthorized access and a system vulnerability. We have already implemented security patches and conducted initial audits. We require your immediate assistance and guidance. The breach has potentially compromised sensitive patient information and we are concerned about the implications of this incident. We would greatly appreciate if you could provide us with additional support and recommendations to ensure the security and integrity of our systems.",0,0
January 2025 Staff Report for all employees,"CMU archived phishing listing entry.

Date: 1/10/25
Target Audience: Staff/Faculty
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/staff-report-for-all-employees.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,0
Login Failure,"Dear Customer Support, I am writing to inform you about an unexpected login failure that suddenly happened. This issue might be related to the recent security update. Despite restarting my browser and clearing the cache, the problem still exists. I would greatly appreciate any assistance you can provide in resolving this matter as soon as possible. Please let me know if you need any additional information from me. I am looking forward to your response. Thank you for your time and help. Sincerely, [Your Name]",0,0
Ze fantaseert al over jou — ga je haar verrassen?,"DURF JIJ TE FLIRTEN VANAVOND?

Ondeugende singles wachten al op jou…

Op SEXYFLIRTZ draait alles om spanning, verleiding en speelse
momenten. De vrouwen hier weten precies hoe ze je laten blozen én
lachen. Eén klik… en je inbox staat vol pikante verrassingen. 😉

Verleidelijke blikken, speelse berichtjes en complimenten die je niet
meer loslaten…
Ben jij in voor een ondeugend gesprekje of misschien een vurige online
connectie? Hier kan en mag alles – flirten, plagen en verleiden tot
diep in de nacht. _Geen regels, alleen pure passie._

Klaar om een beetje stout te doen? Jouw flirt wacht al op je…

Begin je SexyFlirt Nu
[http://mail.learn2more.biz/index.php/campaigns/fz1315qj25042/track-url/gv8695bf8f740/0cb1794416ea9247165d925f3c7be96d893b4e48]

✨ Gratis aanmelden & direct beginnen met flirten.
Als je geen mail van ons wilt ontvangen, klik dan hieronder op
afmelden
Grote Kerkplein 2
Zwolle Overijssel 8011 PK
Netherlands

Unsubscribe
[http://mail.learn2more.biz/index.php/campaigns/fz1315qj25042/track-url/gv8695bf8f740/056e0735982db0fec43f744dffe9a97c3f738250]",1,0
View your Snapchat messages!,"You have unread messages waiting on Snapchat. View now heart icon Team Snapchat © Snap Inc. 2025 Terms of Service | Privacy Policy | Support 3000 31st Street, Santa Monica, CA 90405, USA Unsubscribe",0,0
Enhancing Investment Strategies Through Data Analytics Support,"Customer Support, seeking guidance on optimizing investments using data analytics for financial products. Would like to know how to leverage data analytics to make informed investment decisions and learn about the tools and features available to help maximize returns. Kindly provide information on resources and support available to assist in getting started. Looking forward to hearing how data analytics can enhance investment strategy. Appreciate your timely assistance.",0,0
Capital One Bank: please confirm your banking details! (message id: 59734143),[],1,0
