stage,email_phishing_detection_v3,llm_guard,oopspam,phishing_email_agent,pyrit_blocklist,pyrit_original,spamassassin
S1,pending,done,missing,done,pending,pending,done
S2,pending,done,missing,done,pending,pending,done
S4,pending,done,missing,done,pending,pending,done
S5,missing,missing,missing,missing,missing,missing,done
S6-MPG,pending,done,missing,done,pending,pending,done
S6-UTA,pending,done,missing,done,pending,pending,done
S6-fuzzer,pending,done,missing,done,pending,pending,done
S8-deepseek,missing,missing,missing,missing,missing,missing,done
S8-llama,missing,missing,missing,missing,missing,missing,done
S8-ministral,missing,missing,missing,missing,missing,missing,done
