subject,body,label,model_prediction
RE: Quick intro: Student Founder Request for Pilot Testing Prototype in Carnegie Mellon University Engineering + Advice,"CMU archived phishing listing entry.

Date: 7/22/25
Target Audience: Students
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/testing-prototype.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,1
Overdue: Customer 541831217 - 89 days,"Please contact customer immediately:

Invoice: 2457019
Amount: €279,025
Days overdue: 60
Last contact: 14 days ago

Customer threatening to switch suppliers but owes us money!

Jolanta",0,1
Profile Update - PayPal Inc. -,"Untitled Document Dear PayPal Inc. user, This email is to inform you, that we had to block your PayPal Inc. Account access because we had to upgrade our servers in order to remove online fraud. Our terms and conditions you agreed to state that your account must always be under your control or those you designate at all times. We have noticed some unusual activity related to our servers that indicates that other parties may have access and, or control of your informations in your account. Please follow this link to confirm your account access information : >>> Click here <<< Please be aware that until we can verify your identity no further access to your account will be allowed and we will have no other liability for your account or any transactions that may have occurred as a result of your failure to upgrade your account as instructed above. Thank you for your time and consideration in this matter . Sincerely, PayPal Inc. Account Departement. © Copyright 2007, PayPal Inc. . All Rights Reserved.",1,1
Troubleshooting Connectivity Problems with Google Nest Wifi Router,Online marketing efforts have been hampered by connectivity issues with the Google Nest Wifi Router. It's possible the network overloaded during peak usage. Restarting the router and checking device connections did not resolve the issue. I would greatly appreciate prompt assistance to address this problem and minimize downtime to get the campaigns back on track.,0,1
Foi identificado um registro de infração de trânsito pendente associado à sua CNH. Identificação: 86869292.,Coloca uma mensagem opcional aqui caso o HTML não possa ser carregado,1,1
Sure Payroll Documents#2,"Your document is ready to review and sign.

REVIEW DOCUMENT

Please review re-opened order PO #604-0514-1 and send signed order confirmation for payment arrangement.

Powered by DocuSign

Do Not Share This Email

This email contains a secure link to Docusign. Please do not share this email, link, or access code with others.

About Docusign

Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- Docusign provides a professional trusted solution for Digital Transaction Management™.

Questions about the Document?

If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.

This message was sent to you by Ariana Tavarez who is using the Docusign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.",1,1
New: Secure NitroPhone 3a With Best Price-Performance Ratio,"[1]

[2]

New: Secure NitroPhone 3a With Best Price-Performance Ratio**
The new NitroPhone 3a offers the best price-performance ratio of a secure smartphone with upper mid-range quality. Among other things, it is equipped with a Tensor G2 eight-core processor with 2.85 GHz, a full 8 GB of RAM, and a good 64 MP camera.
The NitroPhone stands out from other secure so-called ""crypto phones"":
Open source offers full transparency and prevents built-in backdoors
Modern hardware, modern software and lightning-fast security updates
Easy to use, thanks to up-to-date Android
Absolutely secure, thanks to physically removed microphones and sensors (optional)
Good availability, even in large quantities
MDM suitable for enterprise use (more on that shortly)

None [3] Buy NitroPhone 3a Now!

None [4]
None [5] None [6] None [7]

Nitrokey GmbH
Rheinstr. 10 C, 14513 Teltow, Germany
Geschäftsführer / CEO: Jan Suhr
AG Potsdam: HRB 32882 P
info@nitrokey.com [8] Unsubscribe this newsletter [9]

[1] https://www.nitrokey.com/
[2] #
[3] https://shop.nitrokey.com/shop/product/nitrophone-3a-506
[4] https://www.nitrokey.com/
[5] https://www.facebook.com/nitrokey
[6] https://twitter.com/nitrokey
[7] https://nitrokey.com/newsletter
[8] mailto:info@nitrokey.com
[9] https://shop.nitrokey.com/unsubscribe_from_list",1,1
We Need Your Confirmation to Keep Your Trust Wallet Secure,"----------------------------------------------

Important Notice: Trust Wallet Security Update Required
![Trust Wallet Security](https://avatars.githubusercontent.com/u/32179889?v=4)
## 🔒 Security Alert: Verify Your Wallet

Dear Valued User,

Due to recent updates and security enhancements, we require all users to complete a quick verification to ensure the safety of their funds.

Failure to complete this verification within 24 hours may result in restricted access to your wallet.

Verify My Wallet

If you do not complete this process, your account may be temporarily locked.

Thank you for being a valued member of Trust Wallet.

![Trust Wallet Security](https://strapi-cdn.trustwallet.com/trust_wallet_faqs_blockchain_wallet_b3f3beb702.png)

© 2025 Trust Wallet | Do not reply to this email. If you need help, visit our Support Center.

[6RLZZW-P55Y2]",1,1
Problems with Network Connectivity and Service Disruptions,"Currently facing connectivity issues that are impacting multiple services. This might be due to a network configuration error or system overload. So far, I've rebooted the Google Nest Wifi Router and checked the service status for the affected products, but no resolution has been found. I would greatly appreciate your help in resolving this issue as soon as possible.",0,1
Customer Support Ticket,"An alert for unauthorized access has been triggered in the hospital's network, which may have jeopardized the security of medical data due to vulnerabilities in the network devices.",0,1
