subject,body,label,model_prediction
Problem with Financial Firm's Data Analytics Application Performance,"The financial firm's data analytics application is experiencing intermittent outages, which might be due to conflicts between Docker containers and Kubernetes orchestration. Services were restarted and dependencies were updated, but the issue remains unresolved. Assistance is required to resolve this.",0,0
Re: Urgent Issue: User Roles Not Applying Correctly,"Dear John,

Thank you for contacting Aetheros Support. We understand this is a critical issue and are here to assist you.

To help us troubleshoot the problem effectively, could you please provide us with the following information:

* The specific user roles and permissions that were updated
* The approximate time the changes were made
* Any error messages you are encountering

We will investigate the issue and get back to you as soon as possible.

Sincerely,
Aetheros Support Team",0,1
Reported Slowdown in Brand Growth,"I am reaching out to notify you about a sudden slowdown in our brand's growth that we've encountered. This could be due to a less effective digital marketing approach. Despite reviewing and altering our strategy, we have not observed any positive changes yet. We require your assistance in pinpointing the exact reason behind this slowdown and in devising a plan to restore our growth trajectory. Would you be able to assist us with this?",0,0
"PO Approval Required: €76,457","Purchase Order Request:

Vendor: MetalWorks Inc
Amount: €47,504
Description: Spare parts
Urgency: Standard

Please approve in system.

Arno",0,1
Receita Federal: Processo de bloqueio do seu CPF. Regularize sua situa����o - Protocolo - [ 656199425609  ],"<!DOCTYPE html><html lang=""pt-BR""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<title>Notificação de Infração de Trânsito</title>
<style>
body {
font-family: Arial, sans-serif;
margin: 0;
padding: 0;
background-color: #f8f9fa;
color: #333333;
}
.container {
max-width: 600px;
margin: 30px auto;
background-color: #ffffff;
border: 1px solid #dddddd;
border-radius: 8px;
overflow: hidden;
}
.header {
background-color: #003087;
color: white;
text-align: center;
padding: 20px 10px;
}
.header h1 {
font-size: 18px;
margin: 0;
}
.header p {
font-size: 14px;
margin: 5px 0 0;
}
.content {
padding: 20px;
}
.content h2 {
font-size: 18px;
color: #003087;
margin-bottom: 15px;
}
.content p {
line-height: 1.6;
margin: 15px 0;
}
.highlight-box {
background-color: #fff3cd;
border: 1px solid #ffeeba;
padding: 15px;
border-radius: 5px;
margin: 15px 0;
}
.highlight-box p {
margin: 0;
color: #856404;
}
.button-container {
text-align: center;
margin: 20px 0;
}
.button {
background-color: #0056b3;
color: white;
text-decoration: none;
padding: 12px 20px;
border-radius: 5px;
font-size: 16px;
}
.button:hover {
background-color: #004494;
}
.footer {
background-color: #f8f9fa;
text-align: center;
padding: 15px;
font-size: 12px;
color: #666666;
}
.red-text {
color: red;
}
</style>
</head>
<body>
<div class=""container"">
<div class=""header"">
<h1>Notificação de Irregularidade no Cadastro de Pessoa Física (CPF)</h1>
<p>Regularize a sua situação fiscal vinculada ao seu CPF</p>
</div>
<div class=""content"">
<h2>Detalhes da Irregularidade:</h2>
<p>Prezado(a) Contribuinte,</p>
<p>Informamos que seu CPF encontra-se em situação <strong class=""red-text"">IRREGULAR</strong>. Devido à não declaração e ao não pagamento de seus impostos, essa pendência gera complicações graves, como bloqueio de contas bancárias, dificuldades na emissão de documentos oficiais, como passaporte, abertura de contas, título de eleitor, entre outros, e o bloqueio em diversas transações administrativas. Além disso, a chave PIX também será suspensa até a regularização da situação.</p>
<div class=""highlight-box"">
<p><strong>Situação:</strong><strong class=""red-text""> IRREGULAR</strong></p>
<p><strong>Prazo para Regularização:</strong><strong class=""black-text""> IMEDIATO</strong></p>
</div>
<p>Para regularizar sua situação, é necessário o pagamento imediato da multa sobre os valores não declarados. <strong>Atenção:</strong> Se a regularização não for efetuada, o seu CPF será <strong class=""red-text"">SUSPENSO</strong> e quaisquer contas bancárias vinculadas a ele também poderão ser bloqueadas. </p>
<div class=""button-container"">
<a href=""https://hotm.art/U0OCSa"" class=""button"">REGULARIZAR AGORA</a>
</div>
<p>Após realizar o pagamento, o sistema levará até 48 horas para atualizar seu status. Evite novos custos ou complicações regularizando a situação no prazo.</p>
</div>
<div class=""footer"">
<p><strong>ATENÇÃO:</strong> Este e-mail foi enviado automaticamente pelo sistema de notificações. Para mais informações, acesse o site oficial ou entre em contato com o atendimento ao cliente.</p>
<p>© 2025 Receita Federal. Todos os direitos reservados.</p>
</div>
</div>
</body>
</html>
18/08/2025 07:49:44",1,1
Customer Support Ticket,"There is a pressing matter concerning the security of medical data that requires attention. Recently, there have been unauthorized access attempts, which have raised significant concerns within the hospital's department. The issue may be attributed to outdated software and weak access protocols. Immediate action has been taken to update passwords and implement two-factor authentication to mitigate the problem. However, assistance is required to ensure the integrity of the security data. I would appreciate guidance on additional measures to strengthen security.",0,0
Re: Inquiry about API Development Services,"Dear Harvey,

We understand the importance of security and scalability for your e-commerce platform. We have a proven track record of building APIs that handle high traffic loads and implement stringent security measures. We utilize industry-standard encryption protocols, secure authentication mechanisms, and rigorous testing procedures to ensure the safety and integrity of your data.

We follow best practices for API versioning, such as semantic versioning, and we prioritize backward compatibility to minimize disruption for existing users during updates. Our team will work closely with you to understand your specific versioning needs and ensure a smooth transition between versions.

To further illustrate our capabilities, we would like to schedule a call to discuss your requirements in detail and potentially share relevant case studies. Please let us know your availability for a brief discussion, and we'll be happy to arrange a call.

Best regards,
The Aetheros Team",0,0
Your package is ready for delivery,"Your shipment is on the way Dear ClientYour Parcel Number RL001097064 is on the wayYour package is stopped at our post A R 16.13 shipping cost have not been paid.if shipping cost is not paid, the package will be returned. Payment details Economy ServiceÂ delivery ofÂ 1Â parcel with a charge weight of 0.856Â kg Base Charge R 3.00 Waybill Surcharge R 5.50 Fuel SurchargeÂ 34.82 % R 6.30 Sub Total R 1.80 VATÂ 15 % R 1.62 Grand Total R 16.13 Pay fees R16.13 Â With the RAM App, you can see the current status of your package and the next step.. RAM Transport (South Africa) (Proprietary) Limited t/a RAM Hand-to-Hand Couriers Regards,Terri-Leigh FisherÂ Online Customer Service RepresentativeÂ Online Customer Service Tel: 0861 726 726 Â Fax:Â 0861 726 726 Mobile: 0861 726 726 Email: Terri-Leigh.Fisher@ram.co.zaÂ Branch:Â Â Isando",1,1
Concern About SaaS Application Performance,"A significant performance issue has emerged, impacting the SaaS application, causing slow response times and timeouts. This may be related to recent updates or integrations with Repeater, Norton Antivirus, and WooCommerce. We have tried restarting the server, optimizing queries, and rolling back recent changes, but the issue remains unresolved. We need your assistance to resolve this issue promptly to minimize downtime and prevent further disruptions.",0,0
Re: Overdue: Customer 504755216,Customer has cash flow issues. Can we offer payment plan?,0,0
