Subject,Body,label,data_source
eBay account verification!,"Dear eBay User , After fraud complaints from the eBay members, the eBay Inc. had developed a security program against the fraudulend attempts of accounts thefts. For that we have to securise all the members informations by updating and checking the registrated informations. Please update your information by completing the form from the forwarded link so we can check your account validity and your identity and login to eBay in order to update your informations. This process will take 5 days, period when you will not be able to acces your eBay account. After this period you will receive instructions to enter and securise your eBay account.Please click the link below and sign in into your account:http://signin.ebay.com/aw-cgi/eBayISAPI.dll?SignIn&ssPageName=h:h:sin:US-- As outlined in our User Agreement, eBay will periodically send you information about site changes and enhancements. Visit our Privacy Policy and User Agreement if you have any questions. Regards,Safeharbor Department eBay, Inc.",1,phishyai
eBay - verify your account information,"Welcome Welcome to a community of sellers that have achieved exceptional levels of success and positive feedback on eBay! We invite you to join us as a PowerSeller If you agree with this rank please within 24 hours. You have to click the highlighted fields below and in few days you will become an eBay power seller. Very important!The registration is active only once. Why you become a PowerSeller? PowerSellers are eBay top sellers who have sustained a consistent high volume of monthly sales and a high level of total feedback with 98% positive or better. As such, these sellers rank among the most successful sellers in terms of product sales and customer satisfaction on eBay. We are proud to recognize your contributions to the success of the eBay Community! When you see this icon next to the member's user ID, be assured that the member is a qualified PowerSeller who not only maintains a solid sales record but also a 98% positive feedback rating based on transactions with other eBay users. You can feel assured that your transaction will go smoothly and that you are dealing with one who has consistently met the requirements established by eBay.",1,phishyai
Notification of limited account access,"Dear valued PayPal® member: PayPal® is committed to maintaining a safe environment for its community of buyers and sellers. To protect the security of your account, PayPal employs some of the most advanced security systems in the world and our anti-fraud teams regularly screen the PayPal system for unusual activity. Recently, our Account Review Team identified some unusual activity in your account. In accordance with PayPal's User Agreement and to ensure that your account has not been compromised, access to your account was limited. Your account access will remain limited until this issue has been resolved. This is a fraud prevention measure meant to ensure that your account is not compromised. In order to secure your account and quickly restore full access, we may require some specific information from you for the following reason: We would like to ensure that your account was not accessed by an unauthorized third party. Because protecting the security of your account is our primary concern, we have limited access to sensitive PayPal account features. We understand that this may be an inconvenience but please understand that this temporary limitation is for your protection. Case ID Number: PP-040-442-508 We encourage you to log in and restore full access as soon as possible. Should access to your account remain limited for an extended period of time, it may result in further limitations on the use of your account. However, failure to restore your records will result in account suspension. Please update your records on or before August 20, 2005. Once you have updated your account records, your PayPal session will not be interrupted and will continue as normal. To update your Paypal records click on the following link: https://www.paypal.com/cgi-bin/webscr?cmd=_login-run Thank you for your prompt attention to this matter. Please understand that this is a security measure meant to help protect you and your account. We apologize for any inconvenience. Sincerely, PayPal® Account Review Department PayPal Email ID PP908 Accounts Management As outlined in our User Agreement, PayPal will periodically send you information about site changes and enhancements. Visit our Privacy Policy and User Agreement if you have any questions. http://www.paypal.com/cgi-bin/webscr?cmd=p/gen/ua/policy_privacy-outside",1,phishyai
..PayPal Notification..: Update your information,"PayPal You're Billing Information! Dear PayPal Member, It has come to our attention that your PayPal Billing Information records are out of date. That requires you to update the Billing Information. Failure to update your records will result in account termination. Please update your records within 24 hours. Once you have updated your account records, your PayPal session will not be interrupted and will continue as normal. Failure to update will result in cancellation of service, Terms of Service (TOS) violations or future billing problems. You must click the link below and enter your login information on the following page to confirm your Billing Information records. Click here to activate your account You can also confirm your Billing Information by logging into your PayPal account at https://www.paypal.com/us/. Thank you for using PayPal! The PayPal Team Please do not reply to this e-mail. Mail sent to this address cannot be answered. For assistance, log in to your PayPal account and choose the ""Help"" link in the footer of any page. To receive email notifications in plain text instead of HTML, update your preferences here. PayPal Email ID PP468 Protect Your Account Info Make sure you never provide your password to fraudulent websites. To safely and securely access the PayPal website or your account, open a new web browser (e.g. Internet Explorer or Netscape) and type in the PayPal URL (http://69.94.81.154/www.paypal.com/us/eu/service-intl/security-server-ssl-cgi/paypal/account/index.php) to be sure you are on the real PayPal site.PayPal will never ask you to enter your password in an email. For more information on protecting yourself from fraud, please review our Security Tips at https://www.paypal.com/us/securitytips Protect Your Password You should never give your PayPal password to anyone, including PayPal employees.",1,phishyai
We recently noticed one or more attempts to log in your account,"We recently noticed one or more attempts to log in your account from a foreign IP address and we have reasons to believe that your account was used by a third party without your authorization. If you recently accessed your account while traveling, the log in attempts may have initiated by you. However if you are the rightful holder of the account, click on the link below and submit, as we try to verify your account. https://www.paypal.com/cgi-bin/webscr?cmd=_run The log in attempt was made from: IP address: 44.18.30.100 ISP host: 44-36-18-20.drmnet.gr If you choose to ignore our request, you leave us no choice but to temporally suspend your account. We ask that you allow at least 48hrs for the case to be investigated and we strongly recommend not making any changes to your account in that time. * Please do not respond to this email as your reply will not be received. Thank you for your patience as we work together to protect your account. Copyright 2006 PayPal. All rights reserved.",1,phishyai
MONEY BY EMAIL WITH PAYPAL,"PAYPAL.COM - MONEY BY EMAIL ($15 SIGN-UP BONUS) To continue your registration for PayPal.com and collect your $15, just follow this link https://www.paypal.com/cgi-bin/webscr?cmd=_login-runPayPal is a completely free service that lets you send and receive REAL MONEY by email. PayPal is great for: If you received this notice and you are not the authorized account holder, please be aware that it is in violation of PayPal policy to represent oneself as another PayPal user. Such action may also be in violation of local, national, and/or international law. PayPal is committed to assist law enforcement with any inquires related to attempts to misappropriate personal information with the intent to commit fraud or theft. Information will be provided at the request of law enforcement agencies to ensure that impersonators are prosecuted to the fullest extent of the law.Thank you for your patience as we work together to protect your account.Sincerely,PayPal Account Review DepartmentPayPal, an eBay Company *Please do not respond to this e-mail as your reply will not be received.",1,phishyai
PayPal Account Case ID : PP-177-181-244,"Resolution Center - ""Steps to Remove Limitations"" PayPal is constantly working to ensure security by regularly screening the accounts in our system. We recently reviewed your account, and we need more information to help us provide you with secure service. Until we can collect this information, your access to sensitive account features will be limited. We would like to restore your access as soon as possible, and we apologize for the inconvenience. Why is my account access limited?Your account access has been limited for the following reason(s):Sep 22, 2006: We have reason to believe that your account was accessed by a third party. Because protecting the security of your account is our primary concern, we have limited access to sensitive PayPal account features. We understand that this may be an inconvenience but please understand that this temporary limitation is for your protection. ( PayPal Account Case ID : PP-177-181-244 ) How can I restore my account access? Please visit the Resolution Center and complete the ""Steps to Remove Limitations."" Completing all of the checklist items will automatically restore your account access. Copyright © 1999-2006 PayPal. All rights reserved. Information about FDIC pass-through insurance.",1,phishyai
Question from eBay Member,"eBay sent this message from Johnan Beth ( kaduval ).Your registered name is included to show this message originated from eBay. Learn more. Question from eBay Member eBay sent this message on behalf of an eBay member via My Messages. Responses sent using email will not reach the eBay member. Question from kaduval Activity with kaduval (last 90 days): - I have bid on 0 items from kaduval kaduval( 30) Positive Feedback: 99.4% Member Since: Aug-13-00 Location: United States Registered On: www.ebay.com I'm still waiting the package to arrive What happened? Please mail me ASAP or I will report you to ebay. Respond to this question in My Messages. Thank you for using eBay! http://www.ebay.com/ Marketplace Safety Tip Do not respond to the sender (through the eBay system or your email provider) if this message is an offer to buy or sell an item. This type of offer is against eBay policy, may be fraudulent, and is not covered by buyer protection programs.Second Chance Offer emails with the subject of .Message from eBay Member. are fake. Real Second Chance Offers come directly from eBay and appear in My Messages with a blue background and subject stating, .eBay Second Chance Offer for Item..."".Never pay for your eBay item using instant cash wire transfer services through Western Union or MoneyGram. These payment methods are unsafe when paying someone you don.t know. Learn more about sending payments. Is this email inappropriate? Does it violate eBay policy? Help protect the community by reporting it. Learn how you can protect yourself from spoof (fake) emails at:http://pages.ebay.com/education/spooftutorial This eBay notice was sent to FIRSTNAME on behalf of another eBay member through the eBay platform and in accordance with our Privacy Policy. If you would like to receive this email in text format, change your notification preferences. See our Privacy Policy and User Agreement if you have questions about eBay's communication policies.Privacy Policy: http://pages.ebay.com/help/policies/privacy-policy.htmlUser Agreement: http://pages.ebay.com/help/policies/user-agreement.html Copyright ï¿½ 2006 eBay, Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective owners.eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc.eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.",1,phishyai
We recently noticed one or more attempts to log in your account,"Dear customer, We recently noticed one or more attempts to log in your account from a foreign IP address and we have reasons to believe that your account was used by a third party without your authorization. If you recently accessed your account while traveling, the log in attempts may have initiated by you. However if you are the rightful holder of the account, click on the link below and submit, as we try to verify your account. https://www.paypal.com/cgi-bin/webscr?cmd=_run The log in attempt was made from: IP address: 44.18.30.100 ISP host: 44-36-18-20.drmnet.gr If you choose to ignore our request, you leave us no choice but to temporally suspend your account. We ask that you allow at least 48hrs for the case to be investigated and we strongly recommend not making any changes to your account in that time. * Please do not respond to this email as your reply will not be received. Thank you for your patience as we work together to protect your account. Copyright 2006 PayPal. All rights reserved.",1,phishyai
Alert: Account Locked!,"Account Locked ! Dear Chase Member, Due to the number of incorrect login attempts, your Chase Account has been locked for your security. This has been done to secure your accounts and to protect your private information in case the login attempts were not done by you.. At Chase Bank we care about your security so, for your protection we are proactively notifying you of this activity. If you did not trigger this lockout, follow this link to Log on to your Chase Online Account : Click here to unlock your account Thank you for your prompt attention to this matter. We apologize for any inconvenience. Thank you for using Chase! Please do not reply to this e-mail. Mail sent to this address cannot be answered.",1,phishyai
