group_label,feature_a,feature_b,cell_slug,rank,sentence,sentence_score,token_count
LLM-B-FP,Authority,Authority,authority__authority,1,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes already detected trojan added virus name alias trojan generic number bitdefender number sender virus total submission notes same number added number sender virus total submission notes already detected trojan added number sender jotti submission notes already detected trojan added number sender,212.86859548666334,1481
LLM-B-FP,Authority,Authority,authority__authority,2,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender,212.86859548666334,1511
LLM-B-FP,Authority,Authority,authority__authority,3,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes already detected trojan added virus name alias memscan backdoor bifrose bitdefender number sender virus,212.86859548666334,1519
LLM-B-FP,Authority,Authority,authority__authority,4,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes same number added number sender virus total submission notes already detected trojan added virus name alias trojan proxy pixoliz bitdefender number sender virus total submission notes already detected trojan added virus name alias trojan banker delf bitdefender number sender virus total,212.86859548666334,1520
LLM-B-FP,Authority,Authority,authority__authority,5,clamav database updated number feb number number number number daily cvd version number number sender phishery internetdefence net submission notes same number added number sender phishery internetdefence net submission notes same number added number sender phishery internetdefence net submission notes same number added number sender phishery internetdefence net submission notes same number added number sender phishery internetdefence net submission notes,132.4108053228203,715
LLM-B-FP,Authority,Authority,authority__authority,6,best emily chen senior data analyst emily chen techcorp com number number number website senior data analyst emily chen healthcarefacility com number number number number website securityshield inc evelyn brooks securityshield com number number number website,37.37171517459353,36
LLM-B-FP,Authority,Authority,authority__authority,7,best evelyn brooks data security specialist emily chen dreamsleep com number number number website senior software engineer alex lee techcorp com number number number website,37.37171517459353,25
LLM-B-FP,Authority,Authority,authority__authority,8,best evelyn brooks data security specialist emily chen techcorp com number number number website senior data analyst maria rodriguez company com number number number website,37.37171517459353,25
LLM-B-FP,Authority,Authority,authority__authority,9,emily chen senior data analyst techcorp inc senior data analyst emily chen techcorp com number number number website date wednesday july number evelyn brooks chief information security officer healthcare solutions inc number hospital drive subject request update vcard adoption evelyn brooks hope message finds well,37.37171517459353,45
LLM-B-FP,Authority,Authority,authority__authority,10,best evelyn brooks cloud security specialist evelyn brooks techcorp com number number number website data security specialist emily chen healthcarefacility com number number number website healthcare solutions inc support shippingcompany com number number number website,37.37171517459353,35
LLM-B-FP,Authority,Liking,authority__liking,1,edited compile bat follows all lines mentioned here unchanged set perl set celibdlldir projex perlce number set ceconsoledir projex perlce rem set yes set machine set msvcdir program files microsoft visual studio number number,62.443824364316214,34
LLM-B-FP,Authority,Liking,authority__liking,2,resulted error message about windows being found nmake nologo makefile cchome program files microsoft visual stud number ccincdir program files microsoft visual studio number include cclib dir program files microsoft visual studio number lib include program files microsoft visual studio number include lib program files microsoft visual udio number lib config miniperl exe del config could find projex perlce config,62.443824364316214,65
LLM-B-FP,Authority,Liking,authority__liking,3,ole dperldll dndebug mini obj projex perlce number fatal error cannot open nclude file windows such file directory nmake fatal error program files microsoft visual studio number bin exe return code number stop,62.443824364316214,33
LLM-B-FP,Authority,Liking,authority__liking,4,looked windows found program files microsoft visual studio number platformsdk include among other places,62.443824364316214,14
