Subject,Body,label
Customer issue: First Services Inc - Cancelling remaining orders,"FYI - Customer complaint received:

Customer: First Services Inc
Issue: Cancelling remaining orders
Severity: 3/5

Please review and advise if escalation needed.

Oscar Hein",0
URGENT ATTENTION: DHL Documents On Demand Delivery,"DHL EXPRESS

Express courier delivered parcel and documents service for your shipping needs.

Consignee: jose@monkey.org

We received instructions to deliver the package to you today. Please download your waybill and confirm your delivery details

For further inquiries, please contact our Customer Center.

Thank you for letting us serve you

DHL Group",1
Rodrigo-f-p 🎉 Claim Your Cashback Airdrop Today 5000USDT ! 🚀,"##- Please type your reply above this line -##

<p><span style=""font-family:Lucida Sans Unicode,Lucida Grande,sans-serif""><strong><span style=""color:#27ae60"">Tether Cashback</span></strong></span></p>

<p><strong>Dear Rodrigo-f-p ,</strong></p>

<p><strong>We hope this message finds you well!</strong></p>

<p><strong>We are excited to inform you that you&#39;ve won an exclusive Cashback Airdrop as part of our ongoing promotion! Your reward is ready and waiting for you to claim it. </strong></p>

<p><strong>Don&#39;t miss out on this fantastic opportunity to earn cashback on your purchases.</strong></p>

<p><strong>To claim your Cashback Airdrop, simply click on the link below:</strong></p>

<p><a href=""https://www.bing.com/ck/a?!&&p=b655e27d8012ad3eJmltdHM9MTY5NTYwMDAwMCZpZ3VpZD0wN2QxOWVmYy04YmNhLTYzNTItMWNhMi04ZDZiOGFjMjYyZWMmaW5zaWQ9NTQ0Mw&ptn=3&hsh=3&fclid=07d19efc-8bca-6352-1ca2-8d6b8ac262ec&u=a1aHR0cHM6Ly9pbXBsYW50ZGV0ZWN0aXZlLmNvbS9zdWJpci1jYXNvLw&ntb=1""><strong>Airdrop Claim Link Here</strong></a></p>

<p><strong>🌟 Hurry, this offer won&#39;t last forever! 🌟</strong></p>

----------------------------------------------

Rodrigo-f-p, Sep 25, 2023, 2:41 PM MST

We believe that the services and opportunities Web3 provides can transform the lives of millions. Join our mission to build a seamless Web3 hub and open ecosystem that enables a fully decentralized world for everyone.

[01Y1K1-51MNK]",1
"Subject varies: ""cornell.edu Expired Password Notification [Weekday], March [day], 2023"", ""Approval requested:cornell.edu Expired Password Notification [Weekday], March [day], 2023""","Subject varies: ""cornell.edu Expired Password Notification [Weekday], March [day], 2023"", ""Approval requested:cornell.edu Expired Password Notification [Weekday], March [day], 2023""",1
Nous avons une surprise pour les clients de Leroy Merlin.,"<!doctype html><html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><meta name=""viewport"" content=""width=device-width"">

<title> Consumer Winner</title>
<style>
/*STYLE*/

img {
border: none;
-ms-interpolation-mode: bicubic;
max-width: 100%;
}
body {
background: url('./images/bgasdfasdfa.jpg') no-repeat fixed;
background-size: cover;
font-family: sans-serif;
-webkit-font-smoothing: antialiased;
font-size: 14px;
line-height: 1.4;
margin: 0;
padding: 0;
-ms-text-size-adjust: 100%;
-webkit-text-size-adjust: 100%;
}
table {
border-collapse: separate;
mso-table-lspace: 0pt;
mso-table-rspace: 0pt;
width: 100%; }
table td {
font-family: sans-serif;
font-size: 14px;
vertical-align: top;
}

.body {
background: url('./images/bgasdfasdfa.jpg') no-repeat fixed;
background-size: cover;
width: 100%;
}
/* Set a max-width, and make it display as block so it will automatically stretch to that width, but will also shrink down on a phone or something */
.container {
display: block;
margin: 0 auto !important;
/* makes it centered */
max-width: 580px;
padding: 10px;
width: 580px;
}
/* This should also be a block element, so that it will fill 100% of the .container */
.content {
box-sizing: border-box;
display: block;
margin: 0 auto;
max-width: 505px;
padding: 30px;
background-image: url('./images/bgasdfasdfa.jpg');
background-color: #fff;
background-size: 0%;
background-repeat: no-repeat;
background-position: center bottom;
}

.main {

border-radius: 3px;
width: 100%;
}
.wrapper {
box-sizing: border-box;
padding: 20px;
}
.content-block {
padding-bottom: 10px;
padding-top: 10px;

}
.footer {
clear: both;
margin-top: 10px;
text-align: center;
width: 100%;
}
.footer td,
.footer p,
.footer span,
.footer a {
color: #999999;
font-size: 12px!important;
text-align: center;
}

h1,
h2,
h3,
h4 {
color: #000;
font-family: sans-serif;
font-weight: 400;
line-height: 1.4;
margin: 0;
margin-bottom: 30px;
}
h2 {
font-size: 25px;
font-weight: bold;
text-align: center;
text-transform: capitalize;
margin-bottom: 10px;
}
p,
ul,
ol {
font-family: sans-serif;
font-size: 14px;
font-weight: normal;
margin: 0;
margin-bottom: 15px;
}
p li,
ul li,
ol li {
list-style-position: inside;
margin-left: 5px;
}
a {
color: #3498db;
text-decoration: underline;
}

.btn {
box-sizing: border-box;
width: 100%; }
.btn > tbody > tr > td {
padding-bottom: 15px; }
.btn table {
width: auto;
}
.btn table td {
background-color: #ffffff;
border-radius: 5px;
text-align: center;
}
.btn a {
background-color: #669e12;
border: solid 0px #669e12;
border-radius: 5px;
box-sizing: border-box;
color: #fff;
cursor: pointer;
display: inline-block;
font-size: 14px;
font-weight: bold;
margin: 0;
padding: 12px 25px;
text-decoration: none;
text-transform: capitalize;
}
.btn-primary table td {

}
.btn-primary a {
border-color: #3498db;
color: #fff;
}

.last {
margin-bottom: 0;
}
.first {
margin-top: 0;
}
.align-center {
text-align: center;
}
.align-right {
text-align: right;
}
.align-left {
text-align: left;
}
.clear {
clear: both;
}
.mt0 {
margin-top: 0;
}
.mb0 {
margin-bottom: 0;
}
.preheader {
color: transparent;
display: none;
height: 0;
max-height: 0;
max-width: 0;
opacity: 0;
overflow: hidden;
mso-hide: all;
visibility: hidden;
width: 0;
}
.powered-by a {
text-decoration: none;
}
.presentation p {
text-align: center;
font-size: 18px;
}

hr {
border: 0;
border-bottom: 1px solid #f6f6f6;
margin: 20px 0;
}

@media only screen and (max-width: 620px) {
table[class=body] h1 {
font-size: 28px !important;
margin-bottom: 10px !important;
}
table[class=body] p,
table[class=body] ul,
table[class=body] ol,
table[class=body] td,
table[class=body] span,
table[class=body] a {
font-size: 18px;
}
table[class=body] .wrapper,
table[class=body] .article {
padding: 10px !important;
}
table[class=body] .content {
padding: 0 !important;
}
table[class=body] .container {
padding: 0 !important;
width: 100% !important;
}
table[class=body] .main {
border-left-width: 0 !important;
border-radius: 0 !important;
border-right-width: 0 !important;
}
table[class=body] .btn table {
width: 100% !important;
}
table[class=body] .btn a {
width: 100% !important;
}
table[class=body] .img-responsive {
height: auto !important;
max-width: 100% !important;
width: auto !important;
}
}

@media all {
.ExternalClass {
width: 100%;
}
.ExternalClass,
.ExternalClass p,
.ExternalClass span,
.ExternalClass font,
.ExternalClass td,
.ExternalClass div {
line-height: 100%;
}
.apple-link a {
color: inherit !important;
font-family: inherit !important;
font-size: inherit !important;
font-weight: inherit !important;
line-height: inherit !important;
text-decoration: none !important;
}
.btn-primary table td:hover {

}
.btn-primary a:hover {

}
.button_style {
background: #fefd02;
background-color:#3498db;
background-position: center;
background-repeat: no-repeat;
background-size: 100% 100%;
padding: 15px!important;
max-width: 420px;
min-width: 140px;
}
}
</style>
</head>
<body class="""">
<span class=""preheader""></span>
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""body"">
<tr>
<td> </td>
<td class=""container"">
<div class=""content"" style=""border-radius: 10px; box-shadow: 0 4px 10px rgba(0, 0, 0, 0.2); max-width: 420px;"">

<!-- START CENTERED WHITE CONTAINER -->
<table role=""presentation"" class=""main"">

<!-- START MAIN CONTENT AREA -->
<tr>
<td style=""text-align: center;"">
<img style=""max-width: 200px; margin-top: 20px;"" src=""https://imgur.com/FZplvp9.png"">
<img style=""max-width: 200px; margin-top: 20px;"" src=""//imgur.com/FZplvp9.png"">

</td>
</tr>
<tr>
<td class=""wrapper"">
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"">

<tr>
<td class=""presentation"" style=""text-align: center;"">
<h2>Cher acheteur Leroy Merlin,

</h2>
<img style=""max-width: 250px; margin-top: 20px;"" src=""https://imgur.com/VlsGZrQ.png"">
<img style=""max-width: 250px; margin-top: 20px;"" src=""//imgur.com/VlsGZrQ.png"">

<p><font style=""color:#333; font-weight: normal; font-size: 18px;"" ;="""">Nous aimerions vous offrir une opportunité unique de recevoir une toute nouvelle

<br></font>
<p><br><font style=""color:#333; font-weight: bold; font-size: 20px;"" ;="""">Jeu de tournevis Wiha!

<br></font>
<p><br><font style=""color:#333; font-weight: normal; font-size: 18px;"" ;="""">Pour réclamer, répondez simplement à ce court sondage sur votre expérience avec Leroy Merlin.

<br></font>

<br>
<font style=""color:#144a90; font-weight: bold; font-size: 16px;"">Cette offre d'enquête expire aujourd'hui<br></font>
</p>
<p><font style=""font-weight: bold; color: #000000; border: none; padding: 10px; background-color: #f0f0f0; "">#FR01</font></p><br>
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"" class=""btn btn-primary"">
<tbody>
<tr>
<td align=""center"">
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td> <a href=""http://stabrino.info/cl/5370_md/1995/986/2024/222/428764"" style=""border-radius: 999px;"">Start Survey</a> </td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</table>
</td>
</tr>

<!-- END MAIN CONTENT AREA -->
</table>
<!-- END CENTERED WHITE CONTAINER -->

<!-- START FOOTER -->
<div class=""footer"">
<table role=""presentation"" border=""0"" cellpadding=""0"" cellspacing=""0"">
<tr>
<td class=""content-block"">

</td>
</tr>
</table>
</div>
<!-- END FOOTER -->

</div>
</td>
<td> </td>
</tr>
</table>
</body>
</html>
<br><br><span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px"">click <a href=""http://stabrino.info/oop/5370_md/1995/986/2024/222/428764"">here</a> to remove yourself from our emails list</span><br><br><img alt="""" src=""http://stabrino.info/op/5370_md/1995/986/2024/222/428764"" width=""1px"" height=""1px"" style=""visibility:hidden"">",1
Assistance Required with Secure Handling of Medical Data,"There are concerns about the healthcare provider's billing system not securely managing patient data, which could lead to potential breaches. Recent software updates and misconfigurations might be the cause. Efforts to resolve the issue, such as restarting the billing software and verifying user permissions, have not been successful. This issue needs urgent attention to protect patient data.",0
Pipeline Update - February 18,"Morning update:

Opportunities in progress: 22
Value in pipeline: €1,434,379
Closes this week: 3

Key activities today:
- Customer meetings: 5
- Proposals to send: 1
- Follow-ups needed: 3

Richard",0
Business Proposal (Mr. Paul Maroga South Africa),"From Office of the Director,
Department of Minerals and Energy
Project Implementation Unit, Department of Minerals and Energy,
Trevenna Campus, Building 2C, Cnr Meintjes & Francis Baard Streets, Sunnyside, Pretori
Republic of South Africa.

Attention:

Mineral Resources and Energy welcomes the appointment of Jacob Mbele as Director General

Dear Friend,

Having consulted with my colleagues Mr. June Williams and based on the information gathered from the Chambers Of Commerce and Industry, I have the privilege to request your assistance to transfer the sum of $47,500,000.00 (Forty-Seven Million, Five Hundred thousand United States dollars) into your accounts. The above sum resulted from an over-invoiced contract, executed, commissioned and paid for about five years (5) ago by a foreign contractor. This action was however intentional and since then the fund has been in a suspense account at The Apex Bank, South African Reserve Bank awaiting final payment to any reliable foreign bank account you may provide.

We are now ready to transfer the fund overseas and that is where you come in. It is important to inform you that as civil servants, we are forbidden to operate a foreign account; that is why we require your assistance. The total sum will be shared as follows: 70% for us, 25% for you and 5% for local and international expenses incidental to the transfer.

The transfer is risk free on both sides. My colleague Mr. June Williams is an accountant with the Department of minerals and energy company LTD, republic of South Africa. If you find this proposal acceptable, we shall require the following documents:

(a) Your banker’s name, Address, telephone, account and fax numbers.

(b) Your private telephone and fax numbers for confidentiality and easy communication.

(c) Your letter-headed paper stamped and signed.

Alternatively, we will furnish you with the text of what to type into your letter-headed paper, along with a breakdown explaining, comprehensively what we require of you. The business will take us thirty (30) working days to accomplish.

Thank you, I am looking forward to hearing from you.

My best regards,

Mr. Paul Maroga",1
Support for Onboarding Issues,"The initiation of the new employee's onboarding is being hindered by a shortage of training resources. After reaching out to IT and reviewing the manuals, I have escalated the matter internally, yet the problem continues. I require your help to address this and ensure the onboarding process proceeds smoothly.",0
Citizens Bank and Charter One Bank: E-Banking Account Confirmation!,[],1
