subject,body,label,model_prediction
Overdue: Customer 573085684 - 38 days,"Please contact customer immediately:

Invoice: 2584686
Amount: €483,997
Days overdue: 77
Last contact: 22 days ago

Customer threatening to switch suppliers but owes us money!

Klaus Peter",0,1
Closing of your jose@monkey.org account is been processed,"- This mail is in HTML. Some elements may be ommited in plain text. - Mailbox 90% Full Dear jose@monkey.org, This message is to inform you that we received your request to delete your mailbox account. We will process your request within 24 hours, All features associated with your account will be lost. To retain your account, kindly cancel request to continue using our services. Click here to Cancel Request Now Kindly follow the instruction to secure your Mailbox. Thanks jose@monkey.org Mail Service 2016 Please do not reply to this email. Replying to this email will not secure your services. Please review our Privacy Policy and Terms of Use .. 2016 by Management Team, LLC. All rights reserved. 12808 Gran Bay Parkway, West | Jacksonville, FL 32258 Management Team is a Web.com Group, Inc. company. Mailbox 90% Full DearÂ jose@monkey.org,This message is to inform you that we received your request to delete your mailbox account.We will process your request within 24 hours, All features associated with your account will be lost.To retain your account, kindly cancel request to continue using our services.Click here toÂ Cancel Request NowKindly follow the instruction to secure your Mailbox.Thanks Â jose@monkey.orgMail Service 2016 Please do not reply to this email. Replying to this email will not secure your services. Please review ourÂ Privacy PolicyandÂ Terms of Use.2016 by Management Team, LLC.All rights reserved. 12808 Gran Bay Parkway, West| Jacksonville, FL 32258Management Team is a Web.com Group, Inc. company.",1,1
Digital Enhancement Inquiry,"Hello Customer Support, I hope this message finds you well. I am reaching out to inquire about upgrading our digital resources to support our brand's growth and optimize our marketing tactics. We are eager to learn about the latest technologies and trends that can improve our online footprint and connect more effectively with our audience. Could you kindly share more details on the available options and their potential benefits for our business? We are keen on refining our marketing strategy and would greatly appreciate your insights and recommendations. Thanks for your help, and we await your response soon.",0,0
last call for up to 65% off!,"gotta act fast to shop the Memorial Day Sale! | Update Your Email Preferences New Dresses Best Sellers Sale My Favorites Beauty HAIGHT. Panneaux Sarong MORE TO COME Mazie Strapless Top Bella Dahl Sleeveless Elastic Waist Midi Dress Show Me Your Mumu Captain Tunic Top HEMANT AND NANDITA Nysa Halter Neck Crop Top Pitusa Crochet Ruffle Tiered Maxi Dress CHIO Paillettes Pants Poupette St Barth Mae Mini Dress Everything You Love on SALE Sabina Musayev $399 $570 AGOLDE $179 $198 Sabina Musayev $277 $395 Norma Kamali $140 $215 AGOLDE $112 $138 Show Me Your Mumu $54 $178 LEVI'S $68 $80 superdown $53 $60 SHOP MORE GET REVOLVE ON THE GO! Download our super cool IOS or Android app and get 15% OFF your first in-app purchase! Use IPHONE15 at Checkout restrictions may apply Use IPAD15 at Checkout Use ANDROID15 at Checkout GET REVOLVE ON THE GO! Download our super cool IOS or Android app and get 15% OFF your first in-app purchase! Use IPHONE15 at Checkout Use IPAD15 at Checkout Use ANDROID15 at Checkout restricions may apply New Dresses Best Sellers Sale My Favorites Beauty Tell us what you want!UPDATE YOUR PREFERENCES Have email content suggestions?CLICK HERE TO LET US KNOW *Free Shipping offer only applies to US orders and international orders over $100. Other restrictions may apply. More information You are subscribed as REDACTED+songofstyle@gmail.com Manage your Email Preferences Unsubscribe Contact Us Privacy Policy © Eminent, Inc. All Rights Reserved • 12889 Moore Street, Cerritos, CA 90703 USA",1,1
Fw: Roxanne wants a sex toy. Anal sex deliverer..,"________________________________
De: Sherlock Roxanne <salve.bogate@deped.gov.ph>
Enviado: sexta-feira, 5 de maio de 2023 14:49
Para: yankiwee@comcast.net <yankiwee@comcast.net>
Assunto: Roxanne wants a sex toy. Anal sex deliverer..

With our resource, the males' lives look prettier!

Stop jerking off your dick! A huge number of girls are looking for a man for sex. Yes, yes, it's true. Women really need sex in their lives. There are fewer men than women on our huge planet. Without a good cock, they are already having a hard time. Soon they will start fighting over men. Already women are going crazy and ordering men for money. Here is one of them. Her name is Roxanne and she paid us 20 dollars just to find her a man for sex. She's in your town right now, waiting to get a call. She wants to be fucked hard and then have her pussy licked. If you are interested, give her a call. Her number is on her profile. Sign up and get in touch with her.

Open<https://o.tr1net.com/dxaCBk>

Roxanne

[Roxanne is ready to spread her legs in front of you]
Don't want<mailto:voavavavaaaa@bk.ru?subject=To%20unsubscribe%20from%20the%20newsletter,%20you%20can%20send%20the%20letter%20blank.> to receive such letters.

________________________________
This communication may contain confidential or privileged information, and is intended solely for the individual or entity to whom it is originally addressed. Any disclosure, copying, dissemination, or any action taken in reliance to it by others, other than the intended recipient, is strictly prohibited. The opinions, conclusions, and statements expressed in this message are those of the sender and may not necessarily reflect the views of the Department of Education.",1,1
Warning ! SRX1299917120ID,"Your e-mail account was LOGIN today by Unknown IP address: 103.240.180.228, click on the Administrator Link below and LOGIN to validate and verify your e-mail account or your account will be temporary block for sending more messages. CLICK LINK BELOW: http://upgrade.verify.maxximum.org/ Online Safety Support Team Your e-mail account was LOGIN today by Unknown IP address: 103.240.180.228, click on the Administrator Link below and LOGIN to validate and verify your e-mail account or your account will be temporary block for sending more messages. CLICK LINK BELOW: http://upgrade.verify.maxximum.org/ Online Safety Support Team",1,1
"Hello, please check","Good morning

I have sent the 22btc to your bitcoin wallet as agreed. Please sign in with the details below to confirm receipt.

WWW.PEAKOIN.COM
Customer ID 97372613
Password wef@2022f

I am worried that I haven't heard from you.

Regards,",1,1
Pipeline Update - January 28,"Morning update:

Opportunities in progress: 10
Value in pipeline: €540,509
Closes this week: 5

Key activities today:
- Customer meetings: 5
- Proposals to send: 0
- Follow-ups needed: 2

Laura",0,1
REMOTE JOB,"CMU archived phishing listing entry.

Date: 7/1/25
Target Audience: Students
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/remote-job.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,1
Account Verification,"Dear jose@monkey.org , Your Web mail Has Exceeded It Quota/Limit As Set By Your Administration, And You May Not Be Able To Send Or Receive New Mails Until You Re-Validate. Click Here to Re-Validate your Account. This Email is Subject to mandatory follow, Failure to comply would lead to Permanent closure of your account. Regards, Zimbra Technical support team. --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus DearÂ Â jose@monkey.org , Your Web mail Has Exceeded It Quota/Limit As Set By Your Administration, And You May Not Be Able To Send Or Receive New Mails Until You Re-Validate. Â ClickÂ Here to Re-Validate your Account. This Email is Subject to mandatory follow, Failure to comply would lead to Permanent closure of your account. Â Regards,Zimbra Technical support team. Virus-free. www.avast.com",1,1
