Body,label,category,data source
Struggling with bills? Rs. 5 lakh loan at 0% interest! Apply: http://quickrelief.loanindia.net or call 8901234567 now!,1,Loan Scam,AIFraud
"IMPORTANT: Rs. 5,000 refund pending for your HDFC card. Claim it at http://hdfc-refundnow.in before it expires!",1,Financial Fraud,AIFraud
Urgent! This is Income Tax Dept. Your refund is pending. Pay processing fee now at http://it-refundindia.co to avoid cancellation. Hurry!,1,Impersonation,AIFraud
SHOCKING: Fraud detected on your Kotak account! Secure it at http://kotak-verifylogin.com or lose everything!,1,Financial Fraud,AIFraud
Threat alert! Your PAN details leaked. Update at http://pan-guardindia.co or risk financial loss!,1,Identity Theft,AIFraud
Warning! Virus detected on your device. Secure it urgently by calling 1-800-333-9876 before data loss!,1,Tech Support Scam,AIFraud
Alert! Identity theft detected on your PAN card. Secure it at http://pan-protectindia.com before it's too late!,1,Identity Theft,AIFraud
Final notice! Rs. 6 lakh loan approval pending. Click: http://fastapprove.indiadebt.co or face cancellation!,1,Loan Scam,AIFraud
Critical Alert! Your phone is infected with malware. Call our tech support at 1800-444-5678 now to save your data!,1,Tech Support Scam,AIFraud
Critical alert! Rs. 2 lakh emergency loan ready. Verify at http://urgentcash.indialend.in or call 9123456780 today!,1,Loan Scam,AIFraud
Your Airtel account will be deactivated in 24 hrs. Update KYC now: http://airtel-kycupdate.com. Hurry!,1,Phishing,AIFraud
"EMERGENCY! ₹30,000/month job offer closing today. Call 9876543210 or click: http://jobnowindia.in",1,Job Offer Scam,AIFraud
"Unbelievable! ₹5,000 investment = ₹50,000 in 5 days. Don’t wait! Visit: http://cashboom-chennai.com",1,Investment Scams,AIFraud
Urgent! Your Amazon parcel is delayed due to address error. Update at http://amazon-fixdelivery.co.in or it’s returned!,1,Fake Delivery Scam,AIFraud
"Nani, it’s your favorite grandson. I’m stranded in Goa with no money. Send Rs. 3,000 at http://travelhelp-goa.in. I’m desperate!",1,Emotional Manipulation,AIFraud
HDFC Alert! Unusual activity detected. Secure your account at http://hdfc-safetycheck.in before it’s too late. Don’t ignore!,1,Impersonation,AIFraud
"Grandma, it’s Rohan. I lost everything in a fire in Kolkata. Send Rs. 7,000 to rebuild. Use http://crisisrelief-bengal.net. I’m broken!",1,Emotional Manipulation,AIFraud
Danger! Your financial future is at risk. Invest today for huge returns. Click: http://safehaven-bengaluru.com,1,Investment Scams,AIFraud
"Hey, your MX Player Premium is about to lapse. Renew for Rs. 99 at http://mxplayer-indiaupdate.com. Don’t wait!",1,Subscription Scam,AIFraud
Urgent! Your Rs. 10 lakh lottery prize is waiting! Don’t lose it. Click http://indialuckydraw.claimfast.in to secure it before midnight!,1,Lottery Scam,AIFraud
"Congrats! You've won Rs. 5 lakh in the Mumbai Mega Lottery! Claim now at http://mumbailottery.winnow.co.in. Hurry, offer expires today!",1,Lottery Scam,AIFraud
Warning! Aadhaar fraud reported in your name. Confirm identity at http://verify-aadhaarhub.com or risk arrest!,1,Identity Theft,AIFraud
"Don’t miss out! Invest ₹10,000 & get ₹50,000 in 7 days. Limited slots! Call: 9876543210",1,Investment Scams,AIFraud
"Uncle, it’s Aman. I’m in deep trouble in Ahmedabad. Need Rs. 9,000 to escape danger. Click http://safeguard-gujarat.in. Save my life!",1,Emotional Manipulation,AIFraud
"Alert! Your electricity bill payment failed. Avoid power cut, pay immediately at http://ebill-indiapay.co!",1,Service Fraud,AIFraud
Pay your overdue water bill now to avoid disconnection! Click http://waterboard-indpay.com before it’s too late!,1,Service Fraud,AIFraud
Don’t ignore! Aadhaar breach detected. Click http://secure-aadhaarverify.com to save your identity now!,1,Identity Theft,AIFraud
Emergency! Your Tata Sky subscription is inactive. Reactivate at http://tatasky-renewal.in or lose channels!,1,Service Fraud,AIFraud
Delhivery Warning: Your shipment is on hold due to unpaid fee. Pay now at http://delhivery-feesecure.in to release it!,1,Fake Delivery Scam,AIFraud
Threat! Your phone is under attack. Call 1-800-999-2233 today to prevent loss of personal info!,1,Tech Support Scam,AIFraud
"Dear Sir/Madam, your Ration Card benefits are expiring. Renew at http://ration-indiarenew.co or lose subsidy. Immediate action needed!",1,Impersonation,AIFraud
URGENT! Your device is compromised. Call our Indian tech team at 1800-777-3344 to avoid financial loss!,1,Tech Support Scam,AIFraud
ATTENTION: Your PNB account is at risk. Call 1800-555-1234 or visit http://pnb-safety.in to prevent closure!,1,Financial Fraud,AIFraud
Aadhaar scam alert! Your benefits are at stake. Secure ID at http://aadhaar-shieldindia.com before deactivation!,1,Identity Theft,AIFraud
Last warning! Rs. 4 lakh loan offer expires today. Secure it at http://getfunds.indiafinance.org or regret later!,1,Loan Scam,AIFraud
"High-Paying Job! ₹25,000/week from Kolkata. No interview. Secure spot: http://koljobsfast.co.in",1,Job Offer Scam,AIFraud
