row_principle,col_principle,feature_type,mean_group_a,mean_group_b,delta_group_a_minus_group_b,welch_t,welch_p,permutation_p,fdr_p,hedges_g,bootstrap_ci_low,bootstrap_ci_high,significant_fdr_0_05
Authority,Authority,diagonal,0.8651999050464065,0.9626505737387137,-0.09745066869230712,-64.23272968742785,0.0,0.004975124378109453,0.004975124378109453,-0.6859224994596428,-0.1003186594265507,-0.09426695050255372,True
Authority,Liking,cooccurrence,0.5132412312943372,0.8530093969047648,-0.33976816561042766,-99.10882993628213,0.0,0.004975124378109453,0.004975124378109453,-1.065577665118985,-0.3467893683205053,-0.33151093159739187,True
Authority,Reciprocity,cooccurrence,0.20562812006754871,0.47918731206902415,-0.27355919200147544,-114.4585210214183,0.0,0.004975124378109453,0.004975124378109453,-1.3223675745292014,-0.27785101068705687,-0.2686139543640792,True
Authority,Social Proof,cooccurrence,0.18449231159146717,0.3597649712160964,-0.17527265962462923,-82.38256294554814,0.0,0.004975124378109453,0.004975124378109453,-0.9581783293946671,-0.17911685711390882,-0.17117910209113854,True
Authority,Scarcity,cooccurrence,0.03168931845948583,0.08063013573179037,-0.04894081727230454,-61.79563404101345,0.0,0.004975124378109453,0.004975124378109453,-0.7275773900307467,-0.050384517577722956,-0.04737735030123077,True
Authority,Commitment,cooccurrence,0.009428459755111262,0.027593116837617684,-0.018164657082506423,-63.534468718726494,0.0,0.004975124378109453,0.004975124378109453,-0.7502584745318844,-0.018704238412555228,-0.01761554523879108,True
Liking,Liking,diagonal,0.5441369992459396,0.882586595322416,-0.3384495960764764,-98.04214035825602,0.0,0.004975124378109453,0.004975124378109453,-1.0521652613033505,-0.34554893572465917,-0.3301068186684125,True
Liking,Reciprocity,cooccurrence,0.14895224810097474,0.4436044245434719,-0.29465217644249714,-118.18751739392796,0.0,0.004975124378109453,0.004975124378109453,-1.361987449759202,-0.2989000173774686,-0.2893418188209656,True
Liking,Social Proof,cooccurrence,0.13056954728318318,0.33619057447113004,-0.20562102718794686,-94.16609705960443,0.0,0.004975124378109453,0.004975124378109453,-1.0924721134073845,-0.209883299381713,-0.2013128654414708,True
Liking,Scarcity,cooccurrence,0.02303771765485733,0.07591798656858607,-0.05288026891372874,-67.62325241246145,0.0,0.004975124378109453,0.004975124378109453,-0.7956977567576192,-0.054302313076860495,-0.051292043319957153,True
Liking,Commitment,cooccurrence,0.007157617813786828,0.02605184561238427,-0.01889422779859744,-66.9740220785855,0.0,0.004975124378109453,0.004975124378109453,-0.7903568993331568,-0.01942802234410237,-0.0183124658145426,True
Reciprocity,Reciprocity,diagonal,0.2351394987819039,0.4890159523554973,-0.25387645357359334,-107.52686233079997,0.0,0.004975124378109453,0.004975124378109453,-1.2392090704636325,-0.2582344385850257,-0.24906484165600815,True
Reciprocity,Social Proof,cooccurrence,0.055900754692557765,0.22755896798669198,-0.17165821329413422,-81.89739374044738,0.0,0.004975124378109453,0.004975124378109453,-0.967532406754182,-0.1752295172368699,-0.1677659758862866,True
Reciprocity,Scarcity,cooccurrence,0.010402782062181575,0.05656635364640305,-0.04616357158422148,-61.272211542571355,0.0,0.004975124378109453,0.004975124378109453,-0.7234220614721643,-0.047499645279813284,-0.04472354240444077,True
Reciprocity,Commitment,cooccurrence,0.003252549359248165,0.019496177653650568,-0.0162436282944024,-59.46828888098487,0.0,0.004975124378109453,0.004975124378109453,-0.7037112166423812,-0.016752560308384557,-0.015753294759727438,True
Social Proof,Social Proof,diagonal,0.19912933741299252,0.3654464520547942,-0.16631711464180168,-80.58699397323737,0.0,0.004975124378109453,0.004975124378109453,-0.9400587808556056,-0.17013246634998222,-0.16218259998950527,True
Social Proof,Scarcity,cooccurrence,0.009903288315737174,0.04864834017288967,-0.0387450518571525,-52.95832936265661,0.0,0.004975124378109453,0.004975124378109453,-0.6253315965682781,-0.040044897836046145,-0.0373799911056273,True
Social Proof,Commitment,cooccurrence,0.002955311760461865,0.016670592069716404,-0.013715280309254538,-52.12714476117213,0.0,0.004975124378109453,0.004975124378109453,-0.6168769736129774,-0.014217157274505735,-0.013253130887200057,True
Scarcity,Scarcity,diagonal,0.03366846635730861,0.08139466067490801,-0.047726194317599405,-60.69857892660597,0.0,0.004975124378109453,0.004975124378109453,-0.7150789737616868,-0.04917853794840652,-0.046168152351815483,True
Scarcity,Commitment,cooccurrence,0.0007117931033014521,0.005190044108184489,-0.004478251004883037,-36.67701145340699,1.5522445500965608e-284,0.004975124378109453,0.004975124378109453,-0.43170763508432447,-0.004702281536660774,-0.004256627887913667,True
Commitment,Commitment,diagonal,0.010033940661252974,0.02788051353157369,-0.017846572870320716,-62.78087600160703,0.0,0.004975124378109453,0.004975124378109453,-0.7415695849640238,-0.018375407952375803,-0.01730611941747502,True
