group_label,feature_a,feature_b,cell_slug,rank,phrase,phrase_len,log_ratio_score,weighted_group_count,weighted_background_count
LLM-P-FN,Authority,Authority,authority__authority,1,contact information,2,8.706722619916505,42.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,2,email finds well,3,8.657944357604357,40.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,3,name position,2,8.657944357604357,40.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,4,sensitive information,2,8.58000308113328,37.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,5,write email,2,8.58000308113328,37.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,6,best name,2,8.552611612395998,36.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,7,position contact,2,8.552611612395998,36.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,8,name position contact,3,8.552611612395998,36.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,9,position contact information,3,8.524448669701789,35.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,10,hesitate contact,2,8.434863288716986,32.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,11,team hope,2,8.403124667847571,31.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,12,best name position,3,8.301376524007232,28.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,13,external account,2,8.147285344968376,24.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,14,accounting department,2,8.147285344968376,24.0,0.0
LLM-P-FN,Authority,Authority,authority__authority,15,name hope,2,8.147285344968376,24.0,0.0
LLM-P-FN,Authority,Liking,authority__liking,1,techcorp com,2,9.28752790599279,89.99996400000003,0.0
LLM-P-FN,Authority,Liking,authority__liking,2,techcorp com number,3,9.169758795086711,79.99997100000002,0.0
LLM-P-FN,Authority,Liking,authority__liking,3,emily chen techcorp,3,8.343240980013293,34.99999,0.0
LLM-P-FN,Authority,Liking,authority__liking,4,chen techcorp,2,8.343240980013293,34.99999,0.0
LLM-P-FN,Authority,Liking,authority__liking,5,chen techcorp com,3,8.343240980013293,34.99999,0.0
LLM-P-FN,Authority,Liking,authority__liking,6,gift card,2,8.284417925075275,32.999995,0.0
LLM-P-FN,Authority,Liking,authority__liking,7,company com,2,8.155247749633084,28.999989,0.0
LLM-P-FN,Authority,Liking,authority__liking,8,company com number,3,8.12016872723449,27.999989,0.0
LLM-P-FN,Authority,Liking,authority__liking,9,make clear,2,8.083814365273984,26.999991,0.0
LLM-P-FN,Authority,Liking,authority__liking,10,security update,2,8.083813106479733,26.999957000000002,0.0
LLM-P-FN,Authority,Liking,authority__liking,11,tracking number,2,8.046088533246492,25.999998,0.0
LLM-P-FN,Authority,Liking,authority__liking,12,being valued,2,8.006882995680881,24.999993,0.0
LLM-P-FN,Authority,Liking,authority__liking,13,support techcorp,2,8.006882795760772,24.999988000000005,0.0
LLM-P-FN,Authority,Liking,authority__liking,14,support techcorp com,3,7.966077441120721,23.999988000000005,0.0
LLM-P-FN,Authority,Liking,authority__liking,15,money gift,2,7.832605902747188,20.999997,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,1,home warranty,2,9.282443830780515,59.39129943935,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,2,any technical,2,9.054165269628845,47.267644,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,3,technical jargon,2,9.05388585965424,47.25443600000001,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,4,promotional email,2,8.973904482331521,43.62138600000001,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,5,any technical jargon,3,8.896354237541184,40.365635000000005,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,6,unusual activity,2,8.871092310263426,39.358444,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,7,payment methods,2,8.797980134747357,36.58283316904,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,8,unauthorized transactions,2,8.793984629263807,36.43691799999999,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,9,clear call action,3,8.74284875114599,34.620023,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,10,clear call,2,8.74284875114599,34.620023,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,11,line greeting,2,8.711124620992981,33.538659,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,12,subject line greeting,3,8.711124620992981,33.538659,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,13,technical jargon might,3,8.710137208968668,33.505549,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,14,toronto star,2,8.680563656449692,32.528888,0.0
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,15,overall email,2,8.651812526370312,31.606678999999996,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,1,all necessary,2,10.232848200023087,122.12513999999996,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,2,first should,2,10.199725247770125,118.14592899999998,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,3,should make sure,3,10.145281549082064,111.88506199999998,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,4,their account,2,10.043104654305743,101.016675,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,5,email should,2,10.040013230641144,100.70484100000002,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,6,without being,2,9.83318160547459,81.88693299999998,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,7,sure tone,2,9.801828909979745,79.359078,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,8,make sure tone,3,9.789534794309715,78.389279,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,9,should clear,2,9.775578248739428,77.302696,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,10,support team,2,9.743692362026659,74.8764,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,11,act now,2,9.702113087026385,71.82652300000001,0.0
LLM-P-FN,Authority,Social Proof,authority__social_proof,12,hope message,2,9.693358657733175,71.20038000000001,0.0
