subject,body,label,model_prediction,model_score,model_reason,raw_response
Savor the Best-Food Network Omaha Steaks Giveaway,"<tr>
<img src=""http://104.219.248.205/track/3cLeTu5287iXFw248qlfgdcvvnt308ZHSNLBOLMPTLFJM707SWLJ2149815F12"" width=""1"" height=""1"">
<img src=""//104.219.248.205/track/3RMxrt5287olBP248lluogaicvy308GDYJANCQSKDROJX707FEJR2149815p12"" width=""1"" height=""1"">
</tr>
<center>
<a href=""https://t.co/xDn75KtKXw""> <h1> Please verify
</h1>
<br>
<img src=""https://zupimages.net/up/24/36/hy1a.png""><img src=""//zupimages.net/up/24/36/hy1a.png"">
</a>
<br>
<tr>

<hr>
</td>
</tr>
</table>
</td>
</tr>
</table>
</div>

<div style=""font-family:Calibri,Helvetica,Arial,sans-serif"">
<center>
<p style=""text-align:center;font-family: 'Open Sans','Arial','Helvetica',sans-serif;font-size:13px;"">
If you no longer wish to receive these emails, you may unsubscribe by clicking <a href=""https://t.co/F61WUwz3q0"">here </a>.<br>or by writing to 6130 W Flamingo Rd. Las Vegas, NV 89103
</p>
</center>
</div>
</body>

</html>",1,1,8,"Suspicious tracking images and links, lack of sender authenticity, and formatting irregularities.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious tracking images and links, lack of sender authenticity, and formatting irregularities."",
  ""score"": 8
}"
Please confirm your Calendly email address,"Calendly Your email address REDACTED+calendly@gmail.com has been registered for an account at Calendly. To confirm your email address, please click the link below. Confirm My Email Or copy and paste this URL into your browser: https://calendly.com/users/confirmation?confirmation_token=xPjfjYefXJauEoV1Hfr5 If you did not make this request, you can safely ignore this message. Thanks! The Calendly Team Sent from Calendly",1,0,2,"Legitimate email from Calendly, with a clear explanation and a URL that matches the company's domain.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email from Calendly, with a clear explanation and a URL that matches the company's domain."",
  ""score"": 2
}"
Re: sa-learn --ham ground rules,"On Friday 08 February 2008, Karsten BrÃ¤ckelmann wrote: >On Fri, 2008-02-08 at 01:49 -0500, Gene Heskett wrote: >> The sa-learn --spam can process a message in 5 to 10 seconds or so, so if >> I've dropped 20 doofus mails in the spam directory and fire it off, I have >> it done and kmail is back among the living in 2-3 minutes. > >This seems *way* too high. If there have been only 20 messages total in >that folder, sa-learn should have processed these in a few *seconds* or >less. > >> But, feeding it a 'ham' directory with about 7k messages in it, turned >> sa-learn into a 100% cpu hog, [...] > >What did you expect? Based on your numbers above, processing that folder >would have taken 10-20 *hours*... > >> incrementing the message processed number only >> about every 3 to 5 minutes. I couldn't kill it, it kept coming back and I >> must have fed it a kill -9 50 times. > >Hmm. Kmail doesn't start one process per mail by any chance? > >> So what is the maximum number of files in a directory that one can feed to >> sa-learn --ham and expect it to achieve normal speed? > >Dunno if there are limitations -- however, your 7k messages should be >perfectly fine. Just ran a test on a 6k messages mbox file, and there >was no noticeable difference to a 30 messages test. > >> The command that kmail issues to it is: >> sa-learn --ham /root/Mail/(foldername)/cur > >You're not using root as your ordinary user account, do you !? > > guenther In fact I do, but I have myself somewhat in a sandbox as all the mail handling stuff except kmail runs as an unprivileged user, and kmail pulls incoming from that mailbox in /var. I've been doing that for about 2-3 of years, started it back at FC2. And running as root since RH5.1. Yeah, I'm an un-repentant old fart. -- Cheers, Gene ""There are four boxes to be used in defense of liberty: soap, ballot, jury, and ammo. Please use in that order."" -Ed Howdershelt (Author) CPU needs recalibration",0,0,1,Legitimate email conversation about sa-learn and mail processing,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email conversation about sa-learn and mail processing"",
  ""score"": 1
}"
"Reminder: Please Confirm Your Billing Details on Fri, August 15, 2025","<table width=""100%"" cellspacing=""0"" cellpadding=""0"" bgcolor=""#f3f3f3"">
<tbody>
<tr>
<td align=""center"">
<table style=""font-family: 'Segoe UI', Arial, sans-serif; border-radius: 8px; margin-top: 40px; margin-bottom: 40px; box-shadow: 0 0 5px rgba(0,0,0,0.1);"" width=""600"" cellspacing=""0"" cellpadding=""0"" bgcolor=""#ffffff"">
<tbody>
<tr>
<td style=""padding: 20px;"" align=""left"">
<table cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>
<table style=""margin-right: 8px; height: 42px;"" width=""65"" cellspacing=""2"" cellpadding=""0"">
<tbody>
<tr>
<td style=""width: 27px; height: 10px; background-color: #f25022;"">&nbsp;</td>
<td style=""width: 27px; height: 10px; background-color: #7fba00;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 27px; height: 10px; background-color: #00a4ef;"">&nbsp;</td>
<td style=""width: 27px; height: 10px; background-color: #ffb900;"">&nbsp;</td>
</tr>
</tbody>
</table>
</td>
<td style=""font-size: 20px; font-weight: 600; color: #333333;"">M󠄹󠄹ic󠄹󠄹r󠄹󠄹o󠄹󠄹s󠄹󠄹o󠄹󠄹f󠄹󠄹t</td>
</tr>
</tbody>
</table>
</td>
</tr>
<tr>
<td style=""padding: 30px 20px; font-size: 16px; color: #1b1b1b;"">
<strong>Payment Could Not Be Processed — Please Update Information</strong>
<br /><br />
We attempted to renew your M󠄹󠄹ic󠄹󠄹r󠄹󠄹o󠄹󠄹s󠄹󠄹o󠄹󠄹f󠄹󠄹t O󠄹󠄹f󠄹󠄹f󠄹󠄹i󠄹󠄹c󠄹󠄹e 3󠄹󠄹6󠄹󠄹5 subscription, but your payment could not be completed successfully.
<br /><br />
To avoid any disruption to your O󠄹󠄹f󠄹󠄹f󠄹󠄹i󠄹󠄹c󠄹󠄹e 3󠄹󠄹6󠄹󠄹5 services, please review and update your billing details at your earliest convenience.
<br /><br />
<table width=""100%"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td align=""center"">
<a style=""display: inline-block; padding: 12px 24px; background-color: #0078d4; color: #ffffff; text-decoration: none; border-radius: 4px; font-weight: 500; font-size: 15px;"" href=""https://www.milestonexpo.com"">
Update Account Details
</a>
</td>
</tr>
</tbody>
</table>
<br /><br />
If your billing information is not updated soon, certain features of your O󠄹󠄹f󠄹󠄹f󠄹󠄹i󠄹󠄹c󠄹󠄹e 3󠄹󠄹6󠄹󠄹5 plan may be paused until payment is resolved.
<br /><br />
This message was automatically generated and is not monitored for replies.
<br /><br />
Thank you,<br />
O󠄹󠄹f󠄹󠄹f󠄹󠄹i󠄹󠄹c󠄹󠄹e 3󠄹󠄹6󠄹󠄹5 Billing Support Team
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>

<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"" aria-hidden=""true"">&nbsp;</div>
<div dir=""ltr"">Thanks,</div>
<div dir=""ltr"">Lanesheia Hatter</div>
<div dir=""ltr"">Paralegal to</div>
<div dir=""ltr"">John D West</div>
<div aria-hidden=""true"">&nbsp;</div>
<div id=""x_x_x_yiv9624130327ydp5fe1d924yahoo_quoted_5347997614"" class=""x_x_x_yiv9624130327ydp5fe1d924yahoo_quoted"">
<div style=""font-family: 'Helvetica Neue',Helvetica,Arial,sans-serif; font-size: 13px;"">
<div>On Friday, November 28, 2025 at 02:19:25 PM EST, Lanesheia Hatter &lt;&gt; wrote:</div>
<div aria-hidden=""true"">&nbsp;</div>
<div aria-hidden=""true"">&nbsp;</div>
<div>
<div dir=""ltr"">I have attached the drafts of the Postnup and Will.&nbsp; Please review and have any changes ready at the meeting.</div>
<div id=""x_x_x_yiv9624130327ydp5fe1d924yiv6535965357"">
<div aria-hidden=""true"">&nbsp;</div>
<div aria-hidden=""true"">&nbsp;</div>
<div aria-hidden=""true"">&nbsp;</div>
<div aria-hidden=""true"">&nbsp;</div>
<div id=""x_x_x_yiv9624130327ydp5fe1d924yiv6535965357composer_signature"">Thanks, Lanesheia
<div aria-hidden=""true"">&nbsp;</div>
<div>Lanesheia Hatter</div>
<div>317-242-6612</div>
<div>Lanesheiahatter1282930901@hotmail.com</div>
</div>
<div id=""x_x_x_yiv9624130327ydp5fe1d924yiv6535965357ydp8172e7a4yahoo_quoted_3606260256"" class=""x_x_x_yiv9624130327ydp5fe1d924yiv6535965357ydp8172e7a4yahoo_quoted"" aria-hidden=""true"">&nbsp;</div>
</div>
</div>
</div>
</div>",1,1,8,"Suspicious email with a fake sense of urgency, unclear sender identity, and a link to an unverified website.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious email with a fake sense of urgency, unclear sender identity, and a link to an unverified website."",
  ""score"": 8
}"
"Atenção, rodrigo-f-p! Comunicado Oficial: Infração com pontuação grave em sua CNH. Código: 33862525.",Coloca uma mensagem opcional aqui caso o HTML não possa ser carregado,1,1,8,"Suspicious email with a sense of urgency and a link to a potentially malicious website, also the use of HTML in the body is a red flag.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious email with a sense of urgency and a link to a potentially malicious website, also the use of HTML in the body is a red flag."",
  ""score"": 8
}"
Your account has been compromised!,"Notification of Limited Account Access As part of our security measures, we regularly screen activity in the PayPal system. We recently noticed the following issue on your account: Unusual account activity has made it necessary to limit account access until additional verification information can be collected. Case ID Number: PP-071-362-996 For your protection, we have limited access to your account until additional security measures can be completed. We apologize for any inconvenience this may cause. Click here to verify your account Please understand that this is a security measure intended to help protect you and your account. We apologize for any inconvenience. If you choose to ignore our request, you leave us no choise but to temporaly suspend your account. Sincerely, PayPal Account Review Department. Please do not reply to this e-mail. Mail sent to this address cannot be answered. For assistance, log in to your PayPal account and choose the ""Help"" link in the footer of any page. To receive email notifications in plain text instead of HTML, update your preferences here. Email id: hmLoAHnSx.vVZC6zoP",1,1,8,"Suspicious email from PayPal with urgent and threatening language, asking for verification without logging in, and containing a suspicious link.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious email from PayPal with urgent and threatening language, asking for verification without logging in, and containing a suspicious link."",
  ""score"": 8
}"
RE: Payment of outstanding return RE: for jose 46731147365,"jose@monkey.org

Payment To be Returned

Dear jose,

Your Monthly bill payment of AED 1,634.79 for for your account is due to be returned to your account.

Please review and verify payment transaction details HERE
for your confimration.to ensure service continuity.

Kndly ensure to verify this payment today to avoid any disruption or delays.

This notice is forjose@monkey.org For more information or inquiries, please contact our Customer Care Centre at call 04-6819999.

Your happiness is our priority.
Dubai Electricity & Water Authority

Disclaimer:",1,1,8,Suspicious URL 'HERE' and lack of proper sender authentication,"{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious URL 'HERE' and lack of proper sender authentication"",
  ""score"": 8
}"
Exclusive Peek: Tomorrow's Energy Tech Today,".belowView { margin-top: 470500px; /* Adjust value as needed */ }
ReadMsgBody{ width: 100%;} .ExternalClass {width: 100%;} .ExternalClass, .ExternalClass p, .ExternalClass span, .ExternalClass font, .ExternalClass td, .ExternalClass div {line-height: 100%;} body {-webkit-text-size-adjust:100%; -ms-text-size-adjust:100%;margin:0 !important;} p { margin: 1em 0;} table td { border-collapse: collapse;} img {outline:0;} a img {border:none;} .container {width:770px;} a { color: #191919; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif !important; } span { font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif !important; } @-ms-viewport{ width: device-width;} @media only screen and (max-width: 480px) { .container {width: 100% !important;} .footer { width:auto !important; margin-left:0; } .mobile-hidden { display:none !important; } .logo { display:block !important; padding:0 !important; } img { max-width:100% !important; height:auto !important; max-height:auto !important;} .header img{max-width:100% !important;height:auto !important; max-height:auto !important;} .photo img { width:100% !important; max-width:100% !important; height:auto !important;} .drop { display:block !important; width: 100% !important; float:left; clear:both;} .footerlogo { display:block !important; width: 100% !important; padding-top:15px; float:left; clear:both;} .nav4, .nav5, .nav6 { display: none !important; } .tableBlock {width:100% !important;} .responsive-td {width:100% !important; display:block !important; padding:0 !important; } .fluid, .fluid-centered { width: 100% !important; max-width: 100% !important; height: auto !important; margin-left: auto !important; margin-right: auto !important; } .fluid-centered { margin-left: auto !important; margin-right: auto !important; } .buttonstyles { font-weight:bold !important; } /* MOBILE GLOBAL STYLES - DO NOT CHANGE */ body, .tb_properties{font-family: Arial !important; font-size: 18px !important; color: #808080 !important; line-height: 1.5 !important; padding: 0px !important; }.buttonstyles{font-family: Arial, helvetica, sans-serif !important; font-size: 16px !important; color: #13BD74 !important; padding: 10px 25px !important; }h1{font-family: Arial !important; font-size: 22px !important; color: #202020 !important; line-height: 1 !important; }h2{font-family: Arial !important; font-size: 20px !important; color: #202020 !important; line-height: 1.15 !important; }h3{font-family: Arial !important; font-size: 18px !important; color: #202020 !important; line-height: 1 !important; }a:not(.buttonstyles){line-height: 1.5 !important; }.mobile-hidden{display: none !important; }.responsive-td {width: 100% !important; display: block !important; padding: 0 !important;} /* END OF MOBILE GLOBAL STYLES - DO NOT CHANGE */ } @media only screen and (max-width: 640px) { .container { width:100% !important; } .mobile-hidden { display:none !important; } .logo { display:block !important; padding:0 !important; } .photo img { width:100% !important; height:auto !important;} .nav5, .nav6 { display: none !important;} .fluid, .fluid-centered { width: 100% !important; max-width: 100% !important; height: auto !important; margin-left: auto !important; margin-right: auto !important; } .fluid-centered { margin-left: auto !important; margin-right: auto !important; } .buttonstyles { font-family:arial,helvetica,sans-serif !important; font-size: 16px !important; color: #FFFFFF !important; padding: 10px !important; } } div.preheader { display: none !important; }
Webby Talks is back to explore the AI explosion and pull key strategies for using it in your work.

View this email in your browser

Sep 27, 2023Follow Netted

Mark Your Calendars for the 2023 Webby Talks Tour

Join The Webby Awards to learn how to stay ahead of the curve with AI. Check out the full schedule!

At Netted, our mission is to celebrate and share the best of digital innovation. We spotlight apps and projects to help our community live better and work smarter through the Internet.

That’s why we’re sharing that Webby Talks, the annual thought leadership series by The Webby Awards, has officially kicked off!

Presented by Canva and YouGov, this year’s Webby Talks theme is The Race to Outpace , a curated dive into the breakneck speed of AI innovations, with insights on how to keep pace in this new era of the Internet.

It takes a close look at the AI innovations transforming various industries with case studies and insights to use in your own work—informed by the survey results of over 2,000 American consumers and research conducted by the Webby team.

Book a Talk for your organization, or see the upcoming schedule to join one of our Webby Talks Events in Los Angeles, Austin, London, Amsterdam and New York for inspiration on how to use AI to create great work.

Learn More

Find Out When Webby Talks Will Be in Your City

Join The Webby Awards in person for Webby Talks live in a city near you, from September 2023 to February 2024! If you are in Los Angeles, RSVP to attend Webby Talks: Live in LA on October 4th to network with industry peers and spotlight insights from teams wielding AI to build exciting projects.

See The Full Schedule

Copyright © 2023 Netted All rights reserved.
Netted is editorially independent. We do not accept payment for editorial coverage.

Netted by the Webbys: 22 West 21st St, 7th Floor New York, NY 10010 US

UNSUBSCRIBE
UNSUBSCRIBE",1,0,2,Legitimate email with clear content and no suspicious links or attachments.,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with clear content and no suspicious links or attachments."",
  ""score"": 2
}"
Issues with Project Timelines Not Syncing Across All Devices,"Hello Customer Support, I am contacting you to report a problem with project timelines not syncing across different devices. The timelines are not updating consistently, leading to discrepancies. It's possible that an outdated API integration is the cause of this issue. I have already attempted to restart the NAS-System and update the projectors, but the problem still persists. I would be very grateful if you could look into this matter and offer a solution or suggestions on how to fix it. Please inform me if any additional information is necessary for your investigation. I appreciate your time and help. I eagerly await your response and look forward to hearing from you soon.",0,0,2,"Legitimate email with proper grammar, spelling, and context. The email is from a customer support perspective, which is a common and expected communication channel.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with proper grammar, spelling, and context. The email is from a customer support perspective, which is a common and expected communication channel."",
  ""score"": 2
}"
Your mailbox is almost full jose@monkey.org,"Dear jose@monkey.org, Your mailbox is almost full. 496MB 500MB To avoid an account from being shutdown kindly. Click here to Upgrade Disk-space to 15 GB automatically. Kindly upgrade mailbox storage to avoid any interruption. Upgrade is Free. Thanks, Mail Administrator. DearÂ Â jose@monkey.org, Your mailbox is almost full. 496MB Â 500MB To avoid an account from being shutdown kindly.Â Click hereÂ Â to Upgrade Disk-space toÂ 15 GBÂ automatically.Â Â Kindly upgrade mailbox storage to avoid any interruption.Â Upgrade is Free.Â Thanks,Â Mail Administrator.",1,1,8,"Urgent language, lack of personalization, and a suspicious link without a clear destination.","{
  ""is_phishing"": 1,
  ""reason"": ""Urgent language, lack of personalization, and a suspicious link without a clear destination."",
  ""score"": 8
}"
