row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,spamassassin_prediction,spamassassin_status_header,spamassassin_flag_header,spamassassin_score,spamassassin_required_score,spamassassin_tests,spamassassin_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,1,spamassassin_000001_000100_chunk_input,"User, we require you to confirm your account details immediately.",1,kaggle,547,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,2,spamassassin_000001_000100_chunk_input,"Sarah Thompson, and I'm a senior recruiter at Global Solutions.",1,kaggle,1302,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,3,spamassassin_000001_000100_chunk_input,"Michael, the Head of Security at our esteemed financial institution.",1,kaggle,870,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,4,spamassassin_000001_000100_chunk_input,"Sarah, the Security Manager at our esteemed financial institution.",1,kaggle,898,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,5,spamassassin_000001_000100_chunk_input,"John, I would like to inform you about an important tax refund that you",1,kaggle,859,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,6,spamassassin_000001_000100_chunk_input,"Sarah, I am writing to inform you about an urgent update regarding your tax",1,kaggle,809,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,7,spamassassin_000001_000100_chunk_input,"Michael, I have important news regarding your tax refund for the year 2021.",1,kaggle,811,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,8,spamassassin_000001_000100_chunk_input,"Jennifer, I am reaching out to inform you about an unclaimed tax refund that",1,kaggle,884,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,9,spamassassin_000001_000100_chunk_input,"Robert, I am writing to inform you about an important update regarding your tax",1,kaggle,832,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,10,spamassassin_000001_000100_chunk_input,"Elizabeth, it is my duty to inform you about an urgent tax refund notice.",1,kaggle,832,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
11,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2_detector_suite_5qioolv5/spamassassin_000001_000100/chunk_input.csv,11,spamassassin_000001_000100_chunk_input,"Daniel, I have discovered an important notification regarding your tax refund.",1,kaggle,814,,,,,,,config: no rules were found!  Do you need to run 'sa-update'? at /home/che489/perl5/bin/spamassassin line 431.
