group,detector,hw_fpr,llm_fpr,delta_fpr,hw_fnr,llm_fnr,delta_fnr
Academic,scamllm,25.29,25.74,0.45,12.53,35.56,23.02
Academic,pimref,1.32,0.18,-1.14,95.92,98.33,2.41
Academic,t5phishing,100.00,100.00,0.00,0.00,0.00,0.00
Academic,ml_watermark_logreg,88.16,64.68,-23.47,14.13,15.82,1.69
Academic,xgboost,29.73,36.67,6.93,35.45,35.01,-0.44
Academic,securenet_llama,4.69,12.03,7.33,16.88,33.48,16.60
Academic,Academic mean,41.53,39.88,-1.65,29.15,36.37,7.21
Academic,Academic median,27.51,31.20,0.23,15.51,34.24,2.05
Industrial,llm_guard,35.79,70.08,34.29,58.21,45.48,-12.73
Industrial,phishing_email_agent,5.63,11.18,5.55,78.42,59.65,-18.77
Industrial,email_phishing_detection_v3,,15.77,,,27.30,
Industrial,pyrit_original,,,,,,
Industrial,pyrit_blocklist,,5.37,,,79.54,
Industrial,spamassassin,2.61,8.48,5.87,58.75,79.53,20.78
Industrial,oopspam,,,,,,
Industrial,Industrial mean,14.68,22.18,15.24,65.13,58.30,-3.57
Industrial,Industrial median,5.63,11.18,5.87,58.75,59.65,-12.73
