stage,hw_recall,llm_recall,delta_recall,hw_f2,llm_f2,delta_f2,hw_mcc,llm_mcc,delta_mcc
S1,0.8588410104011887,0.9286775631500744,0.06983655274888578,0.7653601694915254,0.7259001161440186,-0.039460053347506796,0.5355556536640032,0.385673356326388,-0.14988229733761516
S2,0.8655967903711134,0.8746238716148446,0.009027081243731194,0.8434323690383112,0.7784324227816461,-0.06499994625666505,0.6052678062288607,0.1679170041654918,-0.43735080206336885
S4,0.875585455164779,0.4794345567572171,-0.39615089840756196,0.8765110054046681,0.53095175223509,-0.34555925316957814,0.6196671099166682,0.394602110859765,-0.2250649990569032
S5,0.8745928338762216,0.9600977198697068,0.08550488599348527,0.8482072342441952,0.9477491961414792,0.09954196189728404,0.6009619180968087,0.8568691024656853,0.2559071843688766
S6-MPG,0.881875,0.914375,0.032500000000000084,0.8586903602726388,0.8896862077353442,0.03099584746270545,0.6345590079556654,0.6967392525471765,0.06218024459151106
S6-UTA,0.875,0.824375,-0.05062500000000003,0.8539709649871904,0.8112929019559602,-0.04267806303123023,0.6316813560263851,0.5699805685687525,-0.06170078745763263
S6-fuzzer,0.875,0.7709090909090909,-0.10409090909090912,0.8759555879140881,0.7483233321567243,-0.1276322557573638,0.6342006228400073,0.0121698095877808,-0.6220308132522265
S8-deepseek,0.87,0.478,-0.392,0.8506061791161518,0.5181384593149299,-0.3324677198012219,0.6301078306719015,0.3724032249489188,-0.25770460572298265
S8-llama,0.878,0.7653333333333333,-0.11266666666666669,0.855972962433381,0.76871568233561,-0.0872572800977709,0.6325914977975532,0.5528004605691459,-0.0797910372284073
S8-ministral,0.8733333333333333,0.7773333333333333,-0.09599999999999997,0.853531404743289,0.773619957537155,-0.07991144720613408,0.6349530995168529,0.5308195647217979,-0.10413353479505494
