row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,overall_is_valid,invalid_scanner_count,flagged_scanners,malicious_urls_is_valid,malicious_urls_risk_score,ban_substrings_is_valid,ban_substrings_risk_score,sensitive_is_valid,sensitive_risk_score
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,1,llm_guard_001501_001600_chunk_input,You have added eBay your account,1,phishyai-phishing,991,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,2,llm_guard_001501_001600_chunk_input,Request for Detailed Documentation on Smartsheet SaaS,0,tobiasbuek,368,True,0,,True,-1.0,True,-1.0,True,-1.0
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,3,llm_guard_001501_001600_chunk_input,It's time to take a little break,1,phishpuzzer,947,True,0,,True,-1.0,True,-1.0,True,-1.0
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,4,llm_guard_001501_001600_chunk_input,Request for Software Update and Strategy Optimization,0,tobiasbuek,648,True,0,,True,-1.0,True,-1.0,True,-1.0
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,5,llm_guard_001501_001600_chunk_input,Say goodbye to the hassle of obtaining a prescription - all our medications are available without one.,1,phishing_pot,2804,True,0,,True,-0.7,True,-1.0,True,-1.0
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,6,llm_guard_001501_001600_chunk_input,Business Partnership,1,phishing_pot,379,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,7,llm_guard_001501_001600_chunk_input,[spambayes-dev] Website updated for 1.1a4,0,phishpuzzer,676,False,1,sensitive,True,-0.7,True,-1.0,False,1.0
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,8,llm_guard_001501_001600_chunk_input,Your mailbox size notification,1,phishpuzzer,554,True,0,,True,-1.0,True,-1.0,True,-1.0
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,9,llm_guard_001501_001600_chunk_input,Pipeline Update - February 10,0,uberjugaad,224,False,1,sensitive,True,-1.0,True,-1.0,False,0.9
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,10,llm_guard_001501_001600_chunk_input,Claim Your $ORB Airdrop from Orbiter Finance!,1,phishing_pot,12047,True,0,,True,-0.6,True,-1.0,True,-1.0
11,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,11,llm_guard_001501_001600_chunk_input,"phishing@pot Ferreira Peixoto, Verificação de Pagamento Pendente.",1,phishing_pot,6748,False,1,sensitive,True,-0.7,True,-1.0,False,1.0
12,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,12,llm_guard_001501_001600_chunk_input,Congratulations ! You have been selected #84697,1,phishing_pot,3345,True,0,,True,-0.5,True,-1.0,True,-1.0
13,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,13,llm_guard_001501_001600_chunk_input,Wir haben Ihr Konto vorübergehend gesperrt,1,nazario,664,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
14,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,14,llm_guard_001501_001600_chunk_input,Question from ebay member,1,phishyai-phishing,2101,True,0,,True,-1.0,True,-1.0,True,-1.0
15,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,15,llm_guard_001501_001600_chunk_input,Complete with docusign: eSign - Business Proposal and Service Engagement Agreement for Andrew.pdf,1,cmu-archived-phish,450,True,0,,True,-0.7,True,-1.0,True,-1.0
16,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,16,llm_guard_001501_001600_chunk_input,Fw: You have won an Makita Power Drill,1,phishing_pot,2921,True,0,,True,-0.5,True,-1.0,True,-1.0
17,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,17,llm_guard_001501_001600_chunk_input,"PO Approval Required: €45,369",0,uberjugaad,196,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
18,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,18,llm_guard_001501_001600_chunk_input,Problem with Analytics,0,tobiasbuek,610,True,0,,True,-1.0,True,-1.0,True,-1.0
19,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,19,llm_guard_001501_001600_chunk_input,Our store sells all medications without the need for a prescription.,1,phishing_pot,2766,True,0,,True,-0.7,True,-1.0,True,-1.0
20,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,20,llm_guard_001501_001600_chunk_input,ACTION REQUIRED? Password Expiry Notification!!,1,nazario,374,True,0,,True,-0.4,True,-1.0,True,-1.0
21,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,21,llm_guard_001501_001600_chunk_input,Moodle Integration Encounter Error Post Incompatible Plugin Update,0,tobiasbuek,348,True,0,,True,-1.0,True,-1.0,True,-1.0
22,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,22,llm_guard_001501_001600_chunk_input,eBay - eBay automatically invites qualified users to be PowerSeller,1,phishyai-phishing,2424,False,1,sensitive,True,-1.0,True,-1.0,False,0.5
23,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,23,llm_guard_001501_001600_chunk_input,Enhanced Security for Medical Data,0,tobiasbuek,460,True,0,,True,-1.0,True,-1.0,True,-1.0
24,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,24,llm_guard_001501_001600_chunk_input,Today's Business Headlines,1,phishpuzzer,2390,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
25,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_001501_001600/chunk_input.csv,25,llm_guard_001501_001600_chunk_input,Fwd: Reminder: Your Amаzon accоunt is tempоrarily on hоld [Case-ID: 4071540512],1,phishing_pot,373,True,0,,True,-0.5,True,-1.0,True,-1.0
