subject,body,label,model_prediction
Urgent: Strengthen Data Encryption for Medical Records,"Dear support team, it is imperative that we quickly enhance data encryption for medical records on the Smart-Licht and Plex systems. The current security protocols are deemed inadequate, and it is crucial to implement robust encryption techniques to protect sensitive patient information from unauthorized access. Please swiftly address this urgent matter and confirm the steps you will take to improve data security. I look forward to your prompt response and am available to discuss this further if needed.",0,1
Please Reset your information #370322,"We're
writing to let you know that we detected something unusual about recent
sign-in to your Chase Online deposit account.
To help keep your account safe, we require an extra security challenge we can
help you take corrective action. Please log on to your Chase Online
account by clicking on
Dear Customer:

Recently, there's been activity in your account that seems unusual
Compared to your Normal account activities..

What do you need to do?

Please visit the following link to confirm your account information.

Confirm Identity

Note: This may have happened because you're using a device you don't usually use or
you cleared the data on your browser.

Thank you for helping us keep your account safe.

Sincerely,

Online Banking Team",1,0
Issue with Inconsistent Data Dashboard Updates,Inconsistent updates on the data dashboard might be caused by an outdated browser cache.,0,0
Urgent: API Monitoring Alerts Not Triggering,"Hi Aetheros Support,

We've been experiencing issues with our API monitoring setup. The alerts aren't triggering despite exceeding the defined thresholds.

We've checked the following:

* API endpoint availability
* Monitoring dashboard configuration
* Alerting channel settings

Everything seems to be in order, but we're still not receiving alerts. This is causing significant delays in our incident response time.

Could you please investigate this issue as a matter of urgency?

Thanks,
John Doe",0,1
Problems with synchronization customer care,"Issue: Synchronization problems among integrations. Details: Data inconsistencies appeared unexpectedly. Reason: Possibly due to excessive API requests. Actions taken: Restarted services, reviewed logs.",0,0
Pipeline Update - February 07,"Morning update:

Opportunities in progress: 18
Value in pipeline: €1,522,475
Closes this week: 3

Key activities today:
- Customer meetings: 3
- Proposals to send: 0
- Follow-ups needed: 8

Almut",0,1
Combine Adobe Creative Cloud,"Customer Support, seeking guidance on integrating Adobe Creative Cloud with ClickUp for project management. Interested in how these two tools can work together to streamline our workflow. Could you provide detailed steps on the integration process, including any specific requirements that need to be met? I would greatly appreciate any information that could help troubleshoot common issues that may arise during the integration process. Also, are there any tutorials or resources available to assist us in getting started with the integration? Looking forward to your response.",0,0
Pipeline Update - January 30,"Morning update:

Opportunities in progress: 14
Value in pipeline: €1,985,838
Closes this week: 4

Key activities today:
- Customer meetings: 3
- Proposals to send: 1
- Follow-ups needed: 6

Tilly",0,1
Important: Potential Contact with Recently Diagnosed Individual,"CMU archived phishing listing entry.

Date: 2/23/25
Target Audience: Staff/Students/Faculty
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/contact-with-diagnosed-individual.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,0
Gutschein 500 EURO f��r ALDI,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"" ><html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
<title>kostenfrei mitmachen</title>
</head>

<body bgcolor=""#ffffff"" text=""#3a3a3a"" link=""#003cff"" vlink=""#003cff"" alink=""#003cff"" style=""width: 100%; margin: 0; padding: 0; font-family: Arial, Verdana, sans-serif; background-color: #ffffff; -webkit-text-size-adjust: none;"">

<!-- * Header * -->

<!-- * Header * -->

<table border=""0"" width=""500"" cellpadding=""0"" cellspacing=""10"" align=""center"">
<tr>
<td>
<font color=""#3a3a3a"" size=""3"" face=""Arial, sans-serif"" style=""font-size: 15px; line-height: 20px;"">

Hallo <b>{title} {lastname}</b>!<br><br>

Leider konnten wir Sie bisher nicht erreichen.<br><br>

Sie sind einer unserer möglichen <b><a href=""https://jooon-track.com/?a=6031&amp;oc=16865&amp;c=46061&amp;m=3&amp;s1="" target=""_blank"" style=""color:#003cff; font-weight:bold; text-decoration:underline;"">Gewinner</b></a> für einen Einkaufsgutschein bei ALDI im Wert von 500 Euro! Der Gutschein ist bei Aldi Süd und bei Aldi Nord einlösbar.<br><br>

Allerdings verfällt der Gutschein von <b><a href=""https://jooon-track.com/?a=6031&amp;oc=16865&amp;c=46061&amp;m=3&amp;s1="" target=""_blank"" style=""color:#003cff; font-weight:bold; text-decoration:underline;"">500 EURO für ALDI</b></a> schon bald!<br>

<br>

Bitte bestätigen Sie Ihre Angaben:<br><br>

Vorname: <b>{firstname}</b><br>
Nachname: <b>{lastname}</b><br>

<a href=""https://jooon-track.com/?a=6031&amp;oc=16865&amp;c=46061&amp;m=3&amp;s1="" target=""_blank"" style=""color:#003cff; font-weight:bold; text-decoration:underline;"">JETZT BESTÄTIGEN!</a><br><br>

Hoffentlich können wir Ihnen damit eine kleine Freude machen.<br><br>

Viel Erfolg!<br>
Ihre Julia Vetter vom Kundenservice

</font>

</td>
</tr>
</table>

<!-- * Footer * -->

<!-- * Footer * -->

</body>
</html>

<br><br><span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px"">click <a href=""http://zikolomkildfrs.ma/OUR6aDJTTW93R2RKYjRQRldwSDhnSHFvYnFqc1B1Nm5BMEdGdlpyVUw2Y2hEOFk4bmdYUmJPRVJmazBsQm4vTzdtdTVjZjNyaHNwZkhwTHJCZ3BtY2dNdGw3UTFzcEtkTm5ZKzJHZGlwVzQ9"">here</a> to remove yourself from our emails list</span><br><br><img alt="""" src=""http://zikolomkildfrs.ma/eXE1dUhFQzVtSlhIS2hsekNhWjZBZ3pOSHVGU284MzU2TVF2Q1N4NDAyV3lnMGtIVERRdyt6QlcvK3EvMGRKeVFDVmV6TmRBb3k3ako0aHV0SHpoMUE9PQ__"" width=""1px"" height=""1px"" style=""visibility:hidden"">",1,1
