Body,label,category,data source
"hey, can you send me the meeting link for tomorrow? Thanks!",0,na,AIFraud
good morning! Hope you're having a great day.,0,na,AIFraud
can you pick up some groceries on your way home? Need milk and bread.,0,na,AIFraud
just saw your missed call. What's up?,0,na,AIFraud
thanks for the party invite! I'll be there by 7 PM.,0,na,AIFraud
"hey, can you share the recipe for that cake? It was delicious!",0,na,AIFraud
let's catch up soon. When are you free?,0,na,AIFraud
can you send me the address for the event? Got lost last time!,0,na,AIFraud
happy birthday! Hope you have an amazing day!,0,na,AIFraud
just checking if you're free for a call later today.,0,na,AIFraud
are you coming to the party tonight? Let me know!,0,na,AIFraud
"hey, can you send me the Zoom link for today's meeting?",0,na,AIFraud
"hi, let's grab dinner this weekend. Any place you prefer?",0,na,AIFraud
just finished the book you recommended. Loved it!,0,na,AIFraud
"hey, are you free for a movie night on Saturday?",0,na,AIFraud
"hi, can you share the group photo from the party?",0,na,AIFraud
"just checking in, how's your new job going?",0,na,AIFraud
"hey, I'm at the mall. Need anything?",0,na,AIFraud
"hi, can you confirm the time for tomorrow's call?",0,na,AIFraud
"just saw your post, congrats on the promotion!",0,na,AIFraud
"hey, let's plan a hike this Sunday. You in?",0,na,AIFraud
"hi, can you send me the recipe for your pasta dish?",0,na,AIFraud
"just got home, thanks for the ride earlier!",0,na,AIFraud
"hey, are we still meeting at the café at 5 PM?",0,na,AIFraud
"hi, happy anniversary! Hope you guys have a great day!",0,na,AIFraud
just watched that show you mentioned. It's awesome!,0,na,AIFraud
"hey, can you pick up some coffee on your way?",0,na,AIFraud
"hi, let me know when you're free to catch up.",0,na,AIFraud
just booked our tickets for the game. Excited!,0,na,AIFraud
"hey, can you send me the presentation slides?",0,na,AIFraud
"hi, thanks for the gift! It's perfect.",0,na,AIFraud
"just saw a funny meme, want me to send it?",0,na,AIFraud
"hey, are you joining the team lunch tomorrow?",0,na,AIFraud
"hi, can you remind me where we're meeting tonight?",0,na,AIFraud
"just finished my workout, feeling great!",0,na,AIFraud
"hey, let's try that new restaurant this weekend.",0,na,AIFraud
"hi, can you share the playlist from the party?",0,na,AIFraud
"just got your message, I'll call you later.",0,na,AIFraud
"hey, happy new year! Any plans for today?",0,na,AIFraud
"hi, can you send me the address for the event?",0,na,AIFraud
"just saw your email, I'll reply soon.",0,na,AIFraud
"hey, are you free for a quick chat this evening?",0,na,AIFraud
"hi, thanks for helping with the project yesterday!",0,na,AIFraud
"just booked a table for dinner, see you at 7!",0,na,AIFraud
"hey, can you share the notes from today's meeting?",0,na,AIFraud
"hi, let's plan a game night soon. You in?",0,na,AIFraud
"just got the concert tickets, can't wait!",0,na,AIFraud
"hey, can you confirm the date for the trip?",0,na,AIFraud
"hi, hope you're having a great week!",0,na,AIFraud
"just saw your new car, looks amazing!",0,na,AIFraud
"hey, let me know if you're free for coffee tomorrow.",0,na,AIFraud
thanks for the book recommendation! I'm loving it so far.,0,na,AIFraud
"hey, want to grab lunch this weekend?",0,na,AIFraud
