stage_group,stage,source,principle_group,left_principle,right_principle,value
S2,S2,HW,A-A,Authority,Authority,0.9981048987040001
S2,S2,HW,A-A,Authority,Authority,0.529254795001
S2,S2,HW,A-A,Authority,Authority,0.14325997900899998
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.641386349956
S2,S2,HW,A-A,Authority,Authority,0.9999980000009999
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.999652030276
S2,S2,HW,A-A,Authority,Authority,0.9838913995690001
S2,S2,HW,A-A,Authority,Authority,0.9298995619689999
S2,S2,HW,A-A,Authority,Authority,0.8971821568089999
S2,S2,HW,A-A,Authority,Authority,0.5002096350249999
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.35949857472399993
S2,S2,HW,A-A,Authority,Authority,0.328857518521
S2,S2,HW,A-A,Authority,Authority,0.061422187225
S2,S2,HW,A-A,Authority,Authority,0.999992000016
S2,S2,HW,A-A,Authority,Authority,0.41576961920399996
S2,S2,HW,A-A,Authority,Authority,0.9975195400809999
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.7413261660089999
S2,S2,HW,A-A,Authority,Authority,0.999808009216
S2,S2,HW,A-A,Authority,Authority,0.6060373382559999
S2,S2,HW,A-A,Authority,Authority,0.9998940028090001
S2,S2,HW,A-A,Authority,Authority,0.999992000016
S2,S2,HW,A-A,Authority,Authority,0.999854005329
S2,S2,HW,A-A,Authority,Authority,0.999984000064
S2,S2,HW,A-A,Authority,Authority,0.588143279025
S2,S2,HW,A-A,Authority,Authority,0.991693322244
S2,S2,HW,A-A,Authority,Authority,0.379208408401
S2,S2,HW,A-A,Authority,Authority,0.996650808976
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.9998800036000001
S2,S2,HW,A-A,Authority,Authority,0.922698567184
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.888000906244
S2,S2,HW,A-A,Authority,Authority,0.999084209764
S2,S2,HW,A-A,Authority,Authority,0.40037635900900004
S2,S2,HW,A-A,Authority,Authority,0.9999980000009999
S2,S2,HW,A-A,Authority,Authority,0.9999720001960001
S2,S2,HW,A-A,Authority,Authority,0.9505275025
S2,S2,HW,A-A,Authority,Authority,0.584548935364
S2,S2,HW,A-A,Authority,Authority,0.999822007921
S2,S2,HW,A-A,Authority,Authority,0.6705071340250001
S2,S2,HW,A-A,Authority,Authority,0.9921255630250001
S2,S2,HW,A-A,Authority,Authority,0.5021975782810001
S2,S2,HW,A-A,Authority,Authority,0.985221011889
S2,S2,HW,A-A,Authority,Authority,0.8895526719210001
S2,S2,HW,A-A,Authority,Authority,0.657404748025
S2,S2,HW,A-A,Authority,Authority,0.943142034025
S2,S2,HW,A-A,Authority,Authority,0.9999960000040001
S2,S2,HW,A-A,Authority,Authority,0.155719419769
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.999978000121
S2,S2,HW,A-A,Authority,Authority,0.9981748335689999
S2,S2,HW,A-A,Authority,Authority,0.646803586081
S2,S2,HW,A-A,Authority,Authority,0.9628672625639999
S2,S2,HW,A-A,Authority,Authority,0.9999960000040001
S2,S2,HW,A-A,Authority,Authority,0.999478068121
S2,S2,HW,A-A,Authority,Authority,0.9994640718239999
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.17989219476899998
S2,S2,HW,A-A,Authority,Authority,0.6350384534489999
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.980404943716
S2,S2,HW,A-A,Authority,Authority,0.9936979603359999
S2,S2,HW,A-A,Authority,Authority,0.987652353249
S2,S2,HW,A-A,Authority,Authority,0.9999000025
S2,S2,HW,A-A,Authority,Authority,0.05342616188100001
S2,S2,HW,A-A,Authority,Authority,0.9121797165609999
S2,S2,HW,A-A,Authority,Authority,0.977770925329
S2,S2,HW,A-A,Authority,Authority,0.14109714564099998
S2,S2,HW,A-A,Authority,Authority,0.442310124096
S2,S2,HW,A-A,Authority,Authority,0.997335776889
S2,S2,HW,A-A,Authority,Authority,0.9439443786239999
S2,S2,HW,A-A,Authority,Authority,0.9943141054089999
S2,S2,HW,A-A,Authority,Authority,0.9995260561689999
S2,S2,HW,A-A,Authority,Authority,0.9999960000040001
S2,S2,HW,A-A,Authority,Authority,0.344578392064
S2,S2,HW,A-A,Authority,Authority,0.9879803367839999
S2,S2,HW,A-A,Authority,Authority,0.442747844449
S2,S2,HW,A-A,Authority,Authority,0.473697698049
S2,S2,HW,A-A,Authority,Authority,0.9109404426239999
S2,S2,HW,A-A,Authority,Authority,0.956840025124
S2,S2,HW,A-A,Authority,Authority,0.997106096704
S2,S2,HW,A-A,Authority,Authority,0.9995180580809999
S2,S2,HW,A-A,Authority,Authority,0.16716895276899998
S2,S2,HW,A-A,Authority,Authority,0.9997820118809999
S2,S2,HW,A-A,Authority,Authority,0.609134981841
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.964989910921
S2,S2,HW,A-A,Authority,Authority,0.9888253936089999
S2,S2,HW,A-A,Authority,Authority,0.9925339876000001
S2,S2,HW,A-A,Authority,Authority,0.24682514422500001
S2,S2,HW,A-A,Authority,Authority,0.9999860000490001
S2,S2,HW,A-A,Authority,Authority,0.9260886522250001
S2,S2,HW,A-A,Authority,Authority,0.309141560025
S2,S2,HW,A-A,Authority,Authority,0.9999980000009999
S2,S2,HW,A-A,Authority,Authority,0.999916001764
S2,S2,HW,A-A,Authority,Authority,0.868584856441
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.996049908529
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.35069136486400004
S2,S2,HW,A-A,Authority,Authority,0.8985712849
S2,S2,HW,A-A,Authority,Authority,0.954304303225
S2,S2,HW,A-A,Authority,Authority,0.5816533262439999
S2,S2,HW,A-A,Authority,Authority,0.645509406096
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.9762961579289999
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.79798489
S2,S2,HW,A-A,Authority,Authority,0.28497660422399995
S2,S2,HW,A-A,Authority,Authority,0.239136648256
S2,S2,HW,A-A,Authority,Authority,0.47522686068899994
S2,S2,HW,A-A,Authority,Authority,0.9972818496
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.999268133956
S2,S2,HW,A-A,Authority,Authority,0.999950000625
S2,S2,HW,A-A,Authority,Authority,0.8197382952360001
S2,S2,HW,A-A,Authority,Authority,0.911224885561
S2,S2,HW,A-A,Authority,Authority,0.8947551872249999
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.309004797924
S2,S2,HW,A-A,Authority,Authority,0.999142184041
S2,S2,HW,A-A,Authority,Authority,0.775047815424
S2,S2,HW,A-A,Authority,Authority,0.957446594064
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.999344107584
S2,S2,HW,A-A,Authority,Authority,0.27693695750400005
S2,S2,HW,A-A,Authority,Authority,0.960774396481
S2,S2,HW,A-A,Authority,Authority,0.323671104241
S2,S2,HW,A-A,Authority,Authority,0.553010860609
S2,S2,HW,A-A,Authority,Authority,0.9831178595290001
S2,S2,HW,A-A,Authority,Authority,0.524084779969
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.984214789776
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.9972419043999999
