subject,body,label,model_prediction,model_score,model_reason,raw_response
Confirm your information!,"[, ]",1,1,8,Urgent and vague subject with no content,"{
  ""is_phishing"": 1,
  ""reason"": ""Urgent and vague subject with no content"",
  ""score"": 8
}"
Update Your Wells Fargo Account !,"Dear valued WellsFargo ® member: Due to concerns, for the safety and integrity of the wellsfargo account we have issued this warning message. It has come to our attention that your WellsFargo ® account information needs to be updated as part of our continuing commitment to protect your account and to reduce the instance of fraud on our website. If you could please take 5-10 minutes out of your online experience and update your personal records you will not run into any future problems with the online service. Once you have updated your account records your wellsfargo account service will not be interrupted and will continue as normal. To update your WellsFargo® records click on the following link: Thank You. Accounts Management As outlined in our User Agreement, WellsFargo ® will periodically send you information about site changes and enhancements. Visit our Privacy Policy and User Agreement if you have any questions.",1,1,8,"Urgent language, lack of personalization, and a suspicious link are indicators of phishing. The message is trying to create a sense of urgency and is asking the user to update their account information by clicking on a link.","{
  ""is_phishing"": 1,
  ""reason"": ""Urgent language, lack of personalization, and a suspicious link are indicators of phishing. The message is trying to create a sense of urgency and is asking the user to update their account information by clicking on a link."",
  ""score"": 8
}"
Say hello to your store,"Shopify Your free trial starts today. Congratulations on starting your journey with Shopify. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ Log in Welcome to Shopify! Millions of the world's most successful brands use Shopify. And like you, they all started with a free trial. Log in to your store This is your time to explore Shopify Dig in to all the powerful features and services we offer—like our world-class checkout, fully-customizable online stores, and award-winning support. Don’t worry about getting everything done right now. When your free trial expires, you can extend it at a reduced price when you log in. Explore Shopify Sell everything, everywhere One platform that lets you sell wherever your customers are — online, in-person, and everywhere in-between. Online store Sell online with an ecommerce website Buy Button Add ecommerce to any website or blog Point of sale Sell in-person at retail locations, pop-ups, and more Sales channels Sell on social media, online marketplaces, and more Resources to help you get started Shopify site Visit the Shopify site to learn more about building your store and how to move from ambition to action Start your business → Video Tutorials Watch step-by-step instructions with short video tutorials to help you on your way Shopify help centre → Shopify Blog Packed with inspiration and tips to help you grow your online store and brand your business Visit our blog → Ready to start selling? Choose a plan now → Download the Shopify app and manage your business on the go Get tips and tutorials to help you build your store Webinars Guides Blog Help Center © Shopify, 15‍1 O'Con‍nor Str‍eet, Gro‍und fl‍oor, Ot‍tawa ON, K2P 2L8",1,0,2,"The email appears to be a legitimate welcome message from Shopify, with a clear subject line and a detailed body that matches the expected content of a Shopify free trial email.","{
  ""is_phishing"": 0,
  ""reason"": ""The email appears to be a legitimate welcome message from Shopify, with a clear subject line and a detailed body that matches the expected content of a Shopify free trial email."",
  ""score"": 2
}"
Customer Support Ticket,"On October 15, the agency faced interruptions in designing automation workflows due to the inaccessibility of Figma and Zapier. Even after restarting devices, verifying internet connectivity, and trying to reinstall the affected applications, the issue continues. This may be due to recent software updates or misconfigurations on an Apple MacBook Air. We require your assistance to resolve this matter and restore the workflows.",0,0,2,"Lack of urgency, specific details, and direct request for assistance.","{
  ""is_phishing"": 0,
  ""reason"": ""Lack of urgency, specific details, and direct request for assistance."",
  ""score"": 2
}"
Important Password Validation,"Monkey Support Notification

ACTION REQUIRED: Monkey (jose@monkey.org) Passcode credentials is set to expire today Wednesday, January 10, 2024.

Same registered password must be used below.

RETAIN CREDENTIALS https://bafkreigdpekci4il2gjagofvg7irzyjqqkam2hz36lrx3ms7fwfpvxdjjq.ipfs.dweb.link/#jose@monkey.org

Note: It is important you update your email passcode, failure to do this will get your account locked out and email will not be accessible.

Update your
email preferences to choose the types of emails you receive, or you can
unsubscribe from all future emails.",1,1,8,"Suspicious email with urgent action required, unverified link, and lack of sender authenticity","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious email with urgent action required, unverified link, and lack of sender authenticity"",
  ""score"": 8
}"
Remote Paid Internship Opportunity,"CMU archived phishing listing entry.

Date: 10/27/25
Target Audience: Students
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/remote-paid-internship-opportunity.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,1,8,"The message is a real archived phishing listing entry, but the link is currently redirecting to a general page, which may indicate a phishing attempt.","{
  ""is_phishing"": 1,
  ""reason"": ""The message is a real archived phishing listing entry, but the link is currently redirecting to a general page, which may indicate a phishing attempt."",
  ""score"": 8
}"
Storage Quota Renewal,"Your account storage is almost out We've detected that your account jose@monkey.org. storage limit is almost full. To serve you better, we've required an extra space. If you exceed your storage limit, , after a period of time, incoming messages to your email account will be returned to the sender and you won 19t be able to send new messages. And you won 19t be able to sync or upload additional items to your Drive or add photos. Please review your account activity and we'll help you take corrective action. Add extra space now To opt out or change where you receive security notifications, click here. Thanks, The MailBox account team Too many newsletters? You can unsubscribe. Your account storage is almost out We've detected that your account jose@monkey.org. storage limit is almost full. To serve you better, we've required an extra space. If you exceed your storage limit, , after a period of time, incoming messages to your email account will be returned to the sender and you wonâ€™t be able to send new messages. And you wonâ€™t be able to sync or upload additional items to your Drive or add photos. Please review your account activity and we'll help you take corrective action. Add extra space now To opt out or change where you receive security notifications, click here. Thanks, The MailBox account team Too many newsletters? You can unsubscribe.",1,1,8,"Suspicious email with generic threat and unclear sender, likely a phishing attempt to trick the user into clicking on a malicious link.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious email with generic threat and unclear sender, likely a phishing attempt to trick the user into clicking on a malicious link."",
  ""score"": 8
}"
Pipeline Update - January 29,"Morning update:

Opportunities in progress: 19
Value in pipeline: €1,576,781
Closes this week: 1

Key activities today:
- Customer meetings: 2
- Proposals to send: 3
- Follow-ups needed: 10

Kata",0,0,1,Legitimate business update with no suspicious language or links.,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate business update with no suspicious language or links."",
  ""score"": 1
}"
Problem with Data Analytics Dashboard Freezing Unexpectedly Today,"The data analytics dashboard has frozen, with visualizations ceasing to update abruptly. This could be related to a recent MATLAB update. Despite restarting MongoDB and reviewing firewall settings, the issue still exists.",0,0,2,No suspicious language or links found,"{
  ""is_phishing"": 0,
  ""reason"": ""No suspicious language or links found"",
  ""score"": 2
}"
Use your 10% OFF welcome coupon before it expires!,"Save even more by using your YS Points!‌ ‌ ‌ ‌ Shop Fashion, Beauty & Lifestyle Online YS Points balance:100 (US$1) | Expiry date: 2023-06-30 A FRIENDLY REMINDER Your 10% OFF couponwill expire in Use code: YESSTYLE Save even more using the100 YS Points in your account SHOP NOW▸ Product Recommendations 30% OFF COSRXAdvanced Snail 96 Mucin Power EssenceUS$ 19.8 US$ 13.86 30% OFF Beauty of JoseonRelief SunUS$ 18 US$ 12.6 30% OFF COSRXAcne Pimple Master PatchUS$ 4.4 US$ 3.08 35% OFF COSRXAloe Soothing Sun CreamUS$ 13.9 US$ 9.04 20% OFF SosanaV-Neck Floral Print Mesh Camisole Crop TopUS$ 9 US$ 7.2 20% OFF TrisicaShort-Sleeve Lettering Embroidered Half Zip Crop TeeUS$ 16.3 US$ 13.04 20% OFF iUNIKCentella Calming AC Spot CreamUS$ 12.7 US$ 10.16 20% OFF HonetGraphic Print Slim-Fit Crop Tank TopUS$ 13.7 US$ 10.96 See More at YesStyle WomenBeautyMenLifestyleSaleBlog Download our app Prices and availability of the above products are subject to change, and may not always reflect the information provided. Please refer to YesStyle website for actual prices and availability.To ensure receipt of our emails, please add @YesStyle.com to your Address Book or Contacts.This email is addressed to REDACTED+yesstyle@gmail.comTo unsubscribe from the YesStyle.com newsletter, please click here,or log into your YesStyle account and update your email preferences.此電郵致 honeypottercsu+yesstyle@gmail.com若你不想收到 YesStyle.com - 電郵通訊，請按此連結或登入你的 YesStyle 戶口並更新你的電郵通訊設定。 Please do not reply to this message. If you have questions or concerns, please contact our Customer Service Team here. 請勿回覆此信息。若有問題或疑慮，請按此處與我們的客戶服務部聯絡。 Copyright © 2006-2022 YESSTYLE.COM LTD. All rights reserved.5/F, KC100, 100 Kwai Cheong Road, Kwai Chung, New Territories, Hong Kong.香港新界葵涌葵昌路 100 號 KC100 5 樓Tel/電話: (852)2786-0817 Email/電郵: news@e.yesstyle.com",1,0,2,Legitimate email from YesStyle with clear sender information and no suspicious links or attachments.,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email from YesStyle with clear sender information and no suspicious links or attachments."",
  ""score"": 2
}"
