subject,body,label,model_prediction
The summer wardrobe: Breezy news,"The summer wardrobe: Breezy news Flowy dresses, easy separates, and a brand-new print. | Click here to view it online. The summer wardrobe: Breezy news Breezy, bright and beautiful! Upgrade your summer wardrobe with dresses and separates rendered in our latest floral prints. SHOP NOW SHOP NOW Free shipping Always free returns This message was sent by & Other Stories (H&M Hennes & Mauritz GBC AB, Mäster Samuelsgatan 46, 106 38 Stockholm, Sweden). You are receiving this email because you are signed up to receive & Other Stories email newsletters. For questions and contact details please visit our customer service page. Read our privacy notice. H&M Hennes & Mauritz L.P., 110 5th Avenue, 11th Floor, New York, NY 10011 For more information on your orders, please log in to your Stories account. You can't reply to this e-mail, but you can talk to us on Facebook. Visit Stories.com If you'd like to unsubscribe from our stories, click here.",1,1
Customer issue: Wilson Equipment Company - Holiday shutdown schedule,"FYI - Customer complaint received:

Customer: Wilson Equipment Company
Issue: Holiday shutdown schedule
Severity: 4/5

Please review and advise if escalation needed.

Donna Miller",0,0
Re: API Monitoring - Weird spike in latency,"Hi,

Any update on this? The latency issue is ongoing.

Thanks,
John",0,1
Re: Overdue: Customer 547464677,Customer has cash flow issues. Can we offer payment plan?,0,1
Payment Choices,Could you please list the different payment options for the subscription plans?,0,1
Subject: Attention required,"Suspicious Activity ReportDear member,

We have detected an unusual activity on your account recently. Unfortunately we had to suspended your account for security reasons. To regain access to your account please update your account.",1,1
Money To Be Transfer To You For Investment t!! COUGVKRTKK,"Hello, I am Dr. Kwame Baah-Nuakoh. I write to solicit for your assistance in a BUSINESS PROPOSAL/INVESTMENT/CONTRACT of (GNPC) with the sum of Fourty Seven Million Dollars ($47 Million Dollars) FIXED deposited? I’ll like to know if you can handle and be trusted to execute this project with me. If YES, Please reply with Your Full Name-------------------- Your Full Address----------------- Your Occupation-------------------- Your Whatsapp/Phone Number----------------- I await your prompt response for further details Yours Sincerely, Dr. Kwame Baah-Nuakoh GM, Strategy & Investment Ghana National Petroleum Corporation (GNPC) LTMQKPSKRCXHIJKTWOSILTQGCBMTYSWOHGGLTE",1,1
Be Prepared for Choking Emergencies with LifeVac,"Top Stories of the Day: Sep 0, 2030

103882302891885308
-----

If you believe this has been sent to you in error, please safely unsubscribe",1,1
Issues With Project Timelines Synchronization,"I am contacting Customer Support about the problem of project timelines not syncing between teams. After restarting Redis and reviewing the ClickUp integration, the issue still exists. Team members have noticed that project times are not updating in real-time, leading to confusion and delays. Given that the problem seems to originate from the compatibility issue with Redis 6.2, I request your prompt investigation and resolution. Please ask for more details if necessary.",0,1
Dear Customer,"Dear User,We recently updated our online banking security for our customers safety as always. Kindly complete your account update process on our webpage link belowwww.tsb.co.uk/accupdateprocess Â©TSB Online Banking Team",1,1
Customer Support Ticket,"Customer support, a data breach has been detected in the hospital systems, posing a threat to the security of medical data. We have updated our software, enforced stronger password policies, and trained staff on data security protocols to address the issue. Please assist us in enhancing security measures. Could you provide more details about the breach and your current security setup? We would like to schedule a call at <tel_num> to discuss additional security measures and provide personalized recommendations.",0,1
Update Marketing Agency Website,The marketing agency's website should be updated with fresh digital strategy content and brand growth metrics to enhance its online visibility and attract more clients.,0,1
