stage,hw_precision,hw_recall,hw_accuracy,hw_fpr,hw_fnr,hw_f0_5,hw_f1,hw_f2,hw_mcc,llm_precision,llm_recall,llm_accuracy,llm_fpr,llm_fnr,llm_f0_5,llm_f1,llm_f2,llm_mcc
S1,0.25177702955480735,1.0,0.25177702955480735,1.0,0.0,0.29608446986361636,0.40227136879856545,0.6272134203168686,0.0,0.25177702955480735,1.0,0.25177702955480735,1.0,0.0,0.29608446986361636,0.40227136879856545,0.6272134203168686,0.0
S2,0.49974937343358394,1.0,0.49974937343358394,1.0,0.0,0.5553080093572463,0.6664438502673797,0.8331940498077888,0.0,0.49974937343358394,1.0,0.49974937343358394,1.0,0.0,0.5553080093572463,0.6664438502673797,0.8331940498077888,0.0
S4,0.6807930894544612,1.0,0.6807930894544612,1.0,0.0,0.727219807032537,0.8100855408388521,0.9142648043474876,0.0,0.6807930894544612,1.0,0.6807930894544612,1.0,0.0,0.727219807032537,0.8100855408388521,0.9142648043474876,0.0
S5,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0
S6-MPG,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0
S6-UTA,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0
S6-fuzzer,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.7142857142857143,0.8,0.9090909090909091,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.7142857142857143,0.8,0.9090909090909091,0.0
S8-deepseek,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0
S8-llama,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0
S8-ministral,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0,0.5,1.0,0.5,1.0,0.0,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.0
