stage,hw_precision,hw_recall,hw_accuracy,hw_fpr,hw_fnr,hw_f0_5,hw_f1,hw_f2,hw_mcc,llm_precision,llm_recall,llm_accuracy,llm_fpr,llm_fnr,llm_f0_5,llm_f1,llm_f2,llm_mcc
S1,0.29960707269155207,0.45319465081723626,0.5955854844743733,0.3565,0.5468053491827637,0.321390937829294,0.3607332939089296,0.4110512129380054,0.08642752796438433,0.39273356401384085,0.337295690936107,0.7018331462775907,0.1755,0.662704309063893,0.38023450586264657,0.36290967226219023,0.3470948012232416,0.17058213591702404
S2,0.5235223160434258,0.4353059177532598,0.5197994987468672,0.39579158316633267,0.5646940822467402,0.5031300718757246,0.47535596933187296,0.4504878555117293,0.04009045472214867,0.47885117493472584,0.9197592778335005,0.45964912280701753,1.0,0.0802407221664995,0.5296292018020099,0.6298076923076923,0.7767236998136541,-0.20449292916739276
S4,0.7119906528406601,0.41514093502512134,0.4875065221172242,0.3581547402833273,0.5848590649748786,0.6229076691114461,0.5244755244755245,0.4529069659413962,0.054296108396258765,0.5316738197424893,0.5274631695478157,0.361991999536205,0.9909189974573193,0.47253683045218425,0.5308263202097938,0.5295601248236652,0.5282999556480502,-0.46142145602387225
S5,,,,,,,,,,0.3495762711864407,0.5374592833876222,0.2687296416938111,1.0,0.46254071661237783,0.37585421412300685,0.42362002567394097,0.4852941176470588,-0.5484956313655731
S6-MPG,0.5419664268585132,0.42375,0.5328125,0.358125,0.57625,0.5133252574197457,0.4756225885654156,0.4430793360345053,0.06724418350788992,0.531634446397188,0.3890675241157556,0.5246794871794872,0.3405750798722045,0.6109324758842444,0.4953332241689864,0.4493130337913108,0.4111171513998369,0.050370178121855735
S6-UTA,0.548922056384743,0.41375,0.536875,0.34,0.58625,0.5152552926525529,0.4718460441910192,0.435182750460163,0.07609318742777453,0.48605947955390333,0.326875,0.490625,0.345625,0.673125,0.442920054200542,0.39088191330343797,0.3497859818084537,-0.019844394992077748
S6-fuzzer,0.7022428460943542,0.4127272727272727,0.4918181818181818,0.35,0.5872727272727273,0.6158437330439501,0.5198969367306041,0.4498167046467849,0.06057468158063711,0.5126153846153846,0.38334100322135295,0.3460122699386503,0.7286108555657773,0.616658996778647,0.480225988700565,0.43865192206424436,0.4037026267325773,-0.3255500250524666
S8-deepseek,,,,,,,,,,0.5636761487964989,0.8586666666666667,0.597,0.6646666666666666,0.14133333333333334,0.6052631578947368,0.6805812417437253,0.7773083886541944,0.22766531256395311
S8-llama,,,,,,,,,,0.49953746530989823,0.72,0.49933333333333335,0.7213333333333334,0.28,0.5321245565628695,0.5898416166029492,0.6616025483950012,-0.0014858676982540651
S8-ministral,,,,,,,,,,0.5126518218623481,0.6753333333333333,0.5166666666666667,0.642,0.32466666666666666,0.5386005954912803,0.5828538550057537,0.6350300902708125,0.035150099270769335
