stage_group,stage,source,principle_group,left_principle,right_principle,value
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.796656213136
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9278139593609999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9964830976
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.350089955856
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.694142255104
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.39059875044099995
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.999954000529
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9999880000360001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.196904300121
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.739319666569
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.47027774982400006
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.945378957636
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.577563520576
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.999552050176
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7888637124
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7428509245439999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.999652030276
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.34668779520400006
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.23394924448899998
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.523304666404
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.284914683076
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,1.0
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.572218115401
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.557444410884
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.09768937780900001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.9970202230809999
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.7938613981210001
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.999614037249
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.999984000064
S6-MPG,S6-MPG,HW,A-A,Authority,Authority,0.8902903767039999
