group_label,feature_a,feature_b,cell_slug,rank,phrase,phrase_len,log_ratio_score,weighted_group_count,weighted_background_count
LLM-P-TP,Authority,Authority,authority__authority,1,email finds,2,10.089697771598441,150.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,2,email finds well,3,9.991724225502306,136.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,3,hope email finds,3,9.938885733794688,129.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,4,phishing email,2,9.797583966081291,112.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,5,hesitate contact,2,9.733051396775545,105.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,6,name hope,2,9.611702827312019,93.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,7,write bec,2,9.611702827312019,93.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,8,name hope email,3,9.578916588326637,90.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,9,requires immediate,2,9.422931096608803,77.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,10,kindly request,2,9.396617251039189,75.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,11,bank name,2,9.341816525251645,71.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,12,bec phishing,2,9.29865056624519,68.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,13,bec phishing email,3,9.29865056624519,68.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,14,capitalone com,2,9.20629147541943,62.0,0.0
LLM-P-TP,Authority,Authority,authority__authority,15,write convincing,2,9.20629147541943,62.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,1,name company,2,9.563601028942085,84.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,2,nobodyject gent,2,9.450286627546873,75.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,3,writing out,2,9.409470187826106,72.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,4,name company name,3,9.409470187826106,72.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,5,immediate immediate,2,9.352319942752876,68.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,6,immediate immediate attention,3,9.307206293781707,65.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,7,pay invoice,2,9.29170451071924,64.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,8,would request,2,9.275958633519293,63.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,9,used business,2,9.259960851927115,62.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,10,email used,2,9.259960851927115,62.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,11,email used business,3,9.259960851927115,62.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,12,them urgently,2,9.22717640456675,60.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,13,instruct them urgently,3,9.22717640456675,60.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,14,directed account,2,9.22717640456675,60.0,0.0
LLM-P-TP,Authority,Liking,authority__liking,15,instruct them,2,9.22717640456675,60.0,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,1,ceo company,2,10.476951246392652,149.85548740203495,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,2,write convincing,2,10.274471105594007,122.38554842292504,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,3,external account,2,10.266322562272173,121.39225543578199,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,4,phishing email,2,9.99751100977247,92.77619839145201,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,5,ceo company name,3,9.919338018587986,85.799087286622,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,6,email compromise,2,9.89711102193181,83.91284934828602,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,7,accounting department,2,9.89579166690461,83.80219832514399,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,8,utmost importance,2,9.861757257617562,80.997695177118,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,9,business email,2,9.824017675431891,77.99746834828602,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,10,business email compromise,3,9.824017675431891,77.99746834828602,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,11,scam letter,2,9.7577237255208,72.99373617001599,0.0
LLM-P-TP,Authority,Reciprocity,authority__reciprocity,12,compromise attack,2,9.731407473312235,71.097610327869,0.0
