stage,academic_fpr_hw,academic_fpr_llm,academic_fpr_delta,academic_fnr_hw,academic_fnr_llm,academic_fnr_delta,industrial_fpr_hw,industrial_fpr_llm,industrial_fpr_delta,industrial_fnr_hw,industrial_fnr_llm,industrial_fnr_delta
S1,41.53,53.99,12.46,29.15,21.07,-8.08,14.68,28.30,13.62,65.13,44.28,-20.85
S2,41.53,47.56,6.03,29.15,30.42,1.27,14.68,48.30,33.62,65.13,53.13,-12.00
S4,41.53,30.07,-11.46,29.15,40.17,11.02,14.68,34.09,19.42,65.13,61.76,-3.37
S5,41.53,39.14,-2.39,29.15,21.86,-7.29,13.81,33.55,19.74,45.54,20.74,-24.81
S6-MPG,41.53,35.21,-6.32,29.15,24.05,-5.10,13.81,14.61,0.80,45.54,42.86,-2.68
S6-UTA,41.53,37.65,-3.89,29.15,36.54,7.39,13.81,16.25,2.44,45.54,45.69,0.14
S6-fuzzer,41.53,56.98,15.45,29.15,36.03,6.87,13.81,29.01,15.21,45.54,45.19,-0.35
S8-deepseek,41.53,46.36,4.82,29.15,44.11,14.96,13.81,23.27,9.46,45.54,29.87,-15.68
S8-llama,41.53,40.70,-0.83,29.15,35.19,6.04,13.81,27.56,13.75,45.54,29.53,-16.01
S8-ministral,41.53,40.13,-1.40,29.15,36.16,7.00,13.81,22.84,9.04,45.54,34.96,-10.59
