stage_name,source_file,output_file,total_rows,label_0_rows,label_1_rows,generic_label_0_available,generic_label_1_available,label_0_sampling_mode,label_1_sampling_mode
S1,S1.csv,S1-GD.csv,2673,2000,673,18558,8846,without_replacement,without_replacement
S2,S2.csv,S2-GD.csv,1995,998,997,18558,8846,without_replacement,without_replacement
S4,S4.csv,S4-GD.csv,17249,5506,11743,18558,8846,without_replacement,with_replacement
S5,S5.csv,S5-GD.csv,2456,1228,1228,18558,8846,without_replacement,without_replacement
S6-fuzzer,S6-fuzzer.csv,S6-fuzzer-GD.csv,3300,1100,2200,18558,8846,without_replacement,without_replacement
S6-MPG,S6-MPG.csv,S6-MPG-GD.csv,3200,1600,1600,18558,8846,without_replacement,without_replacement
S6-UTA,S6-UTA.csv,S6-UTA-GD.csv,3200,1600,1600,18558,8846,without_replacement,without_replacement
S8-deepseek,S8-deepseek.csv,S8-deepseek-GD.csv,3000,1500,1500,18558,8846,without_replacement,without_replacement
S8-llama,S8-llama.csv,S8-llama-GD.csv,3000,1500,1500,18558,8846,without_replacement,without_replacement
S8-ministral,S8-ministral.csv,S8-ministral-GD.csv,3000,1500,1500,18558,8846,without_replacement,without_replacement
