Subject,Body,label
Notification of Data Breach in Medical Records System,A data breach has been identified within our medical records system. It is thought to have resulted from insufficient encryption and obsolete software. We have already strengthened our firewall and conducted a virus scan.,0
Approval needed: Special pricing,"Need approval for:

Customer: Company_112
Deal size: €403,674
Discount requested: 10%
Reason: End of quarter push

Please approve in system.

Patrick",0
Customer issue: Johnson Equipment Company - Billing entity clarification needed,"FYI - Customer complaint received:

Customer: Johnson Equipment Company
Issue: Billing entity clarification needed
Severity: 4/5

Please review and advise if escalation needed.

Rodney Flantz",0
Overdue: Customer 589160100 - 47 days,"Please contact customer immediately:

Invoice: 2071609
Amount: €253,256
Days overdue: 83
Last contact: 9 days ago

Customer threatening to switch suppliers but owes us money!

Bertram",0
[URGENT] Verify Your Trust Wallet.,"Verify Your Wallet

Our system shows that your wallet has not yet been verified. The verification process can be done easily via the button below.

All unverified wallets will be suspended on Wednesday 4 Oct, 2023.

Sorry for any inconveniences caused, please keep in mind that our intention is to keep our customers sate and happy.

Thank you for understanding.

Verify your wallet [ https://t.rdsv1.net/ls/click?upn=QJHDLu6c7joILAshEaWRB90ZvG3MeB7stfqQoNfEMaoKnttIpVYuRKEo8ASi9sTkYTGqKsbrHulqBqCo6R83H-2BMPpTZ-2FPFQPHNxCWnvt06OfPqj6vFBieRdLd63IeEdddn-2BtNZ15bfQjlTLRr2eDqnuV-2BpwBQ9ZHfBRMwYi5ADY-3D5pdi_Ee7nT2ZQdJ749eAGxVv-2FHN3XNBqa48KbYVWhgkx4gPmq9lJRJyAOpJGecmhmqQ-2BOzEdxpPZTG3-2FcbtSAK-2BaUclKhX3UXigAovFtamcPLixidlDIa9dezstz6DOOZsPHpelYCac1FQPgsvVUSZ0w6dS2L5Idr282b2EFYRQJJsGe1vbi7ptE4Mqirpmltc1Qah43s-2BHvwh5IvmVRP-2FHUgrXo5kOW39-2BayhRLSI3vJxMWy3tZvn-2BYJZ3CLiwjSEDblXyvlyOt9-2BjQAzVEVQ-2FkiOVieZmwidMbDKsMWYmJ5uGhHB-2FXgtDgecz6UlzvkA0I7-2FD-2BgZ6StBCBMzARh-2FmeYTGt49pPRR2zjL2YDZwP3z-2FOmPw-2BcTqQ3fbQnHxooO-2FsFZPsul1fyi0vwtBEOVQJl2Hv1nQ4AtlYiJnis5gBiAZnTLy0EcwXvMPfUVjUQMh-2B8wMG3Rl1mbOuD8vAkSIBVFkRmXKNRmfyapSxfbwDDC310leXSC-2FPkhx0EjfK3EWFfndccYwu2Ul2-2FtcfQUcvS9pY-2Feg9vHB44mEU8bMs-2Fw7Nzz0S7D7gj4Pu4JEIDA3jw4-2BQdujgqqjhYpGxh6XyNuF13GSmyvVZ79kU4EoRtOBdcb6OMUbZADdiI8LYNpr50gU5qOsAaz27C-2BhwPh2dmNw-3D-3D ]

Thank you for being a part of us!
Terms of Use - © 2023 Trust WaIIet Cryptocurrency Ltd. All rights reserved.",1
Approval needed: Volume discount,"Need approval for:

Customer: Company_571
Deal size: €403,600
Discount requested: 25%
Reason: Long-term contract

Please approve in system.

Laura",0
Assistance with Project Load Delays,"Customers are experiencing delays in project load times during peak usage hours, which might be due to increased server demand. Despite clearing caches and optimizing existing database queries, the issue continues, causing significant disruptions to the workflow. We request urgent assistance to resolve this matter and provide a suitable solution to prevent future occurrences.",0
API Monitoring Dashboard Delay,"Hi Aetheros Support,

We've been experiencing a significant delay on our API monitoring dashboard for the past few hours. The data being displayed seems to be lagging behind real-time by at least 30 minutes, which is impacting our ability to monitor our API performance effectively.

Could you please look into this issue and advise on a resolution?

Thanks,
John Doe",0
"PO Approval Required: €12,952","Purchase Order Request:

Vendor: SteelCo GmbH
Amount: €93,566
Description: Professional services
Urgency: Rush - Customer waiting

Please approve in system.

Vincent",0
Boost Data Analytics Across Products,"Customer Support is requesting enhancements to data analytics integration across all affected products. This would significantly improve the efficiency of investment optimization decisions. Currently, the team spends a considerable amount of time manually collecting and analyzing data, which leads to errors and delays. By integrating advanced data analytics tools, we can make more informed decisions and optimize investments effectively. I would greatly appreciate it if you could look into this matter and provide a solution.",0
