stage_group,stage,source,principle_group,left_principle,right_principle,value
S2,S2,HW,A-A,Authority,Authority,0.910028234116
S2,S2,HW,A-A,Authority,Authority,0.162869552041
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.983798161956
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.999966000289
S2,S2,HW,A-A,Authority,Authority,0.5724602053210001
S2,S2,HW,A-A,Authority,Authority,0.2765602921
S2,S2,HW,A-A,Authority,Authority,0.35949857472399993
S2,S2,HW,A-A,Authority,Authority,0.061422187225
S2,S2,HW,A-A,Authority,Authority,0.999992000016
S2,S2,HW,A-A,Authority,Authority,0.6350384534489999
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.7413261660089999
S2,S2,HW,A-A,Authority,Authority,0.995616813636
S2,S2,HW,A-A,Authority,Authority,0.588143279025
S2,S2,HW,A-A,Authority,Authority,0.379208408401
S2,S2,HW,A-A,Authority,Authority,0.996650808976
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.996297433609
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.204205475881
S2,S2,HW,A-A,Authority,Authority,0.960499962601
S2,S2,HW,A-A,Authority,Authority,0.013835875876
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.642961818801
S2,S2,HW,A-A,Authority,Authority,0.998904300304
S2,S2,HW,A-A,Authority,Authority,0.40037635900900004
S2,S2,HW,A-A,Authority,Authority,0.391706998225
S2,S2,HW,A-A,Authority,Authority,0.9999980000009999
S2,S2,HW,A-A,Authority,Authority,0.7931861721
S2,S2,HW,A-A,Authority,Authority,0.998904300304
S2,S2,HW,A-A,Authority,Authority,0.984127489024
S2,S2,HW,A-A,Authority,Authority,0.5021975782810001
S2,S2,HW,A-A,Authority,Authority,0.37641660678399996
S2,S2,HW,A-A,Authority,Authority,0.9988443340840001
S2,S2,HW,A-A,Authority,Authority,0.788886805249
S2,S2,HW,A-A,Authority,Authority,0.5729627052490001
S2,S2,HW,A-A,Authority,Authority,0.442747844449
S2,S2,HW,A-A,Authority,Authority,0.657404748025
S2,S2,HW,A-A,Authority,Authority,0.943142034025
S2,S2,HW,A-A,Authority,Authority,0.9215827200810001
S2,S2,HW,A-A,Authority,Authority,0.9981748335689999
S2,S2,HW,A-A,Authority,Authority,0.646803586081
S2,S2,HW,A-A,Authority,Authority,0.967543715044
S2,S2,HW,A-A,Authority,Authority,0.976685499076
S2,S2,HW,A-A,Authority,Authority,0.47145801038400004
S2,S2,HW,A-A,Authority,Authority,0.9628672625639999
S2,S2,HW,A-A,Authority,Authority,0.9999960000040001
S2,S2,HW,A-A,Authority,Authority,0.9994640718239999
S2,S2,HW,A-A,Authority,Authority,0.24659566905600003
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.17989219476899998
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.888900124225
S2,S2,HW,A-A,Authority,Authority,0.6350384534489999
S2,S2,HW,A-A,Authority,Authority,0.846589530609
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.9828263733760001
S2,S2,HW,A-A,Authority,Authority,0.999890003025
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.785637595044
S2,S2,HW,A-A,Authority,Authority,0.5150918546009999
S2,S2,HW,A-A,Authority,Authority,0.05342616188100001
S2,S2,HW,A-A,Authority,Authority,0.9121797165609999
S2,S2,HW,A-A,Authority,Authority,0.39937723336900005
S2,S2,HW,A-A,Authority,Authority,0.14109714564099998
S2,S2,HW,A-A,Authority,Authority,0.442310124096
S2,S2,HW,A-A,Authority,Authority,0.9999800001000001
S2,S2,HW,A-A,Authority,Authority,0.997335776889
S2,S2,HW,A-A,Authority,Authority,0.9439443786239999
S2,S2,HW,A-A,Authority,Authority,0.999404088804
S2,S2,HW,A-A,Authority,Authority,0.9999960000040001
S2,S2,HW,A-A,Authority,Authority,0.083756990464
S2,S2,HW,A-A,Authority,Authority,0.9879803367839999
S2,S2,HW,A-A,Authority,Authority,0.9999960000040001
S2,S2,HW,A-A,Authority,Authority,0.999930001225
S2,S2,HW,A-A,Authority,Authority,0.8815482324639999
S2,S2,HW,A-A,Authority,Authority,0.28601638802499996
S2,S2,HW,A-A,Authority,Authority,0.7780615980840001
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.16716895276899998
S2,S2,HW,A-A,Authority,Authority,0.9997820118809999
S2,S2,HW,A-A,Authority,Authority,0.727359945316
S2,S2,HW,A-A,Authority,Authority,0.5679204960249999
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.964989910921
S2,S2,HW,A-A,Authority,Authority,0.22701508452100003
S2,S2,HW,A-A,Authority,Authority,0.42724394232099994
S2,S2,HW,A-A,Authority,Authority,0.9888253936089999
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.24682514422500001
S2,S2,HW,A-A,Authority,Authority,0.9999860000490001
S2,S2,HW,A-A,Authority,Authority,0.999868004356
S2,S2,HW,A-A,Authority,Authority,0.996908393209
S2,S2,HW,A-A,Authority,Authority,0.4896500625
S2,S2,HW,A-A,Authority,Authority,0.9973877082490001
S2,S2,HW,A-A,Authority,Authority,0.1262736225
S2,S2,HW,A-A,Authority,Authority,0.868584856441
S2,S2,HW,A-A,Authority,Authority,0.9974276563689999
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.40958848008099996
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.996049908529
S2,S2,HW,A-A,Authority,Authority,0.728207929201
S2,S2,HW,A-A,Authority,Authority,0.35069136486400004
S2,S2,HW,A-A,Authority,Authority,0.21793211622400002
S2,S2,HW,A-A,Authority,Authority,0.634240217664
S2,S2,HW,A-A,Authority,Authority,0.960878299536
S2,S2,HW,A-A,Authority,Authority,0.8985712849
S2,S2,HW,A-A,Authority,Authority,0.7931861721
S2,S2,HW,A-A,Authority,Authority,0.5816533262439999
S2,S2,HW,A-A,Authority,Authority,0.401964876049
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.999962000361
S2,S2,HW,A-A,Authority,Authority,0.28497660422399995
S2,S2,HW,A-A,Authority,Authority,0.239136648256
S2,S2,HW,A-A,Authority,Authority,0.9899911702889999
S2,S2,HW,A-A,Authority,Authority,0.47522686068899994
S2,S2,HW,A-A,Authority,Authority,0.9972818496
S2,S2,HW,A-A,Authority,Authority,0.9742144025289999
S2,S2,HW,A-A,Authority,Authority,0.5943577349160001
S2,S2,HW,A-A,Authority,Authority,0.383946293956
S2,S2,HW,A-A,Authority,Authority,0.998732401956
S2,S2,HW,A-A,Authority,Authority,0.253402498881
S2,S2,HW,A-A,Authority,Authority,0.9401125248359999
S2,S2,HW,A-A,Authority,Authority,0.412987454881
S2,S2,HW,A-A,Authority,Authority,0.8947551872249999
S2,S2,HW,A-A,Authority,Authority,0.348876872964
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.775047815424
S2,S2,HW,A-A,Authority,Authority,0.999344107584
S2,S2,HW,A-A,Authority,Authority,0.9676440487210001
S2,S2,HW,A-A,Authority,Authority,0.27693695750400005
S2,S2,HW,A-A,Authority,Authority,0.960774396481
S2,S2,HW,A-A,Authority,Authority,0.7938613981210001
S2,S2,HW,A-A,Authority,Authority,0.238595125444
S2,S2,HW,A-A,Authority,Authority,0.37290563559999995
S2,S2,HW,A-A,Authority,Authority,0.579509175025
S2,S2,HW,A-A,Authority,Authority,1.0
S2,S2,HW,A-A,Authority,Authority,0.646102478025
