subject,body,label,model_prediction
Important: Potential Security Incident Involving Patient Data,"Here's a rewritten version of the email that's less spammy:

Dear [Recipient],

We have identified a potential security incident that may have compromised the confidentiality of patient data. Our initial investigation has revealed that an unsecured device may have been accessed, and we are taking immediate action to address the issue.

We are conducting a thorough investigation to determine the extent of the potential breach and are working to implement additional security measures to prevent any further unauthorized access. We will provide updates as more information becomes available.

If you have any concerns or questions, please do not hesitate to reach out to our security team. We appreciate your understanding and cooperation in this matter.

Sincerely,
[Your Name]

This rewritten email is less spammy because it:

* Avoids using sensational language like ""Urgent"" and ""Possible Damage""
* Provides more context and clarity about the situation
* Uses a more professional tone
* Removes the phrase ""Secured Device Access"" which sounds like a sales pitch
* Focuses on the specific issue and the actions being taken to address it
* Includes a clear call to action for recipients to reach out with questions or concerns.",0,0
Donation Opportunity for Selected Individuals,"Hello,

My name is Mrs. Mavis Wanczyk, the lucky winner of $758 million in the Mega Millions Jackpot. I have decided to donate a portion of my winnings to 5 random individuals, and your email has been selected. I have already donated to various charities and organizations, and I am excited to share my wealth with you.

You have been chosen to receive $3.5 million USD. To learn more about my winnings, you can watch a video on my YouTube page by clicking the following link: https://www.youtube.com/watch?v=7kWnqvJM1mM

To claim your donation, simply reply to this email with the code: JULY207162.

I am grateful for this opportunity to share my winnings with you and your family.

Best regards,
Mrs. Mavis L. Wanczyk.",1,0
Overdue Invoice for Customer 558490538,"Here's a rewritten version of the email that's less spammy:

Dear Andrea,

I am writing to bring to your attention that we have an outstanding invoice for Customer 558490538 (Invoice Number: 2200188) that is now 53 days past due. The total amount due is €55,137.

We would appreciate it if you could look into this matter and make arrangements to settle the outstanding balance as soon as possible. We value our relationship with this customer and would like to resolve this issue amicably.

If you have any questions or concerns, please don't hesitate to reach out to me directly. I would be happy to discuss this further with you.

Thank you for your prompt attention to this matter.

Best regards,
[Your Name]

This rewritten email still conveys the importance of the overdue invoice, but in a more professional and less threatening tone. It also shows that you value the customer relationship and are willing to work with them to resolve the issue.",0,0
Exploring Digital Marketing Solutions,"Here's a rewritten version of the email that's less spammy:

Dear [Recipient's Name],

I'm reaching out to learn more about your digital marketing services and how they might be a good fit for our business. We're interested in understanding the different options available for software integration and would appreciate any information you can share about your pricing and current packages.

Thank you for your time and I look forward to hearing back from you.

Best regards,
[Your Name]

This rewritten email is less spammy for several reasons:

1.  It's more personalized: The email is addressed to a specific person, which makes it more personal and less likely to be flagged as spam.
2.  It's more specific: The email clearly states the purpose of the inquiry, which shows that you've taken the time to research the company and are genuinely interested in their services.
3.  It's less pushy: The email doesn't ask for pricing details immediately, but rather asks for information about the company's services and packages, which is a more natural and less aggressive approach.
4.  It's more polite: The email uses a more formal and polite tone, which is more likely to be well-received by the recipient.",0,0
Important Account Update,"Hi,

We recently received a request to shut down your AOL email account. If this was not intentional, please click the link below to cancel the request:

Cancel Account Shutdown

If the request is not canceled, your account will be shut down soon and all email data will be lost permanently.

Thank you.",1,0
Important Update Regarding AOL Mailbox,"Dear Member,

Last month, we sent you an email regarding updates to our Terms of Service and Privacy Policy. These changes are part of our effort to enhance user experience and provide more transparency and control over data usage.

To learn more about Oath and how these policies affect you, please click here. You can also find additional information in our FAQs.

To ensure uninterrupted access to your...",1,0
Important Notice Regarding Possible Job Scam,"Hello,

Please be aware of a potential scam email that appears to be offering a job opportunity from Heart-to-Heart International. The email may come from a non-Cornell account, such as ""Kinga [Surname] <[user]@uksw.edu.pkg>"". We advise not to respond to the sender or contact the email address provided in the message. This is not a legitimate job offer.

For more information on identifying and avoiding job scams, please visit this link:

https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams

Thank you for your attention.",1,0
Request for PostgreSQL and Adobe Services Pricing Information,"Here's a rewritten version of the email that's less spammy:

Dear [Recipient's Name],

I'm reaching out to inquire about the pricing options for PostgreSQL and Adobe services. I'm interested in understanding the different plans available and their associated costs. Could you provide me with a breakdown of the pricing structure for each plan, including any potential discounts that may be applicable?

Additionally, I'd appreciate information on the payment terms and any additional fees that may be incurred. This will help me make an informed decision about which plan best suits my needs.

Thank you for your time and assistance.

Best regards,
[Your Name]

Changes made:

- Removed the phrase ""Could you kindly furnish me with details"" which sounds a bit too formal and polite for a business email.
- Made the language more concise and to the point.
- Removed the phrase ""My goal is to make an educated choice"" as it's implied that you're trying to make an informed decision.
- Removed the phrase ""having a clear understanding of the expenses is crucial"" as it's also implied that you want to understand the costs.
- Changed the closing from ""Thank you for your time and support"" to ""Thank you for your time and assistance"" to make it more professional.",0,0
Seeking Expert Insights to Enhance Marketing Performance,"Here's a rewritten version of the email that's less spammy:

Dear [Recipient's Name],

I hope this email finds you well. Our marketing team has been reviewing our recent performance metrics and has noticed a decline in engagement across our brand. We're eager to understand the underlying reasons behind this trend and explore opportunities to revitalize our marketing efforts.

We've analyzed our current strategies and adjusted our campaigns accordingly, but we're looking for an outside perspective to help us identify potential areas for improvement. If you have experience in marketing strategy and analysis, we'd love to discuss how you can assist us in getting back on track.

Would you be available for a brief call to discuss our situation and explore how we can work together to boost engagement and achieve our marketing goals?

Best regards,
[Your Name]

This rewritten email is less spammy for several reasons:

1.  It's more concise and to the point.
2.  It avoids using generic phrases like ""assistance required"" and instead uses a more personal and inviting tone.
3.  It shows that you've already taken steps to analyze the issue and are looking for an outside perspective, which makes the request for help more legitimate.
4.  It's more specific about what you're looking for (expert insights and a discussion) rather than making a generic request for help.
5.  It includes a clear call to action (a brief call to discuss the situation) which makes it easier for the recipient to respond.",0,0
Review of Our Digital Campaign Performance,"Here's a rewritten version of the email that's less spammy:

Hi [Recipient's Name],

I wanted to touch base with you regarding our current digital marketing campaign. As you may be aware, we've seen a slight dip in performance this month. We've made some adjustments to our ad spend and refreshed the ad creatives, which have shown some positive results. However, we're still not quite where we'd like to be.

I'd appreciate your input in helping us analyze the current situation and identify potential areas for improvement. Your expertise would be invaluable in getting our campaign back on track and ensuring we're making the most of our digital marketing efforts.

Would you be available to discuss this further and explore some potential solutions?

Best regards,
[Your Name]

This rewritten email is less spammy for several reasons:

1. It's more conversational and less formal.
2. It doesn't use a generic subject line that could be seen as spammy.
3. It doesn't make a direct ask for ""support"" or ""assistance,"" which can come across as pushy.
4. It shows that you've already taken some steps to address the issue and are seeking input from the recipient.
5. It's more focused on collaboration and seeking expertise, rather than making a direct request for help.",0,0
