Body,label,category,data source
Your order has been dispatched. Expect it by tomorrow afternoon in Bangalore.,0,Delivery Update,AIFraud
"Bro, got a great deal on flights to Goa. Should we book now?",0,Travel,AIFraud
"Heads-up, the Physics lab session is shifted to next Tuesday. Check the timetable.",0,Education,AIFraud
"Yo, let’s hit up the local dhaba for some butter chicken tonight. 7 PM cool?",0,Social,AIFraud
Your item has been shipped. It’ll reach you in 2 days in Ahmedabad. Thanks for waiting!,0,Delivery Update,AIFraud
"Hey there, your delivery is scheduled for today. Look out for it by 7 PM in Jaipur.",0,Delivery Update,AIFraud
My train to Kolkata is delayed by 30 mins. Will keep you posted.,0,Travel,AIFraud
"Hello, is your gym in Delhi offering any Holi special membership plans?",0,Service Inquiry,AIFraud
Reminder: Submit your Economics project by Friday. Drop it at Prof. Sharma’s office.,0,Education,AIFraud
"Bro, let’s watch the IPL match at my place. Snacks on me!",0,Social,AIFraud
Reminder: Submit your expense claims by today for Diwali payout.,0,Work Update,AIFraud
"Yo, Comedy Nights with Kapil is hilarious this week. Don’t miss it!",0,Entertainment,AIFraud
"Hi, I’m facing issues with my DTH connection. Can you help fix it today?",0,Service Inquiry,AIFraud
"Sis, found a cool kurta at Janpath. Want me to grab it for you?",0,Family,AIFraud
"Don’t forget, tomorrow is the last day to pay the semester fees at the admin block.",0,Education,AIFraud
"Hey, badminton practice at 6 AM tomorrow near Rajouri Garden. Be there, ok?",0,Sports,AIFraud
"Hi, your package is arriving soon! Should be with you by 4 PM in Pune.",0,Delivery Update,AIFraud
"Bro, can you get some paneer from the market for dinner?",0,Family,AIFraud
"Hey, did you finish the Chemistry assignment? Need help with the last question.",0,Education,AIFraud
Let’s plan a group study for Sanskrit at my place this weekend. You in?,0,Education,AIFraud
"Hey buddy, got the Biology textbook? Can I borrow it for a day? Thanks!",0,Education,AIFraud
Let’s hit up a dandiya night this Navratri. Gonna be fun! You in?,0,Entertainment,AIFraud
"Hi, let’s catch the IPL match at a sports bar tonight. Beer and cheers!",0,Recreation,AIFraud
Are there any offers on flight tickets to Goa for New Year’s Eve?,0,Service Inquiry,AIFraud
Planning to watch RRR again. Wanna join for a re-run at INOX?,0,Entertainment,AIFraud
Just watched the latest IPL match. What a thriller! Did u see it?,0,Entertainment,AIFraud
"Hey, let’s plan a weekend in Jaipur. Pink City vibes, anyone?",0,Travel,AIFraud
Your parcel is on its way! Should arrive by tomorrow morning in Gurgaon. Hang tight!,0,Delivery Update,AIFraud
"Hey, did you check out the new Bollywood flick? Thoughts?",0,Social,AIFraud
Do you guys have EMI options for laptops? Planning to buy one soon.,0,Service Inquiry,AIFraud
Did you hear? India won the Kabaddi World Cup again! So proud!,0,Sports,AIFraud
"Hey, just a reminder to finish the Q2 report by tonight. Don’t miss it!",0,Work Update,AIFraud
"Quick update: Client call at 2 pm today. Prep your points, ok?",0,Work Update,AIFraud
"Hey, your order is out for delivery! Expect it by 6 PM today in Mumbai.",0,Delivery Update,AIFraud
"Yo, let’s hit the beach in Goa this weekend. Sun, sand, and some vada pav!",0,Recreation,AIFraud
Let’s hit the local ground for a quick gully cricket match this evening. You in?,0,Sports,AIFraud
Flight to Bangalore is on time. See you at the airport in 3 hrs!,0,Travel,AIFraud
"Yo, did you see Kohli’s century yesterday? Man, what a game! Talk later?",0,Sports,AIFraud
Let’s have a potluck at my place this Friday. Bring your fave desi dish!,0,Recreation,AIFraud
"Hey, the Maths seminar is on tomorrow at 11 AM in Auditorium 1. Don’t miss it!",0,Education,AIFraud
