group_label,feature_a,feature_b,cell_slug,rank,phrase,phrase_len,log_ratio_score,weighted_group_count,weighted_background_count,group_doc_count,background_doc_count
HW-P-TP,Authority,Authority,authority__authority,1,nous vous,2,9.176328517417286,106.0,0.0,42,0
HW-P-TP,Authority,Authority,authority__authority,2,ebay member,2,9.118065269120702,100.0,0.0,37,0
HW-P-TP,Authority,Authority,authority__authority,3,address enter,2,9.097864602413367,98.0,0.0,44,0
HW-P-TP,Authority,Authority,authority__authority,4,copy paste,2,8.990245532518,88.0,0.0,46,0
HW-P-TP,Authority,Authority,authority__authority,5,link address,2,8.943730927509034,84.0,0.0,42,0
HW-P-TP,Authority,Authority,authority__authority,6,paste link,2,8.943730927509034,84.0,0.0,42,0
HW-P-TP,Authority,Authority,authority__authority,7,vous remercions,2,8.803391506200274,73.0,0.0,41,0
HW-P-TP,Authority,Authority,authority__authority,8,user agreement,2,8.656088532086244,63.0,0.0,49,0
HW-P-TP,Authority,Authority,authority__authority,9,privacy promise,2,8.57341049761025,58.0,0.0,18,0
HW-P-TP,Authority,Authority,authority__authority,10,jose monkey,2,8.556021779175769,57.0,0.0,22,0
HW-P-TP,Authority,Authority,authority__authority,11,opens window,2,8.53832533435402,56.0,0.0,2,0
HW-P-TP,Authority,Authority,authority__authority,12,ebay sent message,3,8.444816780067114,51.0,0.0,30,0
HW-P-TP,Authority,Authority,authority__authority,13,standard bank,2,8.444816780067114,51.0,0.0,3,0
HW-P-TP,Authority,Authority,authority__authority,14,ebay policy,2,8.425018073563091,50.0,0.0,31,0
HW-P-TP,Authority,Authority,authority__authority,15,american express,2,8.425018073563091,50.0,0.0,6,0
HW-P-TP,Authority,Liking,authority__liking,1,specific aspect excited,3,10.093912318714965,328.0,0.0,4,0
HW-P-TP,Authority,Liking,authority__liking,2,about prospect joining,3,10.093912318714965,328.0,0.0,4,0
HW-P-TP,Authority,Liking,authority__liking,3,aspect excited about,3,10.093912318714965,328.0,0.0,4,0
HW-P-TP,Authority,Liking,authority__liking,4,impressed specific,2,10.093912318714965,328.0,0.0,4,0
HW-P-TP,Authority,Liking,authority__liking,5,excited about prospect,3,10.093912318714965,328.0,0.0,4,0
HW-P-TP,Authority,Liking,authority__liking,6,link example,2,10.081642602504257,324.0,0.0,4,0
HW-P-TP,Authority,Liking,authority__liking,7,permission close,2,10.081642602504257,324.0,0.0,4,0
HW-P-TP,Authority,Liking,authority__liking,8,close file,2,10.081642602504257,324.0,0.0,4,0
HW-P-TP,Authority,Liking,authority__liking,9,check here link,3,10.081642602504257,324.0,0.0,4,0
HW-P-TP,Authority,Liking,authority__liking,10,train muni votre,3,9.939258478879836,281.0,0.0,217,0
HW-P-TP,Authority,Liking,authority__liking,11,voyager train muni,3,9.939258478879836,281.0,0.0,217,0
HW-P-TP,Authority,Liking,authority__liking,12,votre dossier voyage,3,9.685409156287342,218.0,0.0,218,0
HW-P-TP,Authority,Liking,authority__liking,13,disponible gare uniquement,3,9.648023371622024,210.0,0.0,210,0
HW-P-TP,Authority,Liking,authority__liking,14,envoyer votre,2,9.648023371622024,210.0,0.0,210,0
HW-P-TP,Authority,Liking,authority__liking,15,actuellement disponible,2,9.648023371622024,210.0,0.0,210,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,1,specific aspect excited,3,10.490687257377754,327.569664,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,2,about prospect joining,3,10.490687257377754,327.569664,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,3,impressed specific,2,10.490687257377754,327.569664,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,4,excited about prospect,3,10.490687257377754,327.569664,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,5,aspect excited about,3,10.490687257377754,327.569664,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,6,permission close,2,10.479726362656717,323.998704,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,7,close file,2,10.479726362656717,323.998704,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,8,here link,2,10.479726362656717,323.998704,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,9,link example,2,10.479726362656717,323.998704,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,10,check here,2,10.479726362656717,323.998704,0.0,4,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,11,alone excited,2,9.404689490515363,110.569366,0.0,3,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,12,last summer,2,9.404689490515363,110.569366,0.0,3,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,13,summer went,2,9.404689490515363,110.569366,0.0,3,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,14,time traveling alone,3,9.404689490515363,110.569366,0.0,3,0
HW-P-TP,Authority,Reciprocity,authority__reciprocity,15,went solo trip,3,9.404689490515363,110.569366,0.0,3,0
HW-P-TP,Authority,Social Proof,authority__social_proof,1,standard bank,2,11.261431585703086,499.47028799999987,0.0,33,0
HW-P-TP,Authority,Social Proof,authority__social_proof,2,patience understanding,2,10.836511300261591,326.561152,0.0,9,0
HW-P-TP,Authority,Social Proof,authority__social_proof,3,permission close,2,10.827685407340216,323.691552,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,4,close file,2,10.827685407340216,323.691552,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,5,here link,2,10.827685407340216,323.691552,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,6,link example,2,10.827685407340216,323.691552,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,7,check here,2,10.827685407340216,323.691552,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,8,specific aspect excited,3,10.802496341510462,315.63964799999997,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,9,about prospect joining,3,10.802496341510462,315.63964799999997,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,10,impressed specific,2,10.802496341510462,315.63964799999997,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,11,excited about prospect,3,10.802496341510462,315.63964799999997,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,12,aspect excited about,3,10.802496341510462,315.63964799999997,0.0,4,0
HW-P-TP,Authority,Social Proof,authority__social_proof,13,wells fargo,2,10.356567123514191,202.07808599999998,0.0,11,0
HW-P-TP,Authority,Social Proof,authority__social_proof,14,website register,2,10.0604236787471,150.27901799999998,0.0,3,0
HW-P-TP,Authority,Social Proof,authority__social_proof,15,rainier national,2,9.868544228089096,124.03951199999999,0.0,9,0
HW-P-TP,Authority,Scarcity,authority__scarcity,1,permission close,2,10.77064836633733,239.847804,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,2,close file,2,10.77064836633733,239.847804,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,3,here link,2,10.77064836633733,239.847804,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,4,link example,2,10.77064836633733,239.847804,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,5,check here,2,10.77064836633733,239.847804,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,6,standard bank,2,10.333266374628256,154.872114,0.0,27,0
HW-P-TP,Authority,Scarcity,authority__scarcity,7,patience understanding,2,10.02665597845726,113.97352,0.0,12,0
HW-P-TP,Authority,Scarcity,authority__scarcity,8,specific aspect excited,3,9.968524856198863,107.53644,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,9,about prospect joining,3,9.968524856198863,107.53644,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,10,impressed specific,2,9.968524856198863,107.53644,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,11,excited about prospect,3,9.968524856198863,107.53644,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,12,aspect excited about,3,9.968524856198863,107.53644,0.0,4,0
HW-P-TP,Authority,Scarcity,authority__scarcity,13,alone excited,2,9.73330686285756,84.99454800000001,0.0,3,0
HW-P-TP,Authority,Scarcity,authority__scarcity,14,summer went,2,9.73330686285756,84.99454800000001,0.0,3,0
HW-P-TP,Authority,Scarcity,authority__scarcity,15,time traveling alone,3,9.73330686285756,84.99454800000001,0.0,3,0
HW-P-TP,Authority,Commitment,authority__commitment,1,permission close,2,10.312347749100208,145.133208,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,2,close file,2,10.312347749100208,145.133208,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,3,here link,2,10.312347749100208,145.133208,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,4,link example,2,10.312347749100208,145.133208,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,5,check here,2,10.312347749100208,145.133208,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,6,standard bank,2,9.44165687976868,60.75597600000004,0.0,27,0
HW-P-TP,Authority,Commitment,authority__commitment,7,patience understanding,2,9.296387173605307,52.53974899999999,0.0,9,0
HW-P-TP,Authority,Commitment,authority__commitment,8,specific aspect excited,3,9.266456877568723,50.990224000000005,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,9,about prospect joining,3,9.266456877568723,50.990224000000005,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,10,impressed specific,2,9.266456877568723,50.990224000000005,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,11,excited about prospect,3,9.266456877568723,50.990224000000005,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,12,aspect excited about,3,9.266456877568723,50.990224000000005,0.0,4,0
HW-P-TP,Authority,Commitment,authority__commitment,13,might interest,2,8.702968790494442,29.020352999999993,0.0,6,0
HW-P-TP,Authority,Commitment,authority__commitment,14,alone excited,2,8.695740855883967,28.81128,0.0,3,0
HW-P-TP,Authority,Commitment,authority__commitment,15,last summer,2,8.695740855883967,28.81128,0.0,3,0
HW-P-TP,Liking,Liking,liking__liking,1,verify address,2,10.965189068264674,883.0,0.0,221,0
HW-P-TP,Liking,Liking,liking__liking,2,nous vous,2,10.527506447230882,570.0,0.0,221,0
HW-P-TP,Liking,Liking,liking__liking,3,paste link,2,10.273185048952687,442.0,0.0,221,0
HW-P-TP,Liking,Liking,liking__liking,4,link address,2,10.273185048952687,442.0,0.0,221,0
HW-P-TP,Liking,Liking,liking__liking,5,reset password,2,10.273185048952687,442.0,0.0,221,0
HW-P-TP,Liking,Liking,liking__liking,6,vous remercions,2,10.155687599534685,393.0,0.0,221,0
HW-P-TP,Liking,Liking,liking__liking,7,specific aspect excited,3,9.687224728209191,246.0,0.0,3,0
HW-P-TP,Liking,Liking,liking__liking,8,about prospect joining,3,9.687224728209191,246.0,0.0,3,0
HW-P-TP,Liking,Liking,liking__liking,9,aspect excited about,3,9.687224728209191,246.0,0.0,3,0
HW-P-TP,Liking,Liking,liking__liking,10,impressed specific,2,9.687224728209191,246.0,0.0,3,0
HW-P-TP,Liking,Liking,liking__liking,11,excited about prospect,3,9.687224728209191,246.0,0.0,3,0
HW-P-TP,Liking,Liking,liking__liking,12,link example,2,9.674955137453722,243.0,0.0,3,0
HW-P-TP,Liking,Liking,liking__liking,13,permission close,2,9.674955137453722,243.0,0.0,3,0
HW-P-TP,Liking,Liking,liking__liking,14,close file,2,9.674955137453722,243.0,0.0,3,0
HW-P-TP,Liking,Liking,liking__liking,15,check here link,3,9.674955137453722,243.0,0.0,3,0
HW-P-TP,Liking,Reciprocity,liking__reciprocity,1,specific aspect excited,3,10.530776125687359,327.569664,0.0,4,0
HW-P-TP,Liking,Reciprocity,liking__reciprocity,2,about prospect joining,3,10.530776125687359,327.569664,0.0,4,0
HW-P-TP,Liking,Reciprocity,liking__reciprocity,3,impressed specific,2,10.530776125687359,327.569664,0.0,4,0
