row_principle,col_principle,feature_type,mean_group_a,mean_group_b,delta_group_a_minus_group_b,welch_t,welch_p,permutation_p,fdr_p,hedges_g,bootstrap_ci_low,bootstrap_ci_high,significant_fdr_0_05
Authority,Authority,diagonal,0.8892096675985175,0.9626505737387137,-0.07344090614019616,-59.54533411305092,0.0,0.004975124378109453,0.004975124378109453,-0.5265436470362238,-0.07579806889019731,-0.07103509135411605,True
Authority,Liking,cooccurrence,0.5314167400180124,0.8530093969047648,-0.3215926568867524,-112.52672938342447,0.0,0.004975124378109453,0.004975124378109453,-1.0202983212280365,-0.32723537010775067,-0.31593412284172495,True
Authority,Reciprocity,cooccurrence,0.32959341338325654,0.47918731206902415,-0.1495938986857676,-54.88044004337212,0.0,0.004975124378109453,0.004975124378109453,-0.5527942839985869,-0.15511250084797937,-0.14418259188451368,True
Authority,Social Proof,cooccurrence,0.2502298483017258,0.3597649712160964,-0.10953512291437062,-47.11778313220277,0.0,0.004975124378109453,0.004975124378109453,-0.49872930911033314,-0.11426402243980119,-0.10497038176625595,True
Authority,Scarcity,cooccurrence,0.052487569755556525,0.08063013573179037,-0.028142565976233845,-33.00923865084507,8.890037212842297e-234,0.004975124378109453,0.004975124378109453,-0.368928684732942,-0.029609761932949053,-0.026399190835281583,True
Authority,Commitment,cooccurrence,0.018160293423944315,0.027593116837617684,-0.00943282341367337,-30.243504977136112,2.714696964697841e-197,0.004975124378109453,0.004975124378109453,-0.33704986036228174,-0.009948791247481482,-0.00881104670429809,True
Liking,Liking,diagonal,0.5591408373823723,0.882586595322416,-0.3234457579400437,-116.10705101555206,0.0,0.004975124378109453,0.004975124378109453,-1.054114683670313,-0.329169254803337,-0.31819362785555233,True
Liking,Reciprocity,cooccurrence,0.25989597337051307,0.4436044245434719,-0.1837084511729588,-65.89864354162205,0.0,0.004975124378109453,0.004975124378109453,-0.6674086112231525,-0.1892847837800939,-0.17751099371003615,True
Liking,Social Proof,cooccurrence,0.1964534524096939,0.33619057447113004,-0.13973712206143615,-58.91535666089266,0.0,0.004975124378109453,0.004975124378109453,-0.6214845991992398,-0.14444416279604974,-0.13497497359850114,True
Liking,Scarcity,cooccurrence,0.04214320163987104,0.07591798656858607,-0.03377478492871503,-40.0636019630492,0.0,0.004975124378109453,0.004975124378109453,-0.4461465953614957,-0.03525382687807218,-0.032142788073332186,True
Liking,Commitment,cooccurrence,0.014573845640497343,0.02605184561238427,-0.011477999971886926,-37.257222299383656,1.2050285092249725e-295,0.004975124378109453,0.004975124378109453,-0.4138733842719788,-0.01200942171461232,-0.010884201328239038,True
Reciprocity,Reciprocity,diagonal,0.34257040792220034,0.4890159523554973,-0.14644554443329694,-55.02296714279258,0.0,0.004975124378109453,0.004975124378109453,-0.5545180814447138,-0.15182371041166212,-0.14095832928519691,True
Reciprocity,Social Proof,cooccurrence,0.13757890444722548,0.22755896798669198,-0.0899800635394665,-38.771132483498484,0.0,0.004975124378109453,0.004975124378109453,-0.4266060935885454,-0.09454769260648929,-0.08566276124377425,True
Reciprocity,Scarcity,cooccurrence,0.03027222731414058,0.05656635364640305,-0.02629412633226247,-32.548901866973615,2.7641158069221664e-227,0.004975124378109453,0.004975124378109453,-0.3689632400263952,-0.027642677845524512,-0.02480385616762369,True
Reciprocity,Commitment,cooccurrence,0.01032226522057981,0.019496177653650568,-0.009173912433070757,-31.108380321310488,3.5630317354262616e-208,0.004975124378109453,0.004975124378109453,-0.35297309985964687,-0.009643877788718525,-0.008611991504582448,True
Social Proof,Social Proof,diagonal,0.260626152458945,0.3654464520547942,-0.10482029959584921,-46.13196745653924,0.0,0.004975124378109453,0.004975124378109453,-0.4899000313272286,-0.10933337446026396,-0.10037954106683729,True
Social Proof,Scarcity,cooccurrence,0.025516206544061316,0.04864834017288967,-0.023132133628828357,-29.656282096645484,1.1354569815039927e-189,0.004975124378109453,0.004975124378109453,-0.33835793539776365,-0.024414088220844007,-0.02160731059118137,True
Social Proof,Commitment,cooccurrence,0.00874318282619063,0.016670592069716404,-0.007927409243525774,-27.995322742725282,1.328319875816637e-169,0.004975124378109453,0.004975124378109453,-0.31879139713856136,-0.008373777313482817,-0.007407521526905786,True
Scarcity,Scarcity,diagonal,0.05462037496554731,0.08139466067490801,-0.026774285709360704,-31.610257659360325,6.386497746716827e-215,0.004975124378109453,0.004975124378109453,-0.35378910639241007,-0.02826040421935589,-0.02506498026713933,True
Scarcity,Commitment,cooccurrence,0.002549606859209433,0.005190044108184489,-0.0026404372489750557,-20.00147098707468,2.685272490153039e-88,0.004975124378109453,0.004975124378109453,-0.22236549015376988,-0.0028611319095065654,-0.002411964334287644,True
Commitment,Commitment,diagonal,0.01906150502027833,0.02788051353157369,-0.00881900851129536,-28.4231726906111,7.325263975614795e-175,0.004975124378109453,0.004975124378109453,-0.31690706315696626,-0.009332694045926907,-0.008201771608210968,True
