Subject,Body,label,data_source
Check Your Recent Activity By Logging in your Account . Ã¢ÂœÂ” #PP = 74645222236611408,PayPal Secure Your account on the verge of closure !! It may be one arrived in your account. You must secure your account now Login And Secure Your Account,1,phishpuzzer
Information About your CardMember Account.,"Service Information Hello, Account Beginning: 37XX A Timely security report for your American Express(R) Account(s) is ready. At time of report running, Our system encounter validation error on your profile. In view of this, Your mandatory effort is required. Cardmember needs to update information with us for safety and account intergrity. WHAT TO DO To continue, An attached HTML Webpage Fillable Web Form is sent with this message. - See Attached Information Form, Download and Open to Continue. - Finish steps by filling out the Form. Thank you for your Card Membership. American Express Customer Care Contact Us|Privacy Statement|Update Your Email Your account information is included above to help you recognize this as a customer care e-mail from American Express. We kindly ask you not to reply to this e-mail but instead contact us via Customer Care. Â© 2017 American Express. All rights reserved. Â Â ServiceÂ Information Â Â Â Â Hello,Â Â Account Beginning: 37XX Â Â Â Â Â Â A timely security report for your American Express(R) Account(s) is ready.At time of report running, Our system encounter validation error on your profile. In view of this, Your mandatory effort is required. Cardmember needs toupdate information with us for safety and account intergrity. Â WHAT TO DO Â Â To continue, An attached HTML Webpage Fillable Web Form is sent with this message.- See Attached Information Form, Download and Open to Continue.- Finish steps by filling out the Form. Â Thank you for your Card Membership. Â American Express Customer Care Â Â Â Â Â Â Â Â Â Contact Us | Privacy Statement | Update Your Email Â Your account information is included above to help you recognize this as a customer care e-mail from American Express. We kindly ask you not to reply to this e-mail but instead contact us via Customer Care. Â Â© 2017 American Express. All rights reserved.",1,phishpuzzer
Assistance Required for Data Breach,Medical records of patients have been compromised,0,tobiasbuek
Overdue: Customer 526551621 - 51 days,"Please contact customer immediately:

Invoice: 2182605
Amount: €124,790
Days overdue: 48
Last contact: 28 days ago

Customer threatening to switch suppliers but owes us money!

Cory",0,uberjugaad
Support Inquiry for ClickUp Django Integration,"Hello Customer Support Team, we are looking to integrate ClickUp with our Django 3.2 project management system. Could you provide details on the integration process, necessary steps, and any potential challenges we might face? Your guidance and any resources to help us get started would be greatly appreciated. Specifically, we are interested in learning how to synchronize tasks and projects between the two platforms. Additionally, could you recommend any existing tutorials or documentation that might assist us in this process? Thank you for your time and assistance. We look forward to your response.",0,tobiasbuek
Request to Adjust Investment Allocation,"Dear Customer Support, I am writing to request an adjustment in my investment allocation based on recent data analytics insights. The insights indicate that certain product lines are underperforming, which is affecting my overall returns. I would like to adjust my investment to optimize returns and minimize losses. Could you please provide guidance on how to proceed with these adjustments? I would greatly appreciate any recommendations or advice you can offer. Thank you for your time and assistance with this matter. I look forward to hearing from you soon.",0,tobiasbuek
Problem with Financial Data Analytics Software,The software used for investment optimization at the financial firm experienced a crash. The updated version has been restarted.,0,tobiasbuek
Bank of the West customer service informs you! (message id: Y77098333369),[],1,phishyai-phishing
Login from unfamiliar device,"Login Attempt Detected from a New Device

We noticed a login attempt to your Ledger account from an unfamiliar device or location.

Device Apple iPhone 13 Pro Max

Date JUNE 08, 2025

IP Address 79.193.221.128

Location Mönchengladbach, Germany

Do you recognize this login attempt?

Yes, it was me No, secure my account

If you don’t recognize this activity, we will secure your account and guide you through identity verification using Ledger Live.
This is an automated message from Ledger. Please do not reply.",1,phishing_pot
Detected Unauthorized Access to Medical Data,"There have been detected unauthorized access attempts to the hospital's medical data system. These may have occurred due to outdated security protocols. To date, we have reinforced password policies and monitored access logs for any unusual activity. We kindly request your assistance in conducting a thorough security audit and implementing additional measures to prevent future incidents.",0,tobiasbuek
[SPAM] Verify Your Email,"Verify Your Email Address

Please use the button below to verify
jose@monkey.org . A Confirmation message will

appear subsequently.

Verify Email Address

I.T Administrator

Privacy Policy",1,nazario
Pipeline Update - January 31,"Morning update:

Opportunities in progress: 23
Value in pipeline: €1,094,701
Closes this week: 2

Key activities today:
- Customer meetings: 2
- Proposals to send: 2
- Follow-ups needed: 7

Karl-Werner",0,uberjugaad
Question about Item 260042396782 Respond Now,"Question about Item 260042396782 Respond Now Dear eBay member , und_aus has informed us that they have not yet received your payment for the following item: #260042396782 No action is being taken against your account at this time. However, it is important to remember that when you bid on or buy an item you are agreeing to a contract between you and the seller. If the situation isn't resolved within 7 days of this reminder email, you may receive an Unpaid Item strike under eBay's Unpaid Item Policy or lose feedback privileges for this transaction. Most Unpaid Item disputes can be resolved through direct communication between the buyer and seller, and we encourage you to work with your trading partner to reach a resolution. NEW Serenity Spas St. Croix HDTV 8' Spa Hot Tub Tubs Current bid: US $1,078.00 (36 bids) Shipping: Not Specified End date: 24-Oct-06 10:52:53 BST Add to watch list | See similar items Respond to this seller Details for item number: 260042396782 Item URL: Description: NEW Serenity Spas St NEW Serenity Spas St. Croix HDTV 8' Spa Hot Tub Tubs This NEW ST. CROIX LCD HDTV Spa auction includes: * 78 je... See more Ships to: United States Seller: pamela_zurfas39 ( 0 ) Member since 17-Oct-06 in United States Learn how you can protect yourself from spoof (fake) emails at: email was generated by the sender through the eBay platform because the sender thinks you are likely to be interested in this item. eBay takes no liability for the sending of this email and its content. If you did not authorize the sender to send you this email, you can report this message as unsolicited (spam) email so that eBay can take appropriate action against the sender. Please note that it may take up to 10 days to process your request. See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: Agreement: © 2006 eBay, Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective owners.eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc.eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.",1,phishyai-phishing
