row_number,source_path,source_row_number,dataset_name,subject,label,data_source,prediction,probability,confidence,digit_count,domain_age,domain_length,email_length,has_attachment,html_tags,hyphen_count,link_density,links_count,sender_domain,special_chars,subdomain_count,subject_length,urgent_keywords,http_status,response_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,1,phishing_email_agent_003281_003300_chunk_input,[duodenalswitch] Digest Number 13715,0,fuzzer-LLM,legitimate,0.34884792596722797,0.6511520740327721,0,0,7,21230,0,5,0,0.00018840374923460976,4,aol.com,1441,1,36,0,200,
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,2,phishing_email_agent_003281_003300_chunk_input,Re: [opensuse] Intel 3945 Wireless Problem opensuse 10.3,0,fuzzer-LLM,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,2346,0,0,0,0.0,0,,85,0,56,0,200,
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,3,phishing_email_agent_003281_003300_chunk_input,[R] Mixed model with multiple response variables?,0,fuzzer-LLM,legitimate,0.28946506326129645,0.7105349367387035,0,0,13,1119,0,0,1,0.0017857142857142857,2,r-project.org,93,1,49,0,200,
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,4,phishing_email_agent_003281_003300_chunk_input,Emerging Technologies Friday Update (02/08/2008),0,fuzzer-LLM,phishing,0.5711209484057486,0.5711209484057486,0,0,20,4004,0,0,0,0.0032459425717852684,13,www.technologyreview.com,246,1,48,1,200,
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,5,phishing_email_agent_003281_003300_chunk_input,DHL YOUR PACKAGE ARRIVED,1,fuzzer-LLM,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,503,0,0,0,0.0,0,,8,0,24,0,200,
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,6,phishing_email_agent_003281_003300_chunk_input,🐝 BEEautiful! Extra 15% OFF all orders - 72 hours only,1,fuzzer-LLM,phishing,0.5625749936728378,0.5625749936728378,0,0,6,1456,0,0,0,0.0,0,gmail.comto,71,1,54,1,200,
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,7,phishing_email_agent_003281_003300_chunk_input,[lwv-healthcare] Millions with Chronic illness go untreated - NY Times,0,fuzzer-LLM,legitimate,0.4094276424356672,0.5905723575643328,0,0,11,5148,0,0,0,0.0019421246844047388,10,www.nytimes.com,287,1,70,0,200,
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,8,phishing_email_agent_003281_003300_chunk_input,Mailbox Deactivation Noticy 2/10/2022,1,fuzzer-LLM,legitimate,0.35780815427107726,0.6421918457289227,0,0,8,770,0,0,0,0.0025940337224383916,2,monkey.orgï¼œå,22,1,37,0,200,
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,9,phishing_email_agent_003281_003300_chunk_input,Washington pulls back from the edge,1,fuzzer-LLM,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,3725,0,0,0,0.0,0,,70,0,35,0,200,
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,10,phishing_email_agent_003281_003300_chunk_input,The summer wardrobe: Pink pieces,1,fuzzer-LLM,legitimate,0.4998986874298703,0.5001013125701297,0,0,0,1105,0,0,0,0.0,0,,47,0,32,1,200,
11,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,11,phishing_email_agent_003281_003300_chunk_input,Re: [opensuse] Xorg ignores my screen resolution settings.,0,fuzzer-LLM,legitimate,0.40319569817108175,0.5968043018289182,0,0,0,820,0,0,0,0.0,0,,52,0,58,0,200,
12,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,12,phishing_email_agent_003281_003300_chunk_input,Southern Baptists vote to remove churches with female pastors,1,fuzzer-LLM,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,682,0,0,0,0.0,0,,24,0,61,0,200,
13,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,13,phishing_email_agent_003281_003300_chunk_input,Re: mass-check --server bug?,0,fuzzer-LLM,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,551,0,0,0,0.0,0,,66,0,28,0,200,
14,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,14,phishing_email_agent_003281_003300_chunk_input,Dice JobAlert for Agent Primary,0,fuzzer-LLM,phishing,0.6542079039973455,0.6542079039973455,0,0,17,6193,0,0,1,0.0,0,gvc.ceas-challenge.cc,183,1,31,1,200,
15,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,15,phishing_email_agent_003281_003300_chunk_input,[zzzzteana] A New Theory on Mapping the New World,0,fuzzer-LLM,legitimate,0.3208235809631076,0.6791764190368924,0,0,18,1818,0,0,0,0.0016492578339747114,3,www.washingtonpost.com,67,1,49,0,200,
16,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,16,phishing_email_agent_003281_003300_chunk_input,Daily Summary,1,fuzzer-LLM,legitimate,0.31472486721684273,0.6852751327831572,0,0,0,680,0,0,0,0.0,0,,25,0,13,0,200,
17,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,17,phishing_email_agent_003281_003300_chunk_input,Welcome to Mr. Rebates!,1,fuzzer-LLM,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,821,0,0,0,0.0,0,,21,0,23,0,200,
18,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,18,phishing_email_agent_003281_003300_chunk_input,New device registration for Remember me,0,fuzzer-LLM,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,757,0,0,0,0.0,0,,27,0,39,0,200,
19,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,19,phishing_email_agent_003281_003300_chunk_input,Re: [opensuse] openSuse 11 Alpha,0,fuzzer-LLM,legitimate,0.37435974272631084,0.6256402572736892,0,0,12,753,0,0,0,0.001326259946949602,1,www.opensuse.org,36,1,32,0,200,
20,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/phishing_email_agent_003281_003300/chunk_input.csv,20,phishing_email_agent_003281_003300_chunk_input,Welcome to the Star's Opinion Headlines newsletter,1,fuzzer-LLM,legitimate,0.41045803586219065,0.5895419641378093,0,0,10,1136,0,0,0,0.0,0,thestar.ca,13,1,50,0,200,
