stage,hw_precision,hw_recall,hw_accuracy,hw_fpr,hw_fnr,hw_f0_5,hw_f1,hw_f2,hw_mcc,llm_precision,llm_recall,llm_accuracy,llm_fpr,llm_fnr,llm_f0_5,llm_f1,llm_f2,llm_mcc
S1,0.8461538461538461,0.4479638009049774,0.8505072076882008,0.025157232704402517,0.5520361990950227,0.7184325108853411,0.5857988165680473,0.4945054945054945,0.5429692956917672,0.40859030837004406,0.5512630014858841,0.6861204638982417,0.2685,0.4487369985141159,0.43089430894308944,0.4693232131562302,0.5152777777777777,0.2591372429242004
S2,0.9570815450643777,0.4407114624505929,0.707,0.020242914979757085,0.5592885375494071,0.7753824756606398,0.6035182679296346,0.49401860877270715,0.49727497586552555,0.5889830508474576,0.13941825476429287,0.5213032581453634,0.09719438877755511,0.8605817452357071,0.3580628541988666,0.22546634225466342,0.16453598484848486,0.06537051750507068
S4,0.9675090252707581,0.4153965383621803,0.5969733866759437,0.02875399361022364,0.5846034616378197,0.7643312101910829,0.5812398337249232,0.4689140324273883,0.39999189520181133,0.9631396357328708,0.19026814015248866,0.44387427838357923,0.01552227903579255,0.8097318598475114,0.5314159927262286,0.31776235782244794,0.22664190375117352,0.23880277296688895
S5,0.9311926605504587,0.41855670103092785,0.6893305439330544,0.03184713375796178,0.5814432989690722,0.7479734708916728,0.577524893314367,0.47034291010194623,0.46079717923165786,,,,,,,,,
S6-MPG,0.9405940594059405,0.41424418604651164,0.6992857142857143,0.025280898876404494,0.5857558139534884,0.75,0.5751765893037336,0.4664484451718494,0.47219153770352007,,,,,,,,,
S6-UTA,0.9354838709677419,0.381021897810219,0.6842857142857143,0.025174825174825177,0.618978102189781,0.7245974458634092,0.5414937759336099,0.43226233852268964,0.4453042049942878,,,,,,,,,
S6-fuzzer,0.9669811320754716,0.3886255924170616,0.588125,0.025688073394495414,0.6113744075829384,0.7451835696110505,0.5544286680189318,0.44142980189491815,0.3897353129566803,,,,,,,,,
S8-deepseek,0.9605263157894737,0.42196531791907516,0.7057142857142857,0.01694915254237288,0.5780346820809249,0.7651991614255765,0.5863453815261044,0.4752604166666667,0.49113395974402213,,,,,,,,,
S8-llama,0.9088319088319088,0.4126778783958603,0.69625,0.03869407496977025,0.5873221216041398,0.7326596233348645,0.5676156583629893,0.46325878594249204,0.4516068476011885,,,,,,,,,
S8-ministral,0.9598214285714286,0.40262172284644193,0.7018181818181818,0.015901060070671377,0.5973782771535581,0.7517482517482518,0.5672823218997362,0.4555084745762712,0.47995460090386827,,,,,,,,,
