row_number,source_path,source_row_number,dataset_name,subject,label,data_source,prediction,probability,confidence,digit_count,domain_age,domain_length,email_length,has_attachment,html_tags,hyphen_count,link_density,links_count,sender_domain,special_chars,subdomain_count,subject_length,urgent_keywords,http_status,response_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,1,phishing_email_agent_000201_000300_chunk_input,Today's Problem with Data Sync,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,231,0,0,0,0.0,0,,5,0,30,0,200,
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,2,phishing_email_agent_000201_000300_chunk_input,Pipeline Update - February 06,0,uberjugaad,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,197,0,0,0,0.0,0,,10,0,29,0,200,
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,3,phishing_email_agent_000201_000300_chunk_input,You have an updated information,1,phishing_pot,legitimate,0.3027938247371402,0.6972061752628598,0,0,0,18,0,0,0,0.0,0,,0,0,31,0,200,
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,4,phishing_email_agent_000201_000300_chunk_input,Pipeline Update - February 10,0,uberjugaad,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,195,0,0,0,0.0,0,,10,0,29,0,200,
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,5,phishing_email_agent_000201_000300_chunk_input,[Congratulations]Your Request Has Been Approved!,1,phishing_pot,phishing,0.5722470815849182,0.5722470815849182,0,0,11,919,0,0,0,0.0,0,illuvium.io,32,1,48,1,200,
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,6,phishing_email_agent_000201_000300_chunk_input,"PO Approval Required: €85,809",0,uberjugaad,legitimate,0.37800733408032455,0.6219926659196755,0,0,0,159,0,0,0,0.0,0,,7,0,29,0,200,
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,7,phishing_email_agent_000201_000300_chunk_input,Pipeline Update - January 06,0,uberjugaad,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,200,0,0,0,0.0,0,,10,0,28,0,200,
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,8,phishing_email_agent_000201_000300_chunk_input,Urgent: Strengthen Security of Medical Records Encryption,0,tobiasbuek,phishing,0.5297852771240849,0.5297852771240849,0,0,0,619,0,0,0,0.0,0,,7,0,57,1,200,
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,9,phishing_email_agent_000201_000300_chunk_input,Urgent Assistance Required for Implementing Enhanced Encryption,0,tobiasbuek,phishing,0.5386088203822,0.5386088203822,0,0,0,476,0,0,0,0.0,0,,7,0,63,1,200,
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000201_000300/chunk_input.csv,10,phishing_email_agent_000201_000300_chunk_input,Re: Urgent: Production Down - Cloud Instance Unreachable,0,rtweera,legitimate,0.3212884032504699,0.6787115967495301,0,0,0,219,0,0,0,0.0,0,,4,0,56,0,200,
