Body,label,category,data source
"P1: Hey, Arjun, how’s it going, man?\nP2: Yo, Vikram, all good here! Just chilling after a long day at college. You?\nP1: Same, yaar. Just finished a project for my engineering class. Brain is fried!\nP2: Haha, I feel you. Which subject was it this time?\nP1: Mechanics, bhai. So many calculations, I almost gave up.\nP2: Been there! But you’re killing it, I’m sure. By the way, did you start prepping for placements?\nP1: Not yet, man. I’m thinking of joining some coding classes. Companies are crazy about tech skills now.\nP2: True that. I’m brushing up on Python myself. Let’s study together sometime, maybe over chai at that stall near Andheri?\nP1: Deal! Chai and coding, best combo. How about next weekend?\nP2: Works for me. Let’s plan closer to the date. Oh, and are you coming for the Diwali party at Rohan’s place?\nP1: Wouldn’t miss it, yaar. Gotta get some new kurtas for that. You?\nP2: Of course! Already got my outfit ready. Let’s catch up there too.\nP1: Cool, bhai. I’ll call you later to confirm the chai plan.\nP2: Sure, take care, man!",0,Education,AIFraud
"P1: Hey, Arjun, what’s up? Been a while!\nP2: Hey, Meera! Yeah, yaar, just caught up with work. How are you?\nP1: I’m good, thanks! Listen, I need a caterer for a small Diwali get-together. Any recommendations?\nP2: Oh, for sure! There’s this amazing caterer in Thane I used for my sister’s birthday. They do awesome Indian food.\nP1: That sounds great. Do they have veg and non-veg options?\nP2: Yes, both. Their paneer tikka and biryani were a hit at our party.\nP1: Wow, my mouth is watering already! How do I contact them?\nP2: I’ll send you their contact. Just mention my name, they might give a discount.\nP1: Thanks, Arjun, you’re a lifesaver! Hey, are you joining us for Diwali?\nP2: Would love to, Meera! Just confirm the date, I’ll be there with crackers.\nP1: Haha, awesome! It’s on the 10th. I’ll text you the details.\nP2: Perfect. Looking forward to it. Talk soon!\nP1: Take care, bye!\nP2: Bye, Meera!",0,Service Inquiry,AIFraud
"P1: Heyy, I’m thinking of a quick trip to Kerala during the long weekend.\nP2: Whoa, Kerala? That’s gonna be so serene. Which weekend?\nP1: The one in December, around Christmas. Want a break from the cold up here.\nP2: I feel you. Delhi winters are brutal. Where in Kerala?\nP1: Planning for Munnar. Those tea plantations are calling me!\nP2: Amazing choice. The hills there are unreal. You going solo?\nP1: Nah, with my college gang. We’re looking for homestays.\nP2: That’s the best way to experience Kerala. Try the local fish curry, okay?\nP1: Oh, for sure! I’ve heard it’s to die for. Any other tips?\nP2: Yeah, take a shikara ride if you can. It’s super calming.\nP1: Will do. Flights are pricey though, almost ₹20,000 return.\nP2: Ouch, that’s steep. Maybe check for deals on MakeMyTrip?\nP1: Good idea. I’ll look tonight. Wanna join if it’s not too expensive?\nP2: Tempting, but I’ve got family stuff. Keep me updated though!\nP1: Will do. I’ll send pics if we finalize. Talk later?\nP2: Yeah, looking forward to those Kerala vibes. Catch you soon!",0,Travel,AIFraud
"P1: Hey, bro, what’s up? Been ages since we chatted!\nP2: Arre, yaar, I know! Just been swamped with work. How are you, man?\nP1: All good here. Just chilling in Mumbai, missing our old hangouts. You free this weekend?\nP2: Hmm, let me check. Diwali prep is on full swing at home, but I can squeeze in some time. What’s the plan?\nP1: How about catching a movie at PVR? There’s this new Bollywood flick everyone’s talking about.\nP2: Sounds good! Is it that one with Ranbir Kapoor? I’ve been wanting to watch it.\nP1: Exactly that one! Let’s book tickets for Saturday evening. Cool with you?\nP2: Perfect. And after, we can grab some vada pav near Marine Drive, na?\nP1: Arre, now you’re talking! Nothing beats street food in Mumbai. I’m already drooling.\nP2: Haha, same! Alright, I’ll confirm with the missus and text you by tomorrow.\nP1: No worries, take your time. Just don’t back out last minute like last time!\nP2: Haha, promise I won’t. Catch you soon, bro!",0,Entertainment,AIFraud
"P1: Hey, Neha! How’ve you been?\nP2: Hey, Riya! I’m good, just chilling. What about you?\nP1: All good here. Listen, I was thinking we should plan a movie night soon. It’s been ages!\nP2: Oh, totally! I’m so up for it. Maybe this weekend?\nP1: Perfect. Let’s do Saturday evening. I’ll get some snacks—how about samosas and chai?\nP2: Yum, that’s a must! I’ll bring some mithai too, since Diwali is around the corner.\nP1: Nice! Let’s watch something light, maybe a Bollywood rom-com?\nP2: Yes, I’m in the mood for something like that. How about we watch at my place?\nP1: Sure, works for me. I’ll come by around 6. Should I call anyone else?\nP2: Maybe just Aarti? Keep it small and cozy.\nP1: Agreed. I’ll text her. Can’t wait for this!\nP2: Same here! It’s gonna be so much fun. See you soon!",0,Recreation,AIFraud
"P1: Hey, dost, you free for a quick chat? Got some updates on the Bangalore project.\nP2: Hey, yaar! Yeah, I’ve got a few minutes before my next call. What’s up?\nP1: So, I just had a meeting with the team. We’re ahead of schedule by a week!\nP2: Seriously? That’s amazing, bhai. How’d you manage that?\nP1: Extra hours and a lot of coffee, man. The client is super happy, though.\nP2: That’s what matters. You in Mumbai next week? We should celebrate.\nP1: Yeah, I’ll be there on Tuesday. How about some vada pav at Gateway?\nP2: Arre, you read my mind! Let’s do it. I’ll call up a few others too.\nP1: Cool, make it a small gang. By the way, how’s your workload these days?\nP2: Hectic, yaar. Got a deadline before Diwali, so no rest for me.\nP1: Hang in there, bhai. After Diwali, we’ll plan a proper chill session.\nP2: Can’t wait for that. Alright, I gotta jump on this call. Tuesday, Gateway, done!\nP1: Done, man. Talk soon. Bye!\nP2: Bye, take care!",0,Work Update,AIFraud
"P1: Hey, Di! How are you doing today?\nP2: Hey, Sis! I’m good, just sipping some chai and relaxing. What about you?\nP1: I’m alright, just finished some work. Are you coming to Mumbai for Diwali this year?\nP2: Oh, I wish! But I’m stuck with office work. Maybe I’ll join for the last day of celebrations.\nP1: Arre, that’s sad! We’re planning a big puja at home. Ma is already making lists for mithai.\nP2: Haha, Ma and her lists! I’ll miss her special kaju katli. Send me some pics, na?\nP1: Of course, I’ll spam you with all the rangoli and food pics. You better save some leave for next time!\nP2: Deal! By the way, did you buy new clothes for the festival?\nP1: Yes, got a pretty lehenga from Bandra. What about you?\nP2: I’m thinking of ordering a saree online. Let’s video call and show each other, okay?\nP1: Sure, let’s do it tomorrow evening. I can’t wait to see yours!\nP2: Perfect! Alright, I’ve got to run now, some errands to do. Talk soon?\nP1: Yeah, take care, Di. Love you!\nP2: Love you too, Sis. Bye!",0,Family,AIFraud
"P1: Hey, man, you coming to the Diwali party at my place next week?\nP2: Arre, wouldn’t miss it for the world! Your mom’s laddoos are legendary!\nP1: Haha, true that! She’s already started prepping. Got any special requests?\nP2: Just tell her to make extra kaju katli. I’m obsessed, yaar.\nP1: Noted. By the way, we’re planning some card games too. You in for Teen Patti?\nP2: Bro, I’m the Teen Patti king! Prepare to lose all your fake money!\nP1: Haha, we’ll see about that. Also, thinking of setting up a small dance floor for Bollywood tracks.\nP2: Awesome! I’m brushing up on my “Naatu Naatu” moves already. You better keep up!\nP1: Challenge accepted! Oh, and bring your brother along if he’s free.\nP2: Will do. He’s been asking about your epic parties. What time should we reach?\nP1: Around 7 PM. We’ll start with some snacks and rangoli.\nP2: Perfect. I’ll be there, man. Can’t wait for the festivities!\nP1: Same here. See you soon, bro!",0,Entertainment,AIFraud
"P1: Hi, Maa, how’s everything in Delhi?\nP2: Beta, all good here! Just came back from the market, got some stuff for Diwali.\nP1: Nice! Are you making your special kaju katli this time?\nP2: Of course, how can Diwali happen without it? What about you, are you coming?\nP1: I’m trying, Maa. Work is crazy, but I’ll book tickets soon.\nP2: Don’t delay, beta. We all miss you here.\nP1: I miss you too! How’s Papa’s health now?\nP2: He’s better, but still grumbling about the cold weather.\nP1: Haha, tell him to have more adrak wali chai!\nP2: I’ll tell him that. When will you call next?\nP1: Maybe tomorrow evening. I’ll update you on the tickets.\nP2: Alright, take care, beta. Eat properly!\nP1: Yes, Maa. Love you, bye!\nP2: Love you too. Bye!",0,Family,AIFraud
"P1: Hello, Neha! Kya kar rahi ho?\nP2: Hi, Vikram! Bas ghar pe hoon, thodi si cleaning kar rahi hoon. Aur tum?\nP1: Arre, same yaar. Weekend pe thoda relax kar raha hoon. Mumbai ki traffic se thak gaya hoon.\nP2: Haha, woh toh hai. Kabhi kabhi lagta hai chhoti jagah shift kar loon. Koi plan bana rahe ho?\nP1: Haan, soch raha hoon next month ek short trip pe jaoon. Goa ya koi hill station. Chalegi?\nP2: Goa sounds amazing! Kab tak plan kar rahe ho?\nP1: November first week. Office se chhutti mil jayegi hopefully. Chal, saath mein chai peete hain aur plan banate hain.\nP2: Theek hai, par chai tum banane wale ho, okay? Main bas enjoy karungi.\nP1: Haha, no problem. Aur haan, koi acha restaurant pata hai wahan pe?\nP2: Haan, ek-doh try kiye hain. Details bhej doongi. Aur tum koi seafood pasand karte ho na?\nP1: Haan, bilkul! Chal, phir final karte hain jaldi. Baat karta hoon.\nP2: Okay, cool. Bye Vikram!\nP1: Bye Neha!",0,Social,AIFraud
