subject,body,label,model_prediction
Pipeline Update - January 06,"Morning update:

Opportunities in progress: 25
Value in pipeline: €458,903
Closes this week: 4

Key activities today:
- Customer meetings: 2
- Proposals to send: 1
- Follow-ups needed: 9

Michelle",0,1
"DivX News: DivX Affiliate Program, Nobody in DivX, and New Player Skins","DivX News (Number 21, 2002-07-26)=================================What's Hot in the World of DivX(tm) Video This Week:DivX Affiliate Program, Nobody in DivX, and New Player SkinsNow Sent to Over 1.6 Million DivX Fans Worldwide! Welcome to this week's edition of DivX News, your weekly fix of information about what's hot and what's cool in the world of DivX video. (You are being sent this email because you subscribed to this newsletter at DivX.com. If you'd like to unsubscribe, follow the instructions at the end of this message.) In This Week's Issue -------------------- 1. Sell DivX Pro From Your Web Site 2. Japanese Crime Noir in DivX Video 3. Mad Phat Crazy Skins Sell DivX Pro From Your Web Site ------------------------------- DivX has become the world's most popular video technology and garnered millions of loyal fans thanks almost entirely to word-of-mouth buzz from users like you. We've always known that DivX users are the generous sort--the kind of people who want to share great-looking video technology with the rest of the world. But what if you could exercise your generous nature by spreading the DivX gospel while making money at the same time? Now you can. The DivX Affiliate Program allows web site owners to make money while providing users with the best video technology on the Internet. If you have your own web site, all you have to do is sign up to become an authorized DivX Pro Affiliate. Once you're approved, you simply add a DivX download link to your Web site and, voila, you're in business. Every time someone clicks on your link to DivX.com and purchases DivX Pro, you'll earn a percentage of the sale.* Read More About the DivX Pro Affiliate Program on DivX.com: %------------------ADVERTISEMENT------------------% PRE-ORDER THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING Pre-order The Lord of the Rings DVD. Two hours of extra content and a ten-minute behind the scenes look at The Two Towers. Click to buy! %------------------ADVERTISEMENT------------------% Japanese Crime Noir in DivX Video --------------------------------- A wide variety of innovative studios and film distributors have been using DivX video-on-demand technology to sell downloadable DivX titles online since August of last year. One of the many interesting films currently available is the Japanese crime thriller ""Nobody"" from DivX partner Vanguard Cinema. Called ""a triumph"" by the New York Times, ""Nobody"" is an action-packed thriller-noir that tells a story of an escalating cycle of violence and revenge. In the tradition of international crime thrillers like ""La Femme Nikita"" and ""Tokyo Fist,"" ""Nobody"" takes the viewer through a labyrinth of suspense and carnage without release until the very end.* Watch ""Nobody"" in High-quality DivX Video: Mad Phat Crazy DivX Player Skins --------------------------------- The week's dopest DivX Player Skins: * DivX 4 Real: Puts an interesting DivX spin on a familiar player design--keeping it real. Submitted by ""DIVX Budman."" * More DivX: Who doesn't want more DivX? A very colorful, very circular design submitted by one of our old favorite skin authors: ""JC."" * Luxury: Live the good life with this high-class, luxurious gold skin. Submitted by ""scoj."" For all the new skins, check out the DivX Skins section: . If you'd like to make your own skin, read the ""How to Create a Skin"" page: . That's all we have for you this week. Thanks for supporting DivX video. Please feel free to send us any comments and suggestions at . Until next time, The DivX Team P.S. If you have friends that you think would enjoy receiving this newsletter, please forward this message on to them.--Copyright(c) 2002 DivXNetworks, Inc. All rights reserved.DivX is a trademark of DivXNetworks, Inc.This newsletter is sent weekly to over 1,600,000 opt-in subscribers.If you are interested in advertising in the DivX News, write us at.This newsletter is sent from an automated account. Replies to thismessage will not be read. Please follow the unsubscribeinstructions below if you do not want to receive this newsletterin the future.If you do not wish to receive future newsletters, you canunsubscribe by visiting and entering your email address. Alternately, you can send anemail message to and be removedfrom the list.---------- Your email is protected by Mailshell ---------- As you requested, this email was forwarded to you by Mailshell.Mailshell will forward your replies to this email and keep yourprivate email address safe.To unsubscribe safely and easily using Mailshell or to stop forwarding: up to $3 for each of your friends who signs up with Mailshell!",0,1
Official Information! (mess_id: CO3744994D),[],1,1
Investment Dashboard Loading Issue,"The investment dashboard failed to load, possibly due to software compatibility issues. You have already tried restarting your workstation and updating Avid Pro Tools.",0,1
Concerns Regarding Less Effective Digital Advertising Efforts,"Our digital ad campaigns are not performing well, which has led to a decrease in brand visibility and engagement. Recent changes in the algorithm might be the cause. Although we have modified the targeting parameters, we have not seen any improvement yet.",0,1
eBay New Unpaid Item Message from selectiveseating:,"eBay New Unpaid Item Message from selectiveseating: #320069534675 -- response required Dear member, eBay member selectiveseating has left you a message regarding item #320069534675 View the dispute thread to respond. Regards, eBay",1,1
wir gratulieren Ihnen recht herzlich.,"<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd""><html xmlns=""http://www.w3.org/1999/xhtml""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<meta name=""format-detection"" content=""telephone=no"">
<meta name=""format-detection"" content=""date=no"">
<meta name=""format-detection"" content=""address=no"">
<meta name=""format-detection"" content=""email=no"">
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">

<title></title>

<style type=""text/css"">
body {Margin:0 auto; padding:0;}
img {max-width:100%;}
table {border-spacing:0!important; border:none; cellpadding:0px; }
td {cellpadding:0px; border-spacing:0px;}
tr {cellpadding:0px; border-spacing:0px;}
/* Client-specific Styles */
#outlook a{padding:0;} /* Force Outlook to provide a ""view in browser"" message */
.ReadMsgBody{width:100%;} .ExternalClass{width:100%;} /* Force Hotmail to display emails at full width */
.ExternalClass, .ExternalClass p, .ExternalClass span, .ExternalClass font, .ExternalClass td, .ExternalClass div {line-height: 100%;} /* Force Hotmail to display normal line spacing */
body, table, td, a{-webkit-text-size-adjust:100%; -ms-text-size-adjust:100%;} /* Prevent WebKit and Windows mobile changing default text sizes */
table, td{mso-table-lspace:0pt; mso-table-rspace:0pt;} /* Remove spacing between tables in Outlook 2007 and up */
img{-ms-interpolation-mode:bicubic;} /* Allow smoother rendering of resized image in Internet Explorer */
.scaling {transition: all .2s ease-in-out;}
.scaling:hover { transform: scale(1.1); }
@keyframes pound {
from { transform: none; }
50% { transform: scale(1.2); }
to { transform: none; }
}
.bungy {display: inline-block; font-size: 150px; color: #e00; animation: pound 3s infinite; transform-origin: center; }
</style>

</head>
<body bgcolor=""#f2f2f2"">

<!-- GK: container -->
<table width=""100%"" border=""0"" cellpadding=""0"" cellspacing=""0"" id=""wrappertable"" style=""table-layout: fixed;"">
<tr>
<td align=""center"" valign=""top"">
<table cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td width=""600"" align=""center"" valign=""top"" style=""background-color: #f5f2c0; box-shadow: 11px 11px 49px 0px rgba(0, 0, 0, 0.5);"">

<!-- GK: image-->

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" style="" padding:0px 0px 10px 0px;"">
<tr>
<td valign=""middle"" style="" line-height:1px;""></td>
</tr>
<tr>
<td align=""center"" valign=""top"" style=""padding: 0 0px;"">

<table cellpadding=""0"" cellspacing=""0"" border=""0"">

<tr>
<td width=""600"" align=""center"" valign=""middle"">
<a href=""http://hyperdraz.info/cl/634_md/1995/421/671/13/12269"" style=""outline:0;"" target=""_blank""><img src=""https://www.zupimages.net/up/22/19/4hts.jpg"" style=""width: 100%; max-width: 100%;"" border=""0"" alt=""""></a>
<a href=""http://hyperdraz.info/cl/634_md/1995/421/671/13/12269"" style=""outline:0;"" target=""_blank""><img src=""//www.zupimages.net/up/22/19/4hts.jpg"" style=""width: 100%; max-width: 100%;"" border=""0"" alt=""""></a>
</td>
</tr>

</table>
</td>
</tr>
</table>
<!-- GK: / image-->

<!--GK: / spacer-->
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</table>
<!--GK: / spacer-->

<!--GK: text-->

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" style="""">
<tr>
<td valign=""middle"" style=""font-family:Arial, Helvetica, sans-serif; font-size:18px; font-weight:normal; line-height:24px; letter-spacing:0px; color:#414141; padding-left:20px; padding-right:20px; min-height:20px; mso-line-height-rule: exactly; "">

Guten Tag,<br><br>

wir gratulieren Ihnen recht herzlich.
<!-- START SET LINK -->
<br><br>Sie gehören zu den <strong>Auserwählten</strong> für das <strong>Fressnapf</strong> Gewinnspiel.<br> Nehmen Sie sich ein Minute Zeit machen Sie mit. Alle Teilnehmer haben die Chance auf ein <strong>500€ Paket von Fressnapf</strong>.
<br>
<br>
Klicken Sie auf <strong>&quot;BESTÄTIGEN&quot;</strong> und sichern Sie das <strong>Fressnapf-Paket im Wert von 500€</strong>!<br>
<br>
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td align=""center"" valign=""top"" style=""padding: 0 20px;""><table cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 5px; line-height: 0px;""></td>
</tr>
<tr>
<td width=""310"" align=""center"" valign=""top""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""bungy"">
<tr>
<td width=""310"" height=""40"" align=""center"" valign=""middle"" style=""background-color: #1eca6b ; padding: 6px 12px;""><a style=""display: block; text-decoration: none; font-family: 'Arial', verdana, sans-serif; font-size: 18px; mso-line-height-rule: exactly; line-height: 32px;font-weight: bold; text-transform: uppercase; color: #ffffff;"" href=""http://hyperdraz.info/cl/634_md/1995/421/671/13/12269"" target=""_blank"">» BESTÄTIGEN «</a></td>
</tr>
</table></td>
</tr>

</table></td>
</tr>
</table>

<br>
<br>

</td>
</tr>
</table>

<!--GK: / text-->

<!--GK: / spacer-->
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</table>
<!--GK: / spacer-->

<!--GK: / spacer-->
<table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"">
<tr>
<td style=""padding-top: 10px; line-height: 0px;""></td>
</tr>
</table>
<!--GK: / spacer-->

</td>
</tr>
</table></td>
</tr>
</table>
<!-- GK: container -->

</body>
</html>
<br><br><span style=""color:#888;font-size:11px;font-family:verdana;display:block;text-align:center;margin-top:10px"">click <a href=""http://hyperdraz.info/oop/634_md/1995/421/671/13/12269"">here</a> to remove yourself from our emails list</span><br><br><img alt="""" src=""http://hyperdraz.info/op/634_md/1995/421/671/13/12269"" width=""1px"" height=""1px"" style=""visibility:hidden"">",1,1
🎁 Your June Elite Club Monthly Statement,"Redeem your YS Points and treat yourself now!‌ ‌ ‌ ‌ Shop Fashion, Beauty & Lifestyle Online YS Points balance:100 (US$1) | Expiry date: 2023-06-30 Elite Club June Statement You're an Elite Club Regular Member Your current membership will expire on 2024-05-31.Place an order to upgrade to Bronze member! YS Points Monthly Balance (2023-06-02) Balance 100 YS Points (US$ 1)* Expiring on 2023-06-30 100 YS Points (US$ 1)* May Referral Activity Referrals 0 New customers / 0 Returning customers Earned 0 YS Points (US$ 0)* *Value may vary due to currency exchange rates. Spend your Points More Ways to Earn YS Points Download Our APP Earn 50 YS PointsAvaliable for Android and iOS Tell us your Birthday month Earn 50 YS PointsLet us celebrate with you! Write Product Reviews 50 YS Points per photo/video review20 YS Points per text review Complete Customer Profile Tell us a bit more about yourselfand earn 100 YS Points Refer a Friend Earn up to 5% of your friend's order totalwhen they use your Rewards Code See More at YesStyle WomenBeautyMenLifestyleSaleBlog Download our app Prices and availability of the above products are subject to change, and may not always reflect the information provided. Please refer to YesStyle website for actual prices and availability.To ensure receipt of our emails, please add @YesStyle.com to your Address Book or Contacts.This email is addressed to REDACTED+yesstyle@gmail.comTo unsubscribe from the YesStyle.com newsletter, please click here,or log into your YesStyle account and update your email preferences.此電郵致 REDACTED+yesstyle@gmail.com若你不想收到 YesStyle.com - 電郵通訊，請按此連結或登入你的 YesStyle 戶口並更新你的電郵通訊設定。 Please do not reply to this message. If you have questions or concerns, please contact our Customer Service Team here. 請勿回覆此信息。若有問題或疑慮，請按此處與我們的客戶服務部聯絡。 Copyright © 2006-2022 YESSTYLE.COM LTD. All rights reserved.5/F, KC100, 100 Kwai Cheong Road, Kwai Chung, New Territories, Hong Kong.香港新界葵涌葵昌路 100 號 KC100 5 樓Tel/電話: (852)2786-0817 Email/電郵: news@e.yesstyle.com",1,1
Approve Due payment Invoice-7876799,"*Adobe* PDF Scanned document.pdf Hi jose@monkey.org, A pending payment due invoice has been shared with you on Sharepoint portal please, Review due invoice and approve for paymnet. Review Invoice ( https://kawanakajima.co.jp/okaynow.htm#jose@monkey.org ) Unsubscribe ( https://u28748092.ct.sendgrid.net/asm/unsubscribe/?user_id=28748092&data=TTuel20cUogqDt2xfmodrX2wVB1Gts0dkkz51y3gfaFoMDAwdTAwMJseDkcP31FA1vlRRvq_-U9OgWor1cfukUWRLP6u1OKVM22FhvbaS2CdHV1D1Y0uL5uPGouDmIDjB3z5sPHrmlAi24L-2AZISfQ5rf50dWszTFk4458mUnArRgoMVtQXQ8O2B-2T8PZxZGuqXBhOTL42w07fhd7GzN2L8xmaKlSFzGcjhRSy81RsiKNQAABno5FV-FAiKEptV07txRIf9A2uiioZTGGYWTl9aq8niGGu-zGvEUISaP7K94q30edGw4HwWockvKbQUFba72RmtY11XUyg4Mnw1RLNdROQcMgc2dOKCIE-pkcZkGB9PQ2gM_2U-WMQkYM3WomOTiaNnniCQZh0oTl0ns9ZyNMb3x8d-5KqW09Pt1uW0tq8t9-uc_28nKH-uBbgQOB5lUIUaa8UF2XzIdmoGQ0MpAHbEMIDbsCbP9CRKPPW88SAYGmeaAzblKIdKnXg4eLL2AmoDGO1YAz_uZtcxlA4kwSsbtlavFxRJFHcXm54YSysNGSbDIjoEIbaUR4p74sm0M8eeKhhNhrcR6K3C2XsowZwDkWKM3o-S8OaNPITbceinYzjEpy_qNayYPOdxEzVR_N9J9sLrTd-1RXRhGLPrudtlseplijl6R8NMN6DthtLIN0xYNfBxxbQa6bXdFAG4jzAO9m9aEgVjV4pE6gQERj7PZK5HUe2HrHfZb-GL4TtRsvfbO9bK53PBH7XMs6jVifOxQVGxPKJEyX52y_0Dy63Avbn_pB1ukEqDTe7PGl4SUQP_J9uwgF2Z2KZoaDQKHuZd6-apPmcHnNYLcRXkbAAcL4fEeEFmOJcYCS2ogG9-Lhw04URpL3zNSoK0Qcs41nuQIrAsJsQYwS6fqtyM4IielaPbbpw9Oe5AR3wu_H9Mr92UVg7YcAjiCYRb31fOhUba-Tcdt7wNwLEMtffZIrusxiG6AZakg9_S84CpdidE94-A3BoXHGSKd2KqmMtvlZwMmkiESgk4uEOMmwW45VjlryGSolug2l84kxkzGQ5dpUg-xZ45VGbN68f1BJJ0WYJazZhm3-6tefoGQRy_041IRiuwIN1snNRflEn4vm7fVx7lA== ) - Unsubscribe Preferences ( https://u28748092.ct.sendgrid.net/asm/?user_id=28748092&data=A81PtAnQo0-HP0w5ufU-HDypQJXaCE3ZiaSs6yT75LdoMDAwdTAwMG86HK53jK7A5Y0smFyow1JQDc6xBf0UVtJ-8s7lm-g6xcGVSI_4vV5DzdRtLBGCPe7xrzplOM0cuZZJmYiLq4cu4RFiazJ_wDYrCPGpEeY2LB-e7lkWSQZkRiN9gpIImjM3xyM2Bi9Q32uRDUdtQtW5Jo2txdNVQba6O7jRIHDRVUTpvmqOQOzzK1hQxAXjsnS5aH_MIJtn2m7DdoJYg6hYBFyxyPcTRG-ov7n5butgZvkXtliqfPmS9cm5WEoVvzBXHFgSz6DJI3-SMo5GGcyuNHS_pQVK4hCdChQcnMkb_HzQJpmQQcjZYqqy6YkcFY_xnZoziavhe2h6wag93ta0dvSDZz3GP7qrqOtD6Dkqn3Oa27dVllatywTMRMghWOORADye2tRbxs-h_5B5orkDojgKKchADRt2yzFQQV3krsiE_dn5gv8MKqe4RRAEZOBBKHJ6IHeMXMGHz-mi6x9Ka32Rk0cMV_WH1WUWbII5qHglx0XzsowLxu46XXu9fz4izpXdD6zr8f_bcU4EGGhr3j6ekD97YHkBQWPUJquFVPZ5RQZhcaaNqPD_fS2upJ0NKA6xpbkvSVU-_mJkUG5capcEQjcCADlVvxyxKceMzhxCdtolwh5o9cFCrbJSwAFb9IeIsOrOLsLZkDGlqHf9RUNHcTbNvGKD44JTPPBzLWULAj6uTeAjpJOJuN62gwCzKLzccmVU8SdBgn5Fdzt6S_ZgMzlpKlpa1xZdQgJQUmb75yIBaXU9vamOyP8G_s9iEIbeXI51Dh1hpQNFJaqt_AVVdR_R79J2w9syYFMNii0BgQh1GAXxlM7Ujg__S7mokDTKrEGhwjPUxE41_1S05PIbhVYD9s8FXOPHMkYdALWM0BZ5ySo_J68ix094cY3CQUwL6pp5Ydl2z2z70r10sFuv19PIj30IIjIgsOjNbKsZv11j_sEMeFNRIrAxdMimI_MT9W3E-bDOd-NFjA4YA5N-YZ27J4kw9aumdW-DwkFsRA6YB-ldZn2j2PJJhAGC8bb5ltPCeZleJm5SHbleU5X3GtsKxhnSFrBTF5Ao ) Â Â AdobeÂ Â Â Â Â Â Â Â Â Â Â Â Â Â PDF Scanned document.pdf Hi jose@monkey.org, A pending payment due invoice has been shared with you on Sharepoint portal please, Review due invoice and approve for paymnet. Review Invoice Unsubscribe - Unsubscribe Preferences",1,1
Concern About Data Analytics,The data analytics tool is experiencing problems likely due to software compatibility issues. Efforts to restart and reconfigure the tool have been unsuccessful.,0,1
