row_principle,col_principle,feature_type,mean_group_a,mean_group_b,delta_group_a_minus_group_b,welch_t,welch_p,permutation_p,fdr_p,hedges_g,bootstrap_ci_low,bootstrap_ci_high,significant_fdr_0_05
Authority,Authority,diagonal,0.9398526508334174,0.9462612578370265,-0.006408607003609124,-4.516444527374824,6.322640551285135e-06,0.004975124378109453,0.006965174129353233,-0.05624217609670972,-0.009374537302900854,-0.0035054494090651887,True
Authority,Liking,cooccurrence,0.8294052585951459,0.8419077891462803,-0.012502530551134372,-4.078337786430654,4.55284755892033e-05,0.004975124378109453,0.006965174129353233,-0.05118145523271196,-0.018466859320838976,-0.006100168653674814,True
Authority,Reciprocity,cooccurrence,0.4160221395861072,0.5193669418560912,-0.10334480226998405,-27.576478286538432,2.9791478618661988e-164,0.004975124378109453,0.006965174129353233,-0.3533753143214665,-0.11053230493410962,-0.09692798103592769,True
Authority,Social Proof,cooccurrence,0.3425064436105765,0.3670960662030856,-0.024589622592509075,-7.795867397186166,6.767677194719857e-15,0.004975124378109453,0.006965174129353233,-0.10504019290029933,-0.0312471099210697,-0.018963958888042615,True
Authority,Scarcity,cooccurrence,0.0700271036834922,0.06469379808606247,0.005333305597429727,5.617287282464654,1.9785431530563958e-08,0.004975124378109453,0.006965174129353233,0.08253004313329418,0.0037000620559607135,0.007224765521443674,True
Authority,Commitment,cooccurrence,0.023674565571256086,0.02338693951385001,0.0002876260574060756,0.9049296663954939,0.36551810587855926,0.2885572139303483,0.3189316575019639,0.013013733628557332,-0.00022564941444834586,0.0008735753560472071,False
Liking,Liking,diagonal,0.8771067862512208,0.8772553448296235,-0.00014855857840267994,-0.05096268732095761,0.9593557630730594,0.9601990049751243,0.9601990049751243,-0.0006478670733356531,-0.005379953426609238,0.005536815759446246,False
Liking,Reciprocity,cooccurrence,0.3921174861861505,0.49809065237276695,-0.10597316618661645,-27.69890194013161,9.45476908383819e-166,0.004975124378109453,0.006965174129353233,-0.3516347868075262,-0.11302090570325946,-0.09903323822030252,True
Liking,Social Proof,cooccurrence,0.3164099416584905,0.3502055127325141,-0.03379557107402359,-10.717019634280701,1.0238189198931307e-26,0.004975124378109453,0.006965174129353233,-0.14228945269331408,-0.04015724968413985,-0.027348449732565613,True
Liking,Scarcity,cooccurrence,0.06491589333834052,0.06170312846659523,0.003212764871745294,3.4128090516881597,0.00064484605828107,0.004975124378109453,0.006965174129353233,0.04980342456114361,0.0015574745940907637,0.005112051119338539,True
Liking,Commitment,cooccurrence,0.022267234176427324,0.02236112219864857,-9.388802222124598e-05,-0.2957781922030326,0.7674037768501301,0.7313432835820896,0.7679104477611941,-0.0042328292224577254,-0.000655132771108806,0.0004876644018621908,False
Reciprocity,Reciprocity,diagonal,0.42819338707920324,0.5297891237333305,-0.1015957366541273,-27.783836624763655,1.2035833560542832e-166,0.004975124378109453,0.006965174129353233,-0.3563472519285369,-0.1085460546724942,-0.09530420600634015,True
Reciprocity,Social Proof,cooccurrence,0.209847057346617,0.2537968312669176,-0.04394977392030061,-13.47052403721763,3.770479493375529e-41,0.004975124378109453,0.006965174129353233,-0.1803030528939787,-0.05038806703573586,-0.03803982611257292,True
Reciprocity,Scarcity,cooccurrence,0.047855478437787494,0.04626301751410822,0.0015924609236792758,1.7221233179808786,0.08506995364560883,0.0845771144278607,0.11100746268656718,0.025131917836821414,-3.910223935198307e-05,0.0033446309244913454,False
Reciprocity,Commitment,cooccurrence,0.01616887069855157,0.016592684980539448,-0.000423814281987879,-1.3490456529044188,0.17734387188015782,0.15920398009950248,0.19666374012291482,-0.019370743262476776,-0.0009784729089721178,0.0001312391378881799,False
Social Proof,Social Proof,diagonal,0.3508596452772636,0.37377594891851973,-0.02291630364125613,-7.45135522410709,9.686967965887042e-14,0.004975124378109453,0.006965174129353233,-0.10054286004410846,-0.029267047498120473,-0.01726405519376035,True
Social Proof,Scarcity,cooccurrence,0.04327077896905656,0.03473489110511399,0.00853588786394257,9.729164479468519,2.7129936502436444e-22,0.004975124378109453,0.006965174129353233,0.1463725655245959,0.006930919982182203,0.01028113035723737,True
Social Proof,Commitment,cooccurrence,0.014221368856362267,0.012348823299077629,0.0018725455572846383,6.426614250257441,1.3501066735440673e-10,0.004975124378109453,0.006965174129353233,0.09526034867542481,0.0013343259777062152,0.0024471006833028264,True
Scarcity,Scarcity,diagonal,0.07111767621745274,0.06567213641481459,0.00544553980263815,5.7880248528464895,7.2825479360604636e-09,0.004975124378109453,0.006965174129353233,0.08517003102929167,0.0038489099462667245,0.0073647871962979105,True
Scarcity,Commitment,cooccurrence,0.0038341476389653563,0.0024891528213169764,0.00134499481764838,12.229060773013215,3.5807745675494687e-34,0.004975124378109453,0.006965174129353233,0.1932434163302662,0.001157509870199766,0.0015600394350979313,True
Commitment,Commitment,diagonal,0.024152344808802628,0.023819995970370485,0.00033234883843214283,1.0567892797156169,0.29062593384181656,0.22885572139303484,0.2669983416252073,0.015218855859210527,-0.0001726840014082351,0.0009235860365388267,False
