Subject,Body,label,data_source
Remote Intern or Assistant,"Attention Undergraduate and Graduate Students,

The Department of History  is excited to offer a remote internship job opportunity through the Office of Job Placement and Student Services. The job is open to all interested and qualified students.

Position: Remote Intern or Assistant

Department: All Departments

Qualifications:
- Currently enrolled as an undergraduate or graduate student at any Faculty.
- Must have access to a computer and a stable internet connection.

Responsibilities:
- Assist faculty and staff in various departments with research tasks.
- Conduct experiments and literature reviews under their guidance.
- Maintain regular communication through online platforms and actively participate in virtual meetings.

Compensation:
Selected Students will receive a weekly pay of $800.00 disbursed at the end of each week. Upon selection, applicants will receive a notification email and must attend an online orientation session before starting work.

How to Apply:
Please text Head Of Department In history through  WhatsApp at +1 (415) 533-0075  with the following details: your full name, year of study, department, and alternate email address. applications will be considered on a first-come, first-served basis.

We welcome applications from students of all fields, nationalities, and citizenship statuses.

We hope to receive your applications soon.",1,cornell-phish-bowl
VERIFY YOUR DETAILS,"The email below is not a valid from Cornell IT. Do not reply to email, nor click on links contained within.",1,cornell-phish-bowl
Part-Time Administrative Assistant,"The email below is not a valid offer for employment. Do not reply to email, nor click links contained within.",1,cornell-phish-bowl
"Document shared with you: ""Winter Faculty Reward & Recognition.docx""","Document shared with you: ""Winter Faculty Reward & Recognition.docx""",1,cornell-phish-bowl
Work-Study Opportunity – Personal Assistant Position Available,"Dear Student,",1,cornell-phish-bowl
WORK WITH US,"You are invited to participate in a remote work and study offer for current staff or students.
It is an opportunity to earn up to $450 weekly. The job is exciting, flexible and will not affect
your current job or studies. Don't; miss this opportunity, For more details
To apply Copy and paste this link below

To apply, copy and paste the below URL into a web browser

( malicious form link  )
OR
Email your resume to: <malicious email>(using a secure email)",1,cornell-phish-bowl
Email Verification,"Your account has been filed under the list of accounts set for deactivation due to retirement/graduation/or transfer of the concerned account holder. But the record shows you are still active in service and so advised to verify this request otherwise give us reason to deactivate your university account, please Verify your email immediately to avoid deactivation.

Please use the following link : <malicious Google Forms link>

If the above URL does not work, try copying and pasting it into your browser. Google Chrome Browser/Opera browser/Mozilla Firefox/Safari Web browser/ Edge browser etc.

( <malicious Google Forms link> )

PWORD ON FORM CONTENT MEANS==== PASSWORD.

Please note the one-time submission and entry only..",1,cornell-phish-bowl
Important Notice,"We’ve noticed that your university’s Microsoft 365 account is set for deactivation due to a recent change in your status (like graduation, withdrawal, or transfer). However, recent activity suggests you might still be connected to the university. To ensure you don’t lose access to your account and services, please confirm your current affiliation.

Your access to the following services is at risk:

- University Email (Outlook)

- Microsoft Teams

- OneDrive (cloud storage)

- Office apps (Word, Excel, PowerPoint, etc.)

[Verify My Account Now]

Please Note : VOLS    means Type Your PASSWORD

Please Note :  VOLS       means Type Your PASSWORD

Note:  When prompted for ""Email Keyword"", enter the password you currently use to log into your university email account .( PROTECTED BY ADMIN )

Action required: Please verify your status within 48 hours to avoid permanent deactivation of your Microsoft 365 account. If you do not respond in time, all associated data will be deleted and cannot be recovered.",1,cornell-phish-bowl
Cornell University Is Calling: Internships & Research Assistant Roles (Fully Remote!),"Cornell University Remote Internship & Research Opportunities Dear Students,

On behalf of Professor <name> from the Department of Sociology, I am pleased to share an exceptional Position for students seeking meaningful research experience through Cornell University.

About Cornell's Global International Research Cornell’s Global stands at the forefront of social and economic education, dedicated to addressing the pressing challenges of our time through innovative, purpose-driven research. We are a dynamic community united by a singular mission: to enhance the world for future generations.

Is this an ambitious vision? Certainly. For over a century, Cornell University’s College of Arts & Sciences has been a catalyst for change, and we are committed to continuing this legacy into the future. Join us as we shape a better tomorrow.

Make an Impact from Anywhere Cornell’s Global, in collaboration with the Office of Research, Undergraduate and Graduate Research, and Student Career Services, is offering remote internship and research assistant positions designed for curious, motivated students.

These roles are ideal for individuals who aspire to:

- Gain hands-on experience in academic research
- Collaborate virtually with leading mentors and peers
- Tackle innovative challenges and enhance challenge-solving skills
Participants will receive dedicated mentorship and contribute to Cornell’s commitment to excellence, diversity, equity, and inclusion.

Why Choose Cornell? At Cornell, research extends beyond discovery—it is a catalyst for change. Our interdisciplinary teams pursue bold ideas that address real-world challenges, ranging from local community issues to global concerns.

Innovation That Matters We transform research into reality. Through partnerships with entrepreneurs, public agencies, and industry leaders, Cornell converts ideas into technologies and solutions that shape the future.

Position Overview Position Title: Research Assistant / Remote Intern College: College of Arts & Sciences Departments: Unrestricted participation across all departments and Colleges within Cornell’s Global Eligibility - Open to undergraduate and graduate students from any institution
- Students from outside Cornell are strongly encouraged to apply
- Must have access to a computer and stable internet
- All academic backgrounds and citizenship statuses welcome
- Flexible, remote role with minimal weekly hours; runs year-round with no fixed end date
Key Responsibilities - Assist faculty and staff with research tasks across departments
- Conduct literature reviews and support ongoing experiments
- Join virtual meetings and maintain consistent communication
- Support data collection, analysis, and manuscript preparation
- Contribute to experiment design, recruitment, and database management
Compensation Interns/Research Assistants will receive a weekly stipend of up to $765.50 , paid at the end of each week. Selected candidates will be contacted via email and must complete an online orientation prior to commencement.

How to Apply Email Professor <name>’s (Alternative Application Processing Contact Information) at:
📧 <personal email>

Subject line: Cornell Internship & Research Assistant Application Inquiry

Include the following in your message:

- Full Title (Firstname and Lastname)
- Nationality
- School Title (Institution)
- Year of Study
- Department
- Alternate Email Address
- Telephone Number
- Current Residential Address
Applications are reviewed on a rolling basis. Due to exclusive availability, we strongly encourage early submission.

We are excited to receive your application and hope you will take this position to contribute to groundbreaking research at Cornell.

Warm regards,
The Remote Internship & Research Team
Cornell Research & Innovation
222 Day Hall, Ithaca, NY 14853
Cornell’s Global, Cornell University",1,cornell-phish-bowl
Employment Research,"Cornell University, Department of History Needs the
services of students as research assistants. They are
to work remotely and get paid $600 Weekly...

The research position is open to students from any
department in the institution, and tasks can be carried
out remotely. It gives students opportunities to study
and earn money without affecting academic
performances or time. Tasks can be carried out
remotely with less work time a week.

If you're interested kindly Text Professor <name>
on Instagram at (prof.<name>2024) message Only.
acknowledging your full name, email address, year of
study, a and department to receive the job description
and further application requirements

Best regards.
Department of History
Cornell University",1,cornell-phish-bowl
"Security Alert: Login Expires Today, 10/28/2025 Avoid Login Interruption #Ref:","Security Alert: Login Expires Today, 10/28/2025 Avoid Login Interruption #Ref:",1,cornell-phish-bowl
YOUR ACCOUNT IS SET FOR DEACTIVATION,"Your Cornell University account has been flagged for deactivation due to retirement, graduation, or transfer. However, our records indicate that you are still active in service. To avoid deactivation, you are required to verify your account immediately.",1,cornell-phish-bowl
"Cornell University, Act Now","Your account has been filed under the list of accounts set for deactivation due to retirement/graduation/or transfer of the concerned account holder. But the record shows you are still active in service and so advised to verify this request otherwise give us reason to deactivate your university account, please Verify your email immediately to avoid deactivation.

Please use the following link : Verify

If the above URL does not work, try copying and pasting it into your browser. Google Chrome Browser/Opera browser/Mozilla Firefox/Safari Web browser/ Edge browser etc.

(  [Google Forms link]  )

<NIU> Please Note : NIU means Type your PASSWORD
Important: In the form, please enter your email password where indicated.
Cornell University Help Desk
Please note the one-time submission and entry only..",1,cornell-phish-bowl
ADVANCE WARNING,"Your Cornell University account has been flagged for deactivation due to retirement, graduation, or transfer. However, our records indicate that you are still active in service. To avoid deactivation, you are required to verify your account immediately.",1,cornell-phish-bowl
REMOTE OFFICE / ADMINISTRATIVE ASSISTANT,"This phish originates from a valid Cornell address. The link within directs to a fake ""job verification"" form. Do not follow the link nor contact the sender. If you entered your credentials into the linked page, change your NetID password immediately at https://netid.cornell.edu.",1,cornell-phish-bowl
"Cornell University, Act Now","This phish originates from a valid Cornell address. The link within directs to a fake ""email verification"" form. Do not follow the link nor contact the sender. If you entered your credentials into the linked page, change your NetID password immediately at https://netid.cornell.edu .",1,cornell-phish-bowl
We need an administrative assistant on a part-time basis,"This phish originates from a valid Cornell address. The link within directs to a fake ""email verification"" form. Do not follow the link nor contact the sender. If you entered your credentials into the linked page, change your NetID password immediately at https://netid.cornell.edu .",1,cornell-phish-bowl
TERMINATE OFFICE 365 ACCOUNT,"This phish originates from a valid Cornell address. The link within directs to a fake ""email verification"" form. Do not follow the link nor contact the sender. If you entered your credentials into the linked page, change your NetID password immediately at https://netid.cornell.edu.",1,cornell-phish-bowl
