stage,hw_precision,hw_recall,hw_accuracy,hw_fpr,hw_fnr,hw_f0_5,hw_f1,hw_f2,hw_mcc,llm_precision,llm_recall,llm_accuracy,llm_fpr,llm_fnr,llm_f0_5,llm_f1,llm_f2,llm_mcc
S1,0.24818142918271288,0.861812778603269,0.30789375233819677,0.8785,0.13818722139673106,0.2893922762199381,0.3853820598006645,0.5766553986876118,-0.021847792529429613,0.3031423290203327,0.974739970282318,0.4294799850355406,0.754,0.02526002971768202,0.35159181048343874,0.462460345435319,0.6754530477759473,0.24401470016398324
S2,0.4887478361223312,0.8495486459378134,0.4807017543859649,0.8877755511022044,0.15045135406218657,0.5341152730483036,0.6205128205128205,0.7402552001398357,-0.056589005530713284,0.993933265925177,0.9859578736208626,0.9899749373433584,0.006012024048096192,0.014042126379137413,0.9923278820916617,0.9899295065458208,0.9875426964034559,0.979981306610489
S4,0.674441986728333,0.8568508898918504,0.6209635341179198,0.8821285869960044,0.14314911010814954,0.704434394208824,0.7547820868652014,0.8128807096346803,-0.0344744480751413,0.8090704517915873,0.7960487098697097,0.7332598991245869,0.400653832183073,0.2039512901302904,0.8064321330595766,0.8025067605271065,0.7986194170112428,0.39194544975236345
S5,0.5007025761124122,0.8705211726384365,0.5012214983713354,0.8680781758957655,0.12947882736156352,0.5471949221949222,0.6357418971156705,0.7584787852987087,0.0036238465452341105,0.4985708452429563,0.994299674267101,0.4971498371335505,1.0,0.005700325732899023,0.5537917271407837,0.6641283655153658,0.8293710093737264,-0.053463160345114114
S6-MPG,0.4942897930049964,0.865625,0.49,0.885625,0.134375,0.5406777014366021,0.6292594275329396,0.7525537926537709,-0.030302215107192807,0.5857260049220673,0.8925,0.630625,0.63125,0.1075,0.6289640591966174,0.7072808320950966,0.8078750848608283,0.30667752202097265
S6-UTA,0.4936617167692865,0.851875,0.4890625,0.87375,0.148125,0.5389908256880734,0.6250859894519606,0.7439144198231634,-0.0317908822815809,0.5330531142529614,0.871875,0.5540625,0.76375,0.128125,0.5779748094133245,0.6616077780412616,0.7735388710214041,0.1400586591857382
S6-fuzzer,0.6627011896431071,0.860909090909091,0.6151515151515151,0.8763636363636363,0.1390909090909091,0.6946889671361502,0.7489126136812969,0.8123177217361468,-0.021390536252743963,0.6376963350785341,0.8304545454545454,0.5724242424242424,0.9436363636363636,0.16954545454545455,0.6687408491947291,0.7214215202369201,0.7831118731247321,-0.15771660054585715
S8-deepseek,0.4888973966309341,0.8513333333333334,0.4806666666666667,0.89,0.14866666666666667,0.53439906260462,0.6211089494163424,0.7414073385973061,-0.057613670494640834,0.49513162639740355,0.9153333333333333,0.491,0.9333333333333333,0.08466666666666667,0.5451874205844981,0.642639831500117,0.7825145332269463,-0.03403109322875969
S8-llama,0.4959969500571864,0.8673333333333333,0.493,0.8813333333333333,0.13266666666666665,0.5424449633088726,0.6310938636914868,0.754377826742433,-0.021117838989881826,0.5070866141732283,0.8586666666666667,0.512,0.8346666666666667,0.14133333333333334,0.5523156089193825,0.6376237623762376,0.7540983606557377,0.03330479207171378
S8-ministral,0.4923954372623574,0.8633333333333333,0.4866666666666667,0.89,0.13666666666666666,0.5386855241264559,0.6271186440677966,0.7502896871378911,-0.04054910333301971,0.5048758865248227,0.7593333333333333,0.5073333333333333,0.7446666666666667,0.24066666666666667,0.5411440516913721,0.6064962726304579,0.6898013565891473,0.016981133074688123
