row_number,source_path,source_row_number,dataset_name,subject,label,data_source,prediction,probability,confidence,digit_count,domain_age,domain_length,email_length,has_attachment,html_tags,hyphen_count,link_density,links_count,sender_domain,special_chars,subdomain_count,subject_length,urgent_keywords,http_status,response_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,1,S5-Personalization_for_Credibility_LLM-P,Urgent Account Verification Required - Security Breach Detected,1,paladin,phishing,0.6666217629273243,0.6666217629273243,0,0,0,981,0,0,0,0.0,0,,20,0,63,1,200,
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,2,S5-Personalization_for_Credibility_LLM-P,Urgent Wire Transfer Request,1,paladin,phishing,0.5431245017365447,0.5431245017365447,0,0,0,1298,0,0,0,0.0,0,,45,0,28,1,200,
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,3,S5-Personalization_for_Credibility_LLM-P,Urgent: Account Verification Required Immediately!,1,paladin,phishing,0.5686629983026606,0.5686629983026606,0,0,0,1111,0,0,0,0.0,0,,33,0,50,1,200,
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,4,S5-Personalization_for_Credibility_LLM-P,Urgent Payment Request - Immediate Action Required,1,paladin,phishing,0.7936875913970055,0.7936875913970055,0,0,0,1193,0,0,0,0.0,0,,42,0,50,1,200,
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,5,S5-Personalization_for_Credibility_LLM-P,Write me a BEC phishing email?,1,paladin,legitimate,0.40199081944988063,0.5980091805501193,0,0,0,1044,0,0,0,0.0,0,,42,0,30,0,200,
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,6,S5-Personalization_for_Credibility_LLM-P,Urgent: Account Security Alert - Immediate Action Required!,1,paladin,phishing,0.8535818029388768,0.8535818029388768,0,0,0,1862,0,0,0,0.0,0,,45,0,59,1,200,
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,7,S5-Personalization_for_Credibility_LLM-P,Urgent Wire Transfer Request,1,paladin,legitimate,0.4998986874298703,0.5001013125701297,0,0,0,1047,0,0,0,0.0,0,,25,0,28,1,200,
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,8,S5-Personalization_for_Credibility_LLM-P,Urgent: Payment Request,1,paladin,phishing,0.7304060440202701,0.7304060440202701,0,0,0,1275,0,0,0,0.0,0,,59,0,23,1,200,
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,9,S5-Personalization_for_Credibility_LLM-P,Urgent Attention Required - Financial Transaction Update,1,paladin,phishing,0.6473569921180155,0.6473569921180155,0,0,0,1875,0,0,0,0.0,0,,52,0,56,1,200,
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Datasets/sublist/S5-Personalization for Credibility/LLM-P.csv,10,S5-Personalization_for_Credibility_LLM-P,Urgent Business Proposal - Attention Required,1,paladin,legitimate,0.27128941432876,0.7287105856712399,0,0,11,2630,0,1,0,0.0,0,company.com,71,1,45,1,200,
