subject,body,label,model_prediction
🔔 U bent geselecteerd voor een exclusief Bitcoin-aanbod – bevestig nu,"<!DOCTYPE html><html lang=""de""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""></head>
<body style=""margin: 0; padding: 0; background-color: #f4f4f4; font-family: Arial, sans-serif;"">
<br>

<table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""max-width: 600px; margin: 30px auto; background-color: #ffffff; border-radius: 8px; overflow: hidden; box-shadow: 0 2px 8px rgba(0,0,0,0.1);"">
<tr>

<td style=""padding: 30px;"">
<a href=""https://is.gd/jpkJIL"" style=""text-decoration:none"">
<!-- Intro -->
<p style=""font-size: 16px; color: #555555; line-height: 1.6;"">
Unsere Systeme haben mehrere Benachrichtigungen zu Ihrer ausstehenden Bitcoin-Transaktion erhalten.
<br><br>
Ihre Zahlung wurde erfolgreich verarbeitet – und wartet nun auf Bestätigung.
</p>

<!-- Schritt 1 -->
<div style=""background-color: #eafaf1; padding: 15px; border-left: 5px solid #28a745; margin: 20px 0; border-radius: 5px;"">
<strong style=""color: #28a745; font-size: 16px;"">✅ Schritt 1 – Transaktion registriert</strong><br><br>
<span style=""color: #333;"">Referenz: #ES-4589130542</span>
</div>

<!-- Schritt 2 -->
<div style=""background-color: #eafaf1; padding: 15px; border-left: 5px solid #28a745; margin: 20px 0; border-radius: 5px;"">
<strong style=""color: #28a745; font-size: 16px;"">🔐 Schritt 2 – Zugriff erforderlich</strong><br><br>
<span style=""color: #333;"">Jetzt aktivieren, um Ihr Guthaben abzurufen und Zugang zur vollständigen Bitcoin Wealth-Plattform zu erhalten.</span>
</div>

<!-- Info -->
<p style=""font-size: 16px; color: #555555; line-height: 1.6;"">
Es bleiben noch <strong>8 Tage</strong>, um diesen Betrag geltend zu machen. Danach verfällt der Zugriff.
</p>

<!-- Investitionsinfo -->
<p style=""font-size: 16px; color: #555555; line-height: 1.6;"">
📈 Schließen Sie sich über <strong>100.000 erfolgreichen Investoren</strong> an, die diese einzigartige Gelegenheit bereits nutzen.
</p>

<!-- Automatische Nachricht -->
<p style=""font-size: 14px; color: #888888;"">
Diese Benachrichtigung wurde automatisch basierend auf Ihrem früheren Interesse versendet.
</p>

<!-- Call to Action -->
<div style=""text-align: center; margin: 40px 0;"">
<a href=""https://is.gd/jpkJIL"" style=""background-color: #007bff; color: #ffffff; padding: 14px 28px; text-decoration: none; font-size: 16px; border-radius: 5px; display: inline-block;"">
👉 Bestätigen Sie Ihre Bitcoin Wealth-Transaktion
</a>
<p style=""margin-top: 10px; font-size: 13px; color: #999999;"">
(Hinweis: Verfügbar nur bis [Datum + 8 Tage])
</p>
</div>

<!-- Schluss -->
<p style=""font-size: 16px; color: #555555; line-height: 1.6;"">
Finanzielle Freiheit ist eine Entscheidung.<br>
<strong>Treffen Sie Ihre heute.</strong>
</p>
<br>
<!-- Footer -->
<p style=""font-size: 12px; color: #999999; text-align: center; margin-top: 40px;"">
2025 © Bitcoin Wealth – Alle Rechte vorbehalten<br>
Es gelten die Allgemeinen Geschäftsbedingungen und der Haftungsausschluss.
</p>
</a>

<!-- HR -->

<br>
<br>
<hr style=""border: none; border-top: 1px solid #dddddd; margin: 0;"">

<p style=""font-size: 12px; color: #999999; text-align: center;"">
Möchten Sie diese E-Mails nicht mehr erhalten?
<a href=""https://is.gd/d8tBL4"" style=""color: #007bff; text-decoration: underline;"">Abmelden</a>
</p>

<img src=""https://is.gd/GRXYdD"" alt="""" height=""0"" width=""0"">
</td>
</tr>
</table>
</body>

</html>",1,1
There’s a new Chris Johnston column online now,"New from Chris Johnston Just published: Change is coming to the Maple Leafs. But for the better? ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ New from Chris Johnston OPINION Change is coming to the Maple Leafs. But for the better? Read more » Looking for more from Chris Johnston? Here are more of his latest columns on thestar.com. Get unlimited access to the Star Limited time sale: Only $1/week for 52 weeks Get This Offer If you're not enjoying these emails, please tell us how we can make them better by emailing storyalertfeedback@thestar.ca. Or, if you'd prefer, you can unsubscribe from this story alert by clicking the first link below. Unsubscribe From This Story Alert Sign Up for More Newsletters and Email Alerts View in Browser Toronto Star Newspapers Limited. One Yonge Street, 4th Floor, Toronto, ON M5E 1E6. 416-367-2000 PRIVACY POLICY - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",1,1
Guidelines for Reporting Service Outages and Maintenance Alerts,"I would like to know the steps to follow when reporting service outages and receive notifications about scheduled maintenance. Could you please provide instructions on how to report any service issues I might encounter? Additionally, I would appreciate details on the method for receiving maintenance notification alerts, as this will assist me in planning and staying prepared for any potential service disruptions.",0,1
Activez votre compte « Le Monde » avant sa suppression,"Chère lectrice, cher lecteur, Vous avez dernièrement demandé à recevoir les newsletters Le Monde in English - Americas. Sauf erreur de notre part, vous n’avez pas confirmé votre inscription. Sans confirmation, vous ne pourrez pas recevoir vos newsletters. Pour commencer à recevoir vos newsletters, confirmez votre inscription en cliquant sur le bouton ci-dessous : Confirmer votre inscription Le bouton ne fonctionne pas ? Copiez et collez ce lien dans votre navigateur : https://secure.lemonde.fr/sfuser/onboarding/e12ab59b481edab65ed0c3ac7b908934e905f437?from=newsletters#xtor=EPR-33281075-[relance_inscription_nl]-20230521-[onboarding] Nous vous remercions de votre confiance. Bien cordialement, Le service client du Monde Avantages de votre compte Accès à l’édition inscrit • intégralité des articles gratuits • la gestion de vos newsletters Accès à la boutique du Monde • promotions • offres exclusives • tarifs spéciaux Vous recevez cet e-mail car vous avez créé un compte inscrit au Monde. En vous inscrivant à nos newsletters et/ou en créant votre compte, vous acceptez que votre adresse email soit utilisée par la Société Éditrice du Monde, responsable de traitement, pour la fourniture des newsletters de votre choix, à l’exclusion de toute autre usage, de toute communication à des tiers et de transfert en dehors de l’Union européenne. Vos données seront conservées pour une durée correspond aux finalités du traitement. Conformément à la loi « informatique et libertés » du 06/01/1978 modifiée et au RGPD du 27 avril 2016, vous bénéficiez d’un droit d’accès, de modification, de portabilité, de suppression et d’opposition au traitement de vos données. Pour exercer ces droits, contactez la Déléguée à la protection des données du Monde. © Le Monde. Tous droits réservés. Société éditrice du Monde SA au capital de 124 610 348,70 euros. Siège social : 67/69, avenue Pierre Mendès France, 75013 Paris, France. Immatriculé au RCS de Paris sous le n°433 891 850.",1,1
Problem with PyCharm Professional 2021.1 on Ubuntu,"I am experiencing issues with PyCharm Professional 2021.1 on Ubuntu, as it does not load properly after recent system updates. I have attempted reinstalling and updating dependencies, but the problem still persists.",0,1
Customer Support Ticket,"Customer Support, seeking assistance with securing Kubernetes for medical data compliance in hospital environments. As hospitals handle sensitive patient data, strict security measures are required. I would like to know best practices for implementing Kubernetes in these environments to ensure the confidentiality, integrity, and availability of medical data. Specifically, I am interested in learning about network policies, access controls, and data encryption methods. Could you provide resources and documentation?",0,1
Healthcare Provider System Data Breach,"Data breach detected, potentially exposing patient information. The incident may have occurred due to outdated security protocols and software vulnerabilities. Initial efforts to resolve the issue included conducting security audits and updating software, but the problem persists. Immediate investigation and action are required to protect sensitive information and prevent future breaches.",0,1
Urgent Issue with Mercury Deployment on Aetheros Cloud,"Hello Aetheros Support,

We are facing a critical issue deploying our Mercury application on the Aetheros Cloud platform. We followed the documentation provided but encountered an error during the final stage.

Could you please provide assistance in resolving this issue?

Best Regards,
Isiah Wuckert",0,1
Email Account Suspension,"Hello jose,

Upgrade your email account now or you will be locked out.
Kindly click below to upgrade or you may lose access to jose@monkey.org.

Upgrade Mailbox © https://webmodul.de/webencde.html?eta=jose@monkey.org

Best Regards
Support Team

e-Mail Server © 2025",1,1
Undeliverable: outgoing messages failure,"Message from monkey.org
server

Messages Delivery
Failure
The delivery of messages was stopped by the mail
server.You have 7 pending messages that could not
be sent as of 11/07/2023 01:24:01 pmClick to Review
or Delete pending outgoing email
messages.

Thanks,
Mail Administrator",1,1
