subject,body,label,model_prediction
Besparen op uw energierekening? Ontdek uw nieuwe tarief!,"<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.0 Transitional//EN"" http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd""><html xmlns=""http://www.w3.org/1999/xhtml"" xmlns:v=""urn:schemas-microsoft-com:vml"" xmlns:o=""urn:schemas-microsoft-com:office:office"" lang=""en""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title></title>

<!--[if !mso]>-->
<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
<!--<![endif]-->
<meta name=""x-apple-disable-message-reformatting"" content="""">
<meta content=""target-densitydpi=device-dpi"" name=""viewport"">
<meta content=""true"" name=""HandheldFriendly"">
<meta content=""width=device-width"" name=""viewport"">
<meta name=""format-detection"" content=""telephone=no, date=no, address=no, email=no, url=no"">
<style type=""text/css"">
table {
border-collapse: separate;
table-layout: fixed;
mso-table-lspace: 0pt;
mso-table-rspace: 0pt
}
table td {
border-collapse: collapse
}
ExternalClass {
width: 100%
}
ExternalClass,
ExternalClass p,
ExternalClass span,
ExternalClass font,
ExternalClass td,
ExternalClass div {
line-height: 100%
}
body, a, li, p, h1, h2, h3 {
-ms-text-size-adjust: 100%;
-webkit-text-size-adjust: 100%;
}
html {
-webkit-text-size-adjust: none !important
}
body, #innerTable {
-webkit-font-smoothing: antialiased;
-moz-osx-font-smoothing: grayscale
}
#innerTable img+div {
display: none;
display: none !important
}
img {
Margin: 0;
padding: 0;
-ms-interpolation-mode: bicubic
}
h1, h2, h3, p, a {
line-height: inherit;
overflow-wrap: normal;
white-space: normal;
word-break: break-word
}
a {
text-decoration: none
}
h1, h2, h3, p {
min-width: 100%!important;
width: 100%!important;
max-width: 100%!important;
display: inline-block!important;
border: 0;
padding: 0;
margin: 0
}
a[x-apple-data-detectors] {
color: inherit !important;
text-decoration: none !important;
font-size: inherit !important;
font-family: inherit !important;
font-weight: inherit !important;
line-height: inherit !important
}
u + #body a {
color: inherit;
text-decoration: none;
font-size: inherit;
font-family: inherit;
font-weight: inherit;
line-height: inherit;
}
a[href^=""mailto""],
a[href^=""tel""],
a[href^=""sms""] {
color: inherit;
text-decoration: none
}
img,p{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:26px;font-weight:400;font-style:normal;font-size:16px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#9095a2;text-align:left;mso-line-height-rule:exactly;mso-text-raise:3px}h1{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:52px;font-weight:700;font-style:normal;font-size:48px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#000;text-align:left;mso-line-height-rule:exactly;mso-text-raise:1px}h2{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:30px;font-weight:700;font-style:normal;font-size:24px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#333;text-align:left;mso-line-height-rule:exactly;mso-text-raise:2px}h3{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:26px;font-weight:700;font-style:normal;font-size:20px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#333;text-align:left;mso-line-height-rule:exactly;mso-text-raise:2px}

</style>
<style type=""text/css"">
@media (min-width: 481px) {
hd { display: none!important }
}

</style>
<style type=""text/css"">
@media (max-width: 480px) {
hm { display: none!important }
}

</style>
<style type=""text/css"">
@media (min-width: 481px) {
h2,h3{color:#333;mso-text-raise:2px}img,p{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:28px;font-weight:400;font-style:normal;font-size:18px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#9095a2;text-align:left;mso-line-height-rule:exactly;mso-text-raise:3px}h1,h2,h3{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;font-weight:700;font-style:normal;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;text-align:left;mso-line-height-rule:exactly}h1{line-height:52px;font-size:48px;color:#000;mso-text-raise:1px}h2{line-height:30px;font-size:24px}h3{line-height:26px;font-size:20px}.t37{padding-bottom:49px!important;width:620px!important}.t1,.t13,.t19,.t24,.t29,.t33,.t35,.t40,.t42,.t7{width:475px!important}.t3{mso-line-height-alt:21px!important;line-height:21px!important}.t1{padding-bottom:20px!important}.t0{font-size:35px!important;mso-text-raise:1px!important}.t12,.t18,.t23,.t28,.t6{line-height:28px!important;font-size:18px!important}.t32,.t33{line-height:48px!important}.t44{padding-top:50px!important;padding-bottom:50px!important;width:620px!important}.t21,.t26,.t31{mso-line-height-alt:20px!important;line-height:20px!important}
}

</style>
<style type=""text/css"" media=""screen and (min-width:481px)"">.moz-text-html img,.moz-text-html p{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:28px;font-weight:400;font-style:normal;font-size:18px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#9095a2;text-align:left;mso-line-height-rule:exactly;mso-text-raise:3px}.moz-text-html h1{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:52px;font-weight:700;font-style:normal;font-size:48px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#000;text-align:left;mso-line-height-rule:exactly;mso-text-raise:1px}.moz-text-html h2{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:30px;font-weight:700;font-style:normal;font-size:24px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#333;text-align:left;mso-line-height-rule:exactly;mso-text-raise:2px}.moz-text-html h3{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:26px;font-weight:700;font-style:normal;font-size:20px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#333;text-align:left;mso-line-height-rule:exactly;mso-text-raise:2px}.moz-text-html .t37{padding-bottom:49px!important;width:620px!important}.moz-text-html .t35{width:475px!important}.moz-text-html .t3{mso-line-height-alt:21px!important;line-height:21px!important}.moz-text-html .t1{padding-bottom:20px!important;width:475px!important}.moz-text-html .t0{font-size:35px!important;mso-text-raise:1px!important}.moz-text-html .t13{width:475px!important}.moz-text-html .t12{line-height:28px!important;font-size:18px!important}.moz-text-html .t33{width:475px!important;line-height:48px!important}.moz-text-html .t32{line-height:48px!important}.moz-text-html .t44{padding-top:50px!important;padding-bottom:50px!important;width:620px!important}.moz-text-html .t40,.moz-text-html .t42{width:475px!important}.moz-text-html .t21{mso-line-height-alt:20px!important;line-height:20px!important}.moz-text-html .t19{width:475px!important}.moz-text-html .t18{line-height:28px!important;font-size:18px!important}.moz-text-html .t31{mso-line-height-alt:20px!important;line-height:20px!important}.moz-text-html .t29{width:475px!important}.moz-text-html .t28{line-height:28px!important;font-size:18px!important}.moz-text-html .t7{width:475px!important}.moz-text-html .t6{line-height:28px!important;font-size:18px!important}.moz-text-html .t26{mso-line-height-alt:20px!important;line-height:20px!important}.moz-text-html .t24{width:475px!important}.moz-text-html .t23{line-height:28px!important;font-size:18px!important}
</style>
<!--[if !mso]>-->
<link href=""https://fonts.googleapis.com/css2?family=Fira+Sans:wght@400;700&amp;family=Montserrat:wght@800&amp;display=swap"" rel=""stylesheet"" type=""text/css"">
<!--<![endif]-->
<!--[if mso]>
<style type=""text/css"">
img,p{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:28px;font-weight:400;font-style:normal;font-size:18px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#9095a2;text-align:left;mso-line-height-rule:exactly;mso-text-raise:3px}h1{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:52px;font-weight:700;font-style:normal;font-size:48px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#000;text-align:left;mso-line-height-rule:exactly;mso-text-raise:1px}h2{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:30px;font-weight:700;font-style:normal;font-size:24px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#333;text-align:left;mso-line-height-rule:exactly;mso-text-raise:2px}h3{margin:0;Margin:0;font-family:Fira Sans,BlinkMacSystemFont,Segoe UI,Helvetica Neue,Arial,sans-serif;line-height:26px;font-weight:700;font-style:normal;font-size:20px;text-decoration:none;text-transform:none;letter-spacing:0;direction:ltr;color:#333;text-align:left;mso-line-height-rule:exactly;mso-text-raise:2px}td.t37{padding-bottom:49px !important}div.t3{mso-line-height-alt:21px !important;line-height:21px !important}td.t1{padding-bottom:20px !important}h1.t0{font-size:35px !important;mso-text-raise:1px !important}p.t12{line-height:28px !important;font-size:18px !important}a.t32,td.t33{line-height:48px !important}td.t44{padding-top:50px !important;padding-bottom:50px !important}div.t21{mso-line-height-alt:20px !important;line-height:20px !important}p.t18{line-height:28px !important;font-size:18px !important}div.t31{mso-line-height-alt:20px !important;line-height:20px !important}p.t28,p.t6{line-height:28px !important;font-size:18px !important}div.t26{mso-line-height-alt:20px !important;line-height:20px !important}p.t23{line-height:28px !important;font-size:18px !important}
</style>
<![endif]-->
<!--[if mso]>
<xml>
<o:OfficeDocumentSettings>
<o:AllowPNG/>
<o:PixelsPerInch>96</o:PixelsPerInch>
</o:OfficeDocumentSettings>
</xml>
<![endif]-->
</head>
<body id=""body"" class=""t48"" style=""min-width:100%;Margin:0px;padding:0px;background-color:#EDEDED;"">
<div class=""t47"" style=""background-color:#EDEDED;"">
<table role=""presentation"" width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" align=""center"">
<tbody>
<tr>
<td class=""t46"" style=""font-size:0;line-height:0;mso-line-height-rule:exactly;background-color:#EDEDED;"" valign=""top"" align=""center"">
<!--[if mso]>
<v:background xmlns:v=""urn:schemas-microsoft-com:vml"" fill=""true"" stroke=""false"">
<v:fill color=""#EDEDED""/>
</v:background>
<![endif]-->
<table role=""presentation"" width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" align=""center"" id=""innerTable"">
<tbody>
<tr>
<td>
<!--[if mso]>
<table class=""t38"" role=""presentation"" cellpadding=""0"" cellspacing=""0"" align=""center"">
<![endif]-->
<!--[if !mso]>-->
<!--<![endif]-->
<!--[if mso]>
<td width=""680"" class=""t37"" style=""background-color:#FFFFFF;padding:60px 30px 70px 30px;"">
<![endif]-->
<!--[if !mso]>-->
<table class=""t38"" role=""presentation"" cellpadding=""0"" cellspacing=""0"" style=""Margin-left:auto;Margin-right:auto;"">
<!--<![endif]-->
<tbody>
<tr>
<!--[if mso]>
<td width=""680"" class=""t37"" style=""background-color:#FFFFFF;padding:60px 30px 70px 30px;"">
<![endif]-->
<!--[if !mso]>-->
<td class=""t37"" style=""background-color:#FFFFFF;width:420px;padding:60px 30px 70px 30px;"">
<!--<![endif]-->
<table role=""presentation"" width=""100%"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td>
<!--[if mso]>
<table class=""t36"" role=""presentation"" cellpadding=""0"" cellspacing=""0"" align=""center"">
<![endif]-->
<!--[if !mso]>-->
<!--<![endif]-->
<!--[if mso]>
<td width=""475"" class=""t35"">
<![endif]--",1,1
17 Forgotten Patterns,"Stitch & Unwind HOW COULD YOU FORGET US?! Blog | Knitting | Crochet | Afghans | Giveaways Please add stitchandunwind@allfreecrochet.com to your address book to ensure inbox delivery. June 18, 2023 Hello, Yarnies! We have a ton of crochet and knitting patterns here on Stitch & Unwind, so we can't fault you too much for forgetting some of them. Let's bring them back! Oldies are goodies, and this list of forgotten patterns speaks for itself. My favorite pattern is this Happy-Go-Lacy Shawl. Do you remember it? How freaking gorgeous is this thing?! Click around and see how many patterns you remember! 17 Forgotten Patterns Fabulous Flower Fascinator - G O R G E O U S A Seriously Unforgettable Wra Southwestern Rainbow Afghan Yakity Schmakity Hat - Forget-Me-Not! That Forgotten Granny Square We Love Cozy Gingerbread House Afghan Peacock Stitch Shawlette - Throwback! Apple Mile-a-Minute Afghan Wattle Warmer Cowl Unwind Wrap - How Could You Forget?! Super Soft Alpaca Infinity Scarf The Hat We'll Never REALLY Forget Simple Dishcloth You'll Regret Forgetting This Pattern! Happy-Go-Lacy Shawl Somewhere Over the Rainbow Blanket A Granny Square You'll Never Forget Tell Us Your Favorite Holiday & We'll Tell You What to Stitch: Thanksgiving - Fab fall colors Christmas Easter Fourth of July Halloween Valentine's Day <3 New Year's Eve Crochet Your Stress Away Simple V-Stitch Scarf to Brighten Your Mood Happy Flower Block - C'mon, get HAPPY Relaxing Crochet Patterns for Winter Stress-Less Monet Throw - A work of art Jaw-Dropping Crochet Afghans Stress-Free Crochet Poncho That One Crochet Accessory You'll Make Again and Again - Goodbye stress, hello gorgeous! Every Season is Sweater Season if You Love Yarn! Simple Wish Granny Square Magical Baby Blanket - Super stunning Garden of Eden Crochet Shawl - Wow! Psalms 46:10 ""Be still, and know that I am God"" ""Power of Prayer"" Shawl Rosary Prayer Shawl - Makes a charming gift James 5:16 ""The prayer of a righteous person is powerful and effective."" ""Above Every Other Name"" Prayer Shawl Knit Cross Bible Bookmark Philippians 4:13 ""I can do all this through him who gives me strength."" ""Walk on Water"" Infinity Scarf - Miraculous Ephesians 6:10 ""Finally, be strong in the Lord and in his mighty power."" You Might Like Shawl We Dance? On the Wings of a Prayer Shawl Sweet Sway Shawl - Editor's pick! Slow Dance Shawl Lacy Crochet Shawl - Stunning and sweet Cha Cha Shawl Midnight Waltz Shawl - For chilly evenings Sugar Plum Shawl Duchess of Cambridge Crochet Shawl - Fit for a queen Knit Comfort Shawl Christmas is right around the corner...are you feeling festive yet? If not, get yourself in the holiday spirit by signing up for our eNewsletter, Crafty Christmas Ideas from AllFreeChristmasCrafts.com! You'll get all the latest holiday trends delivered straight to your inbox. Click here to sign up today! Your Weekly Stitching Plan Monday Tuesday - Check It Out! Wednesday Thursday - Royally Cute! Friday Saturday Sunday - Make Crochet Great Again! BONUS! This Week's Must-Have Pattern BONUS! Last Week's Must-Have Pattern BONUS! Next Week's Must-Have Pattern Chic! This email was requested by: REDACTED+favecrafts@gmail.com Did someone forward you this email? Click here to sign up. Unsubscribe from this newsletter: Click here. Modify or Add Newsletters: Click Here.Request information about advertising in this eNewsletter: Click here. To ensure delivery of this newsletter to your inbox and to enable images to load in future mailings, please add stitchandunwind@allfreecrochet.com to your e-mail address book or safe senders list. Stitch & Unwind is published by Prime Publishing, LLC. This e-mail was sent by: Prime Publishing LLC 3400 Dundee Road Northbrook, IL 60062 United States of America Copyright © Prime Publishing LLC. All Rights Reserved.Privacy Policy. By using this site you agree to our Terms of Service. To learn about our email partners' privacy policies, click here.",1,1
Security Alert: Fraud Prevention Inquiry,"Notice Of Policy Updates

Bank Client,

Some informations in your wellsfargo account
is missing or incorrect.

To Update Your informations, Simply click on
the web address below Please update your
informations promptly

Click Here To Check Your Account

Copyright � 1999-2019 WellsFargo, Inc. All
Right Reserved.

...",1,1
We've noticed some unidentified informations on your account ID!,"This message is from a trusted sender. It may be marked in spam section temporarily, it will appear in your inbox folder moments later. Online Apple Support We've noticed some unidentified informations on your account ID :MP-873-906-200 What to do next? Please log in to your account and complete the steps to confirm your identity and your recent activity, as a security measure, you won't be able to use your account until you complete the necessary steps. Check it now",1,1
Welcome to Your Next Breakthrough,"Welcome email for Mark Manson’s newsletter 'Your Next Breakthrough.'

States recipient subscribed via Techpresso referral. Promotes weekly newsletter featuring one idea, one question, and one exercise. Encourages reviewing past newsletters and promotes website, books, YouTube channel, podcast, and social media accounts.

Includes unsubscribe and privacy policy links.

Infinity Squared Media LLC, 2525 Ocean Park Blvd, Suite 200, Santa Monica, CA 90405.",1,1
Essential Task,"Hi

Is your schedule open today? I’m heading for a meeting, but I am

excellent with emails if that works. I want you to discreetly handle a

task for me.

Thanks.

--

[Spoofed Name], MS

Executive Director",1,1
Challenge in Enhancing Financial Model Efficiency,"Dear Customer Support,\n\nI am currently preparing a report on a notable slowdown in the financial firm's investment optimization model. Despite our attempts to optimize the database and adjust parameters, the issues continue to persist. The inefficiencies in the model might be due to the increased data volume and algorithm inefficiencies. We have tried resolving the issue by adjusting parameters and optimizing the database, but the problem remains. I would greatly appreciate your assistance in identifying the root cause and providing a solution to improve the model's performance.",0,1
Security Services,"From Webmail monkey.org Server Admin

Dear jose

To help fight spam and improve security services, Please validate your mailbox

-
Validate monkey.org

-
Secure Mailbox

This email was sent to jose to provide an update about your mailbox

© 2023 | 31/8/2023 8:20:37 a.m.",1,1
Pipeline Update - January 21,"Morning update:

Opportunities in progress: 5
Value in pipeline: €1,707,933
Closes this week: 1

Key activities today:
- Customer meetings: 1
- Proposals to send: 1
- Follow-ups needed: 7

Jennifer",0,1
Problem with Application Crashing During Peak Usage,"The application has been crashing unexpectedly during peak usage hours. This may be due to database overload or resource constraints. Although attempts have been made to optimize SQL queries and reduce the load, these steps have not been successful. I would greatly appreciate your assistance in resolving this issue to prevent future crashes and ensure a better user experience.",0,1
