subject,body,label,model_prediction,model_score,model_reason,raw_response
Query for Email Support,Emails are not being sent through digital campaigns due to a potential problem with the API integration on SendGrid.,0,0,1,"Legitimate email with a clear subject and body, no suspicious links or attachments.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email with a clear subject and body, no suspicious links or attachments."",
  ""score"": 1
}"
Why we're changing our publishing schedule [ANCHORDESK],"ZDNet AnchorDesk Newsletter

TUESDAY, JULY 16, 2002

Why we're changing our publishing schedule

Dear Reader,As of Monday, July 15, AnchorDesk is being published on Mondays, Wednesdays, and Fridays, instead of five days a week. The AnchorDesk Weekly newsletter will continued to be published every FridayWhy are we doing this? There are several reasons, but the most important one is giving me a chance do more than just sit behind a desk typing all day in order to meet deadlines. I've been writing five columns a week for 18 months now, and I'd be lying to you if I didn't admit to being more than a little tired. Also, I've been on such a short leash that I haven't been able to travel or meet as many people as I'd like. This new schedule means I'll have more time to get out, learn more, see more products, and discover new issues or trends. So it should result in a more interesting and useful AnchorDesk for you.Having additional time also means I will be able to work on several projects I've been assigned, including one that could bear fruit at the Consumer Electronics Show next January. More about that soon, once all the details are nailed down.For now, the new schedule is being called a ""test,"" which means it could turn out to be temporary--or maybe not. We'll run it through the end of the summer and see how it works. I appreciate your continued support of AnchorDesk. While the column will be less frequent, I will still be on CNET Radio every weekday at noon PT (or on-demand streaming anytime) and hope you will join me there.Sincerely,David Coursey
Executive Editor
AnchorDesk

Sign up for more free newsletters from ZDNet

The e-mail address for your subscription is qqqqqqqqqq-zdnet@example.com Unsubscribe | Manage My Subscriptions | FAQ | Advertise
Home |eBusiness | Security | Networking | Applications | Platforms | Hardware | Careers
Copyright 2002 CNET Networks, Inc. All rights reserved. ZDNet is a registered service mark of CNET Networks, Inc.",0,0,1,"Legitimate newsletter from ZDNet, no suspicious links or attachments.","{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate newsletter from ZDNet, no suspicious links or attachments."",
  ""score"": 1
}"
Password for jose@monkey.org expires soon from Today 8/9/2023 12:18:50 a.m.,"96

Mailcenter@ monkey.org

Sender

Action Required

Password About to Expire

Dear jose,

The password for jose@monkey.org expires Today.

Kindly use the below button to continue using the same password.

KEEP SAME PASSWORD

CHANGE PASSWORD

Further messages might be prevented if any of the above actions are not performed.
This email was sent from monkey.org Mail Center.

Copyright © 2023 monkey.org Inc. All rights reserved.",1,1,8,"Suspicious email with missing sender authenticity, generic greeting, and missing personalization.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious email with missing sender authenticity, generic greeting, and missing personalization."",
  ""score"": 8
}"
Inquiry About Evernote Integration for Investment Tools,"Hello customer support, I would like to know about the data analytics tools that can be integrated with Evernote for enhancing my investment strategies. Could you supply me with a list of these compatible tools along with their features? Your assistance in providing relevant information will be highly appreciated as it aids in making well-informed investment choices. Thank you for your support.",0,0,1,Legitimate inquiry with proper language and formatting,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate inquiry with proper language and formatting"",
  ""score"": 1
}"
Case Ref #:208538163,"Having trouble viewing this email? Try *THIS LINK*.

( https://api.whatsapp.com/send?phone=447407199292 )

Unsubscribe ( https://u40257556.ct.sendgrid.net/wf/unsubscribe?upn=9Mlwg0jII8A1wPFGTPsK87rXVKEQzbQp4-2B5UHtyRnI8Y54IBUepJT6BXDOhNziOIfLh5wSAeJVsRc-2B2uOw-2Flk-2FHektOEyLxMuNk6SsTkUWOos-2BP-2BS0TdT38QRqZz6GH6kB4riEOcjU-2Bv8po1BB0-2FcevzrEbY0yYY4CJmuwJEV8Tmf-2FT-2Bnyi9aLnxOdCy7V7B3FA6StmmEVqulpKb63fMRwCVxzU-2Bms5vXeDj30Q5IhdbCiLImY5UZF7Ls6l-2FZdsyc1NuO9yUVPKF9nz7S3-2Bg46aPHbVR4SA2xQfscU5p9FT6fa1H6QjlFhOZqrONABWMjTi1xQ2avXpRHpb-2FRJI-2B9DRGhyXGldGq7B2bchBFilvV601BdkenU2bpT7VJGiw-2FpuLhpshkiaxiYTjxqy487S5Gi57gvzd7SqySXA8UQJVcVP4u6SxHLuoAMHuKlk7Xh1pa4pC97EVvSgnNjTFnEn0YAQZ8c-2BdfAIGKK3kwPXfZE4IZ5nv6WHVfgQtNKtBQ2jbeyf-2BcXZfPcL1S4GqFgYBch9VsEj3Fpr48l8Og-2BYAUbBOJxGCZko0Mm-2B-2BnjtxfsxI6Dyw5kbCslyvKU-2BzNLHrglfZiVwXdZVglNnf0uS7NhQlpUFGuEcQe5rJDxNAClZ2YUixSiH961OGX1FBUBGGeS0q8WYbFp0Rz-2F2fRrxEfd0psSaHJs5W41uXxC8ZFltQKWf5zlCioo3OnnPTSBLxygI8aYZuDyZUhVP2w0bibP0V78Ziftt4pwdyC9RVKP0tgUXi5J4093Lt5XJNObZIrMEY-2BRe6HgpQ9zK1zdjFlha0N5C6-2FFqltFIvrc6ujP2SUcS-2FkQzR2LLl2ANJksXiSxnrdn7E4odks-2FwScG4aUOlrqR8obs8WlYs9fg0KqznVH09zo8mi1xN0k0yWUihRGWZarJY-2BjFLSa2mQcg1wkEPcXIDYsryhLCqTrSDsvzMwnFO0KmJkT4usf90Hht3HczyvDlAJ17Wzy1iQzTDvpj-2BnQTFIvJDOKsHAyMpGVp9hlhNhLGG53qwlkizmWKg-3D-3D )",1,1,8,"Suspicious link in the email body, and the link is not a standard email link format.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious link in the email body, and the link is not a standard email link format."",
  ""score"": 8
}"
Customer issue: Quick Builders Co - Product specifications do not match requirements,"FYI - Customer complaint received:

Customer: Quick Builders Co
Issue: Product specifications do not match requirements
Severity: 4/5

Please review and advise if escalation needed.

Frank Hermann",0,0,1,Legitimate email from a known sender with a clear subject and body.,"{
  ""is_phishing"": 0,
  ""reason"": ""Legitimate email from a known sender with a clear subject and body."",
  ""score"": 1
}"
PayPal Notification!!,"Notification - PayPal Your account will be suspended ! We are contacting you to remind you that on 01 April 2007 our Account Review Team identified some unusual activity in your account. In accordance with PayPal's User Agreement and to ensure that your account has not been compromised, access to your account was limited. Your account access will remain limited until this issue has been resolved. To secure your account and quickly restore full access, we may require some additional information from you for the following reason: We have been notified that a card associated with your account has been reported as lost or stolen, or that there were additional problems with your card. To securely confirm your PayPal information please go to your PayPal's Update Profile or click on one of the links bellow: If the first hyperlink is not available please try the other. Thank you for using PayPal! The PayPal Team Please do not reply to this e-mail. Mail sent to this address cannot be answered. For assistance, log in to your PayPal account and choose the ""Help"" link in the footer of any page. To receive email notifications in plain text instead of HTML, update your preferences here. PayPal Email ID 999600206 Protect Your Account Info Make sure you never provide your password to fraudulent websites. To safely and securely access the PayPal website or your account, open a new web browser (e.g. Internet Explorer or Netscape) and type in the PayPal URL ( to be sure you are on the real PayPal site.PayPal will never ask you to enter your password in an email. For more information on protecting yourself from fraud, please review our Security Tips at Protect Your Password You should never give your PayPal password to anyone, including PayPal employees. This process is mandatory, and if not completed within the nearest time your account or credit card may be subject for temporary suspension. We encourage you to log in and perform the steps necessary to restore your account access as soon as possible. Allowing your account access to remain limited for an extended period of time may result in further limitations on the use of your account and possible account closure.",1,1,8,"Suspicious email from PayPal with urgent account suspension notice and links to update profile, which may be a phishing attempt to steal sensitive information.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious email from PayPal with urgent account suspension notice and links to update profile, which may be a phishing attempt to steal sensitive information."",
  ""score"": 8
}"
Your payment has been sent to sales@configure.us.dell.com,"Dear PayPal Member, This email confirms that you have paid DELL INSPERION E1505 (sales@configure.us.dell.com) $449.99 USD using PayPal. This credit card transaction will appear on your bill as ""PAYPAL DELL INSPERION E1505 Notebook Computer "". PayPal Shopping Cart Contents Item Name: Dell Inspiron 1300 Notebook Computer for Business 400 MHz - Celeron - 1 MB RAM - 40 GB Hard Drive 15.4"" Display - Windows XP Home Quantity: 1 Total: $499.99 Cart Subtotal: $484.99 USD Sales Tax: $15.00 USD Cart Total: $499.99 Shipping Information Shipping Info: Brandi Lee Skiles 2700 Cross Point circle Matthews, North Carolina 28105 United States Address Status: Unconfirmed If you haven't authorized this charge, click the link below to cancel the payment and get a full refund. Dispute Transaction Thank you for using PayPal! The PayPal Team Please do not reply to this e-mail. Mail sent to this address cannot be answered. For assistance, log in to your PayPal account and choose the ""Help"" link in the footer of any page. PayPal Email ID PP133320",1,1,8,Suspicious sender email (sales@configure.us.dell.com) and lack of direct login link to PayPal account.,"{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious sender email (sales@configure.us.dell.com) and lack of direct login link to PayPal account."",
  ""score"": 8
}"
George Lancaster shared an Onshape folder with you,"New Folder Shared With You

Hello ,

An Onshape folder has been shared with your

team ( Zebrotics ) by George Lancaster .

Click to access the folder, Zebrotics Crescendo

GO TO YOUR ONSHAPE FOLDER

This is an automated message from Onshape.

Please do not reply to this message.",1,1,8,"Suspicious email from Onshape with a generic greeting and a direct link to access a shared folder, which could be a phishing attempt.","{
  ""is_phishing"": 1,
  ""reason"": ""Suspicious email from Onshape with a generic greeting and a direct link to access a shared folder, which could be a phishing attempt."",
  ""score"": 8
}"
Notification of Limited Account,Notification of Limited Account,1,1,6,Lack of specific details and generic subject line,"{
  ""is_phishing"": 1,
  ""reason"": ""Lack of specific details and generic subject line"",
  ""score"": 6
}"
