subject,body,label,model_prediction
Pipeline Update - January 29,"Morning update:

Opportunities in progress: 23
Value in pipeline: €1,513,630
Closes this week: 2

Key activities today:
- Customer meetings: 1
- Proposals to send: 1
- Follow-ups needed: 3

Charles",0,1
Compra Pré-Aprovada. Nota Fiscal em Análise.,"Assunto Importante

Nubank: Compra em análise no valor de R$1.499,99 em AMAZON-BR no dia 31/01/2024. Para confirmar digite 1. Caso não reconheça, ligue para área de segurança: 4003-6514.

Codigo de Entrega:92228946861394618",1,1
Red Hat Linux 8.0 now available on Red Hat Network,"Red Hat Linux 8.0 is now available. Get priority access to the Red HatLinux 8.0 upgrade by subscribing to Red Hat Network Basic service for just$60 USD annually. Get it now: What does $60 a year get you? * Instant ISOs of any Red Hat Linux public release for the duration of your subscription. * Priority access to updates and ISOs -- no busy signals, no searching mirror sites, no waiting.What's new in Red Hat Linux 8.0, anyway? * A new interface -- a user-friendly desktop with graphical enhancements and improved menu organization. * The latest Gnu Compiler Collection, gcc-3.2, and a specially tuned and tested high-performace kernel, 2.4.18. * Cutting-edge web server technology powered by the latest release of Apache, 2.0. * Updated graphical configuration tools that make setting up a Linux server a truly point-and-click experience. * A single interface for package selection during and after installation * Enhanced personal security, featuring a point-and-click firewall tool to protect your system from Internet intruders. How do I upgrade once I subscribe to Red Hat Network Basic service? * After purchase, you will be directed to the Instant ISO page. From there, follow the instructions for downloading and installing Red Hat Linux 8.0 from the ISO images. Read more at: DOWNLOAD 8.0 NOW. Subscribe to Red Hat Network Basic and start downloading Red Hat Linux 8.0instantly.",0,1
Bank of the West customer service: security issues! (message id: 021422285),[],1,0
Customer Support Ticket,"Customer support. We have experienced a sudden drop in our brand engagement metrics. It may be due to a recent update in the marketing automation software, which could have disrupted campaign delivery. Despite trying to revert previous configurations and reinitiating the campaigns, we have not been successful. Please assist us in resolving this issue.",0,1
Urgent: Mercury Language Compiler Errors in Production,"Hi Aetheros Support,

We are experiencing critical compiler errors in our production environment related to the Mercury language. The errors started appearing around 7:00 AM EST and are impacting our core application functionality.

We are seeing the following error message repeatedly:

> Mercury Compiler Error (MC102): Unexpected token '...' on line...

We have not deployed any new code or made changes to our Mercury environment recently. Could you please investigate this issue urgently and provide a solution as soon as possible?

Thanks,
John Doe
Lead Developer
Example Corp",0,1
Re: Question about API rate limits,"Hi John,

Thank you for reaching out to Aetheros Support.

We can definitely look into increasing your API rate limit. To help us best assist you, could you please provide us with some more information?

* Your Aetheros account ID
* The specific API endpoint(s) you're seeing rate limiting on
* Your current average and peak API usage

Once we have this information, we can review your account and discuss rate limit options with you.

Best regards,
Aetheros Support",0,0
Updates for the Analytics Tool,The investment analytics tool at the financial firm has encountered a problem displaying real-time data updates.,0,1
U.S. Bank Corporate Customer Service: Online Form Released! (mess_id: t14068903211ae),[],1,1
Account Verification,[],1,0
eBay New Message Received from Buyer for Item #250016985045,[],1,0
"PO Approval Required: €36,335","Purchase Order Request:

Vendor: MetalWorks Inc
Amount: €70,219
Description: Spare parts
Urgency: Urgent - Production down

Please approve in system.

Isa",0,1
