group_label,feature_a,feature_b,cell_slug,rank,sentence,sentence_score,token_count
HW-B-FP,Authority,Authority,authority__authority,1,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender,169.67900069572377,1511
HW-B-FP,Authority,Authority,authority__authority,2,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virscan org submission notes same number added number sender virscan org submission notes same number added number sender virus total submission notes same number added number sender,169.67900069572377,1214
HW-B-FP,Authority,Authority,authority__authority,3,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes already detected trojan added number,169.67900069572377,1227
HW-B-FP,Authority,Authority,authority__authority,4,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes same number added number sender virus total submission notes already detected trojan added virus name alias trojan proxy pixoliz bitdefender number sender virus total submission notes already detected trojan added virus name alias trojan banker delf bitdefender number sender virus total,169.67900069572377,1520
HW-B-FP,Authority,Authority,authority__authority,5,clamav database updated number feb number number number number daily cvd version number number sender phishery internetdefence net submission notes already detected email phishing added number sender phishery internetdefence net submission notes already detected email phishing added number sender phishery internetdefence net submission notes already detected email phishing added number sender phishery internetdefence net submission notes same number added number,126.20795938497962,1094
HW-B-FP,Authority,Authority,authority__authority,6,run file usr home dave src spambayes scripts line number run train file usr home dave src spambayes scripts line number train folder train self classifier file usr home dave src spambayes scripts line number train msg self file usr home dave src spambayes scripts line number yield self key file usr home dave src spambayes scripts line number data,47.13783451363593,93
HW-B-FP,Authority,Authority,authority__authority,7,isinstance unicode encode msg spambayes message sbheadermessage tokens tokenize msg spamcorpus else hamcorpus hasattr self corpus getattr self else hasattr self state corpus getattr self state setattr self corpus self self state getnewmessagename else isspam storage storage else storage storage storage ensuredir options storage factory filecorpus gzipfilemessagefactory else factory filecorpus filemessagefactory age options storage number number number corpus filecorpus expiryfilecorpus,38.15615737017682,135
HW-B-FP,Authority,Authority,authority__authority,8,main file kantor bin line number main action msg file kantor bin line number filter return self filter msg file kantor bin spambayes lib number site packages spambayes hammie line number filter file kantor bin spambayes lib number site packages spambayes hammie line number train file kantor bin spambayes lib number site packages spambayes classifier line number learn file kantor,38.01123572243549,213
HW-B-FP,Authority,Authority,authority__authority,9,class plugin def self name self name name self class pluginui defaults def self self spambayes import options options defaults plugin self defaults options new file xmlrpcplugin coreplugin import plugin pluginui spambayes optionsclass import spambayes options import class xmlrpcui pluginui defaults path sbrpc path respond,37.86210727382026,45
HW-B-FP,Authority,Authority,authority__authority,10,index coreui rcs file cvsroot spambayes spambayes spambayes attic coreui retrieving revision retrieving revision diff number number coreui number may number number number number number coreui number may number number number number number number number number number self def onpluginconfig self html self self plugin html title home plugin configuration html pagename plugin configuration html name value back basic configuration,37.86210727382026,129
HW-B-FP,Authority,Liking,authority__liking,1,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes same number added number sender virus total submission notes already detected trojan added virus name alias trojan proxy pixoliz bitdefender number sender virus total submission notes already detected trojan added virus name alias trojan banker delf bitdefender number sender virus total,165.47171263104423,1520
HW-B-FP,Authority,Liking,authority__liking,2,clamav database updated number feb number number number number daily cvd version number number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender virus total submission notes same number added number sender,164.06163510259822,1511
HW-B-FP,Authority,Liking,authority__liking,3,clamav database updated number feb number number number number daily cvd version number number sender phishery internetdefence net submission notes already detected email phishing added number sender phishery internetdefence net submission notes already detected email phishing added number sender phishery internetdefence net submission notes already detected email phishing added number sender phishery internetdefence net submission notes same number added number,145.0223351776833,1094
HW-B-FP,Authority,Liking,authority__liking,4,mercury provides dedicated libraries interacting aetheros iam service,28.517381678399232,8
