subject,body,label,model_prediction
Cornell University - Research Assistants Needed,"This phish typically originates from a non-Cornell email address. The sender may appear as ""CORNELL UNIVERSITY [user]@gmail.com>"" and impersonates a faculty member. The named faculty member and department may vary. Do not reply to the sender nor contact the phone number in the body of the email. This is not a legitimate offer for employment. See  Beware of Job and Internship Scams  from Career Services.",1,1
The Ford Factor keeps on factoring,"This Week in Politics To take on the province, it matters how Toronto’s next mayor wins ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ THIS WEEK IN POLITICS By Edward Keenan Illustration by Nathan Pilla/Toronto Star This week, even as the candidates for mayor continued to jockey over who might be best equipped to deal with the provincial government and Bully Premier Doug Ford, other GTA mayors were getting examples of the challenges. Markham Mayor Frank Scarpitti floated the idea of amalgamating the cities of York, as was once done to the cities that now make up Toronto, only to have Ford shoot him down within 24 hours. (“We aren’t doing it,” he said plainly.) And Mississauga Mayor Bonnie Crombie, with the wind in her sails after Ford granted her wish to de-amalgamate Mississauga from its own regional government, was finding herself Ford’s target as she launched a bid to oppose him from the Liberal leader’s bench at Queen’s Park. Meanwhile, even as I continued to think about how a mayor can deal with the Ford Factor — a question I recently put to Jennifer Keesmaat in a podcast after writing about it myself — I got some thoughts from a long-time watcher of politics around these parts who did not want to be named or quoted. This analyst’s current theory of Toronto-provincial relations holds that because people in this province have a relatively weak provincial identity (unlike Quebec, Newfoundland or Alberta, that is, they think of themselves as more residents of their cities than of Ontario), a mayor of Toronto can roll over the provincial government if they are proactive and present a clear — and popular — argument. Witness how Mel Lastman got the province to cough up money after amalgamation, how David Miller got the province to give gas tax dollars for transit and, I would add, how Rob Ford got the province to join him in Scarborough subway follies. Don't miss a thing from your favourite Star columnists. Always get the latest from the voices that matter most to you: pick the columnists you'd like to follow here, and you’ll get an email every time they have a new article online. The province holds statutory authority, of course, and will sometimes use it. But the city can win public relations battles, and in politics that always matters — and often triumphs. This is something my colleague Andrew Phillips wrote about in his own way this week — arguing that for all the “strong mayor” fights we’ve been having about formal authority this year (and they’ll soon be having in 26 other cities, it was announced late in the week), what Toronto needs now is a strong mayor in the old-fashioned sense, one with the moral authority to stand up for the city. He worries that if any of these mayors is elected with a slim minority of voter support — as appears likely, according to most polls with Olivia Chow’s commanding lead consisting of a third or less of total voters — that will weaken them as they go into battle with Ford. It’s possible. But how that victory is accomplished might matter too. If Chow were to win doubling the next closest contender, as it appears from polling averages she could, or if other ideologically similar candidates such as Josh Matlow and Mitzie Hunter place strongly in the slots behind her in the top four or five, that could strengthen the message from voters that Torontonians are thinking a certain way. And, as Phillips concludes, “There’s something else that would strengthen the mayor’s hand: a high turnout.” Voter engagement has plummeted since John Tory first beat Ford and Chow in the 2014 election, from 60 per cent then to a desperately sad 30 per cent in the election last year. Early voting, which closed this week, offers some hope that people are a bit more active this time around — it was up 12 per cent over last fall’s election. It’s a start. Will the uncertainty and range of choices in this election get more people out to vote? It’s unclear. And which of these candidates is best equipped to deal with Ford? That’s unclear too. But it seems that the answer to the former could affect how any new mayor is able to answer the latter. As in so many things, it’s a question that’s up to the voters. Here’s more of the Star’s Toronto election coverage from my colleagues: Who should you vote for? Take the Vote Compass survey to see which candidate is right for you. Olivia Chow still has a sizeable lead. How far behind is everyone else? Here’s what the polls show. Ana Bailão is a consensus builder. But can she be the fighter Toronto needs? Brad Bradford is an agent of change. Some worry he’s changed too much. Olivia Chow is the great organizer of the left. Can she be a unifying mayor? Anthony Furey is a media pundit with deeply right-wing views. Why doesn’t he want to talk about that now? Edward Keenan is a Star city columnist. Follow him on Twitter: @TheKeenanWire. You can email him at ekeenan@thestar.ca BEST OFFER OF THE YEAR Get unlimited access to the Star: $3.33/month for 12 months Get This Offer If you're not enjoying these emails, please tell us how we can make them better by emailing newsletterfeedback@thestar.ca. Or, if you'd prefer, you can unsubscribe from this newsletter by clicking the first link below. Unsubscribe From This Newsletter Sign Up for More Newsletters and Email Alerts View in Browser Toronto Star Newspapers Limited. 8 Spadina Avenue, 10th Floor, Toronto, ON M5V 0S8. 416-367-2000 PRIVACY POLICY - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",1,0
Welcome to the Star’s Martin Regg Cohn Alerts,"Thanks for signing up! ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ ͏‌ Thanks for signing up for the Star's Martin Regg Cohn Alerts The next edition will arrive in your inbox soon. If you’re no longer interested, you can unsubscribe here; if you have a question or need help, please email storyalertfeedback@thestar.ca. Don’t miss more of what you need to know Stay up to date on everything from local news to exclusive investigations with more email updates from the Star: SELECT MORE NEWSLETTERS Toronto Star Newspapers Limited. 8 Spadina Avenue, Toronto, ON M5V 0S8. 416-367-2000 PRIVACY POLICY",1,1
Problem with Website Integrations Not Working,"Website and social media integrations have ceased to function. It might be due to API connection problems. We have restarted the servers and verified the configuration settings, but the issue remains unresolved.",0,0
Technical services of the Chase Bank,"Fwd: Software Upgrade Dear client of Chase Bank, Technical services of the Chase Bank are carrying out a planned software update. As part of our commitment to excellent service, we want to let you know you have to update your Chase Online Service. These changes should not impact the way you bank online today. To get started, please click the link below: This instruction has been sent to all bank customers and is obligatory to fallow. Thank you, Customers Support Service.",1,1
Approval needed: Special pricing,"Need approval for:

Customer: Company_415
Deal size: €223,555
Discount requested: 8%
Reason: Competitive pressure

Please approve in system.

Willibald",0,1
"Invitation: Truth about the Iraq invasion, 20 years later","<!DOCTYPE html><html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><meta name=""x-apple-disable-message-reformatting""><!--[if (!mso)|(IE)]><meta http-equiv=""X-UA-Compatible"" content=""IE=edge"" /><![endif]--><meta name=""viewport"" content=""width=device-width, initial-scale=1.0""><link rel=""stylesheet"" href=""https://rootsaction.salsalabs.org/public/styles/sli-emails_v02.css""><!--[if (gte mso 9)|(IE)]><style type=""text/css""> table {border-collapse: collapse;} </style><![endif]--><style type=""text/css""> @media screen and (max-width:40em){.sli-small-12 {max-width:100% !important; width:100% !important;} #sli-background {background-color:transparent !important;} .sli-logo img {width:80% !important; min-width:200px !important;} .sli-hide-for-small, .sli-hide-for-small-only {display:none !important;mso-hide:all;} .sli-show-for-small-only {display:block !important;mso-hide:none;} table.sli-show-for-small-only, .sli-show-for-small-only table {display:table !important;width:100%;} td.sli-show-for-small-only, .sli-show-for-small-only td {display:table-cell !important;} .sli-text-center-for-small, .sli-text-center-for-small span, .sli-text-center-for-small p {text-align:center !important;} .sli-text-center-for-small .sli-email-button-table-outer, .sli-align-center-for-small .sli-email-button-table-outer, .sli-text-center-for-small .sli-social-icons-list, .sli-align-center-for-small .sli-social-icons-list {float:none !important;margin-left:auto !important;margin-right:auto !important;} .sli-text-center-for-small.tiny .sli-email-button-table-outer, .sli-text-center-for-small.small .sli-email-button-table-outer, .sli-text-center-for-small.large .sli-email-button-table-outer {width:auto !important;} .sli-text-center-for-small.expand .sli-email-button-table-outer {width:100% !important;} .sli-text-center-for-small img, .sli-align-center-for-small img {float:none !important;margin-left:auto !important;margin-right:auto !important;display:block;} .sli-text-left-for-small, .sli-text-left-for-small span, .sli-text-left-for-small p {text-align:left !important;} .sli-text-left-for-small .sli-email-button-table-outer, .sli-align-left-for-small .sli-email-button-table-outer, .sli-text-left-for-small .sli-social-icons-list, .sli-align-left-for-small .sli-social-icons-list {float:left !important;} .sli-text-left-for-small.tiny .sli-email-button-table-outer, .sli-text-left-for-small.small .sli-email-button-table-outer, .sli-text-left-for-small.large .sli-email-button-table-outer {width:auto !important;} .sli-text-left-for-small.expand .sli-email-button-table-outer {width:100% !important;} .sli-text-left-for-small img, .sli-align-left-for-small img {float:left !important;margin-left:0 !important;margin-right:auto !important;display:block;} .sli-text-right-for-small, .sli-text-right-for-small span, .sli-text-right-for-small p, .sli-text-right-for-small .sli-button td {text-align:right !important;} .sli-text-right-for-small .sli-email-button-table-outer, .sli-align-right-for-small .sli-email-button-table-outer, .sli-text-right-for-small .sli-social-icons-list, .sli-align-right-for-small .sli-social-icons-list {float:right !important;} .sli-text-right-for-small.tiny .sli-email-button-table-outer, .sli-text-right-for-small.small .sli-email-button-table-outer, .sli-text-right-for-small.large .sli-email-button-table-outer {width:auto !important;} .sli-text-right-for-small.expand .sli-email-button-table-outer {width:100% !important;} .sli-text-right-for-small img, .sli-align-right-for-small img {float:right !important;margin-left:auto !important;margin-right:0 !important;display:block;} .sli-full-width-for-small {max-width:100% !important;}}</style><style type=""text/css"">#sli {max-width: 600px; margin: 0px auto; background-color: #ffffff; padding: 0em; }.sli-element, .sli-element td, .sli-email-element, .sli-email-element td {font-family: Arial, Helvetica, sans-serif; font-size: 16px; color: #222222; }.sli-element a, .sli-email-element a, .sli-unsubscribe a {color: rgb(4, 159, 148); }.button,.email-button {background: rgb(3, 159, 148); color: rgb(255, 255, 255); border-color: #222222; border-radius: 8px; border-width: 0px; border-style: none; }.sli-divider {background: none; border-bottom: 1px solid #FFA500; height: 1px; width: 100%; margin: 0px 0px 0px 0px; }.outer {max-width: 600px; }.three-column .column {max-width: 200px; }.two-column .column {max-width: 300px; }.webkit {max-width: 600px; }.callout {background-color: #FFA500; border-color: #222222; border-radius: 8px; border-width: 0px; border-style: none ;padding: 1em; }.callout,.callout-without-border-bg {color: #222222; }img { max-width: 100%; }#sli-background {background-color: rgb(128, 164, 164); }</style></head><body style=""margin:0;padding:0;min-width:100%;background-color:#ffffff;line-height:1.6;""><div style=""display:none;visibility:hidden;mso-hide:all;font-size:1px;color:#ffffff;line-height:1px;max-height:0px;max-width:0px;opacity:0;overflow:hidden;"" class=""sli-preheader"">Join Kathy Kelly, Dennis Kucinich, David Swanson, Norman Solomon, India Walton, and Marcy Winograd, 20 years after Shock and Awe.&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp; ‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌&nbsp;‌</div><div style=""color:transparent;visibility:hidden;opacity:0;font-size:0px;border:0;max-height:1px;width:1px;margin:0px;padding:0px;border-width:0px!important;display:none!important;line-height:0px!important;""><img src=""https://default.salsalabs.org/X4cbe2f8c-1aa7-4a7d-ad25-fa6f5b4da8ea/a8187eb1-aa83-4dcf-b0b9-575eb5202f2e""> </div><!--[if mso]> <style> body {font-family: Arial, Helvetica, sans-serif; font-size: 16px; color: #222222; } body {mso-line-height-rule: exactly !important; line-height: 150% !important;} .column {width: 100% !important;} td td table.sli-email-button-table-inner {width: auto !important;} td td table.sli-email-button-table-outer {width: auto !important;}</style> <![endif]--><center class=""wrapper"" style=""width:100%;table-layout:fixed;-webkit-text-size-adjust:100%;-ms-text-size-adjust:100%;""><table cellspacing=""0"" cellpadding=""0"" id=""sli-background"" width=""100%"" style=""background-color:rgb(128,164,164);""><tbody><tr><td><table cellspacing=""0"" cellpadding=""0"" align=""center""><tbody><tr><td class=""webkit"" id=""sli"" style=""max-width:600px;margin:0px auto;background-color:#ffffff;padding:0em;width:600px;""><div><!--[if (gte mso 9)|(IE)]><table width=""600px"" align=""center""><tr><td><![endif]--><table class=""outer"" cellspacing=""0"" cellpadding=""0"" align=""center"" style=""max-width:600px;margin:0 auto;width:100%;line-height:1.6;border-width:0;padding:0;""><tbody><tr id=""id_94d4c5a9-e9ee-47a6-8134-73b92d0af5de"" style=""border-width:0;padding:0;""><td class=""one-column"" style=""overflow:auto;""><!--[if (gte mso 9)|(IE)]><table width=""100%""><tr><![endif]--><!--[if (gte mso 9)|(IE)]><td width=""600.0"" valign=""top""><![endif]--><table class=""column sli-medium-12 sli-small-12 sli-col-1"" cellspacing=""0"" cellpadding=""0"" align=""left"" style=""border-width:0;padding:0;width:100%;max-width:600px;"" width=""100%""><tbody><tr style=""border-width:0;padding:0;""><td class=""inner"" style=""border-width:0;padding:0;overflow-x:auto;""><table class=""contents"" cellspacing=""0"" cellpadding=""0"" id=""id_0aadd636-4db8-426e-b3c8-b793b472e6a8"" style=""border-width:0;padding:0;border-collapse:separate;text-align:left;width:100% !important;""><tbody><tr class=""sli-email-element sli-image"" style=""font-family:Arial,Helvetica,sans-serif;font-size:16px;color:#222222;border-width:0;padding:0;""><td id=""id_61f98ae3-5502-4c01-a650-ac4e9efc2804"" align=""center"" style=""font-family:Arial,Helvetica,sans-serif;font-size:16px;color:#222222;vertical-align:top;padding:0;overflow:hidden;border-width:0;""><img entity-id=""1e476c91-6d89-4203-bbc5-4324c7c51c1a"" id=""id_61f98ae3-5502-4c01-a650-ac4e9efc2804_img"" align=""center"" alt=""RootsAction Education Fund header"" width=""600"" style=""max-width:100%;border:0;display:block;float:none;margin-left:auto;margin-right:auto;width:100%;"" src=""https://default.salsalabs.org/4cbe2f8c-1aa7-4a7d-ad25-fa6f5b4da8ea/1e476c91-6d89-4203-bbc5-4324c7c51c1a.jpg""></td></tr><tr class=""sli-email-element sli-text"" style=""font-family:Arial,Helvetica,sans-serif;font-size:16px;color:#222222;border-width:0;padding:0;""><td style=""font-family:Arial,Helvetica,sans-serif;font-size:16px;color:#222222;vertical-align:top;padding:0;border-width:0;""><table cellspacing=""0"" cellpadding=""0"" width=""100%"" style=""display:table;""><tbody style=""display:table-row-group;""><tr style=""display:table-row;""><td id=""id_3d819444-91f2-4746-bd8a-fc568322e45b"" style=""font-family:Arial,Helvetica,sans-serif;font-size:16px;color:#222222;vertical-align:top;display:table-cell;padding:1em 1em .5em 1em;""><p style=""clear:both;margin:0 0 12px 0;mso-line-height-rule:exactly;-ms-text-size-adjust:100%;-webkit-text-size-adjust:100%;line-height:150%;""> Countless lies were told to propel the invasion of Iraq, and two decades later <b>many such lies are still being told</b>. To end current wars and prevent new ones, we need to set the record straight. </p> <p style=""clear:both;margin:0 0 12px 0;mso-line-height-rule:exactly;-ms-text-size-adjust:100%;-webkit-text-size-adjust:100%;line-height:150%;""> That’s why RootsAction Education Fund is <b>inviting you to a special livestream event</b> -- a free screening of the acclaimed documentary <i>War Made Easy: How Presidents and Pundits Keep Spinning Us to Death</i>, followed by a panel that will illuminate how wars get started and how they can be prevented or stopped. </p> <p style=""clear:both;margin:0 0 12px 0;mso-line-height-rule:exactly;-ms-text-size-adjust:100%;-webkit-text-size-adjust:100%;line-height:150%;""> <strong><a config=""eyJmaWVsZENvbmZpZ3MiOltdLCJncm91cENvbmZpZ3MiOltdLCJvbmVUaW1lQW1vdW50Q29uZmlnIjp7ImRlZmF1bHRBbW91bnRUeXBlIjoibm9uZSIsInBhcmFtZXRlck5hbWUiOiJvbmVUaW1lQW1vdW50IiwiZmllbGRJZCI6bnVsbH0sInJlY3VyQW1vdW50Q29uZmlnIjp7ImRlZmF1bHRBbW91bnRUeXBlIjoibm9uZSIsInBhcmFtZXRlck5hbWUiOiJyZWN1cnJpbmdBbW91bnQiLCJmaWVsZElkIjpudWxsfSwicmVjdXJyaW5nUGFyYW1OYW1lIjoicmVjdXJyaW5nIiwicmVjdXJyaW5nSW50ZXJ2YWxQYXJhbU5hbWUiOiJyZWN1cnJpbmdJbnRlcnZhbCIsInNhbHNhVHJhY2tpbmdDb2RlIjoiIiwicmVjdXJyaW5nQnlEZWZhdWx0IjpmYWxzZSwicmVjdXJyaW5nSW50ZXJ2YWxEZWZhdWx0IjoiIiwiZGVmYXVsdERlc2lnbmF0aW9uIjoiIn0="" data-saferedirecturl=""https://www.google.com/url?q=https://us06web.zoom.us/webinar/register/WN_U-PUrk4ETRqmlbhHtaJByA&amp;source=gmail&amp;ust=1678656703369000&amp;usg=AOvVaw0FcGEnj02F2G7It3bHCrZf"" href=""https://default.salsalabs.org/T187108f2-f15f-4a97-ab82-3c99db889f80/a8187eb1-aa83-4dcf-b0b9-575eb5202f2e"" lid=""187108f2-f15f-4a97-ab82-3c99db889f80"" target=""_blank"" track=""true"" style=""color:rgb(4,159,148);overflow-wrap:b",1,1
Assistance Required for Alteryx Integration,"Hello Customer Support, I am inquiring about the integration of Alteryx with Microsoft SQL Server 2019 for my investment data analytics project. Could you provide some information on how Alteryx integrates with Microsoft SQL Server 2019? Your guidance on this matter would be greatly appreciated. Thank you for your assistance, and I look forward to hearing from you soon.",0,1
"Liz Truss on The Deep State, Grooming Gangs, Economic Reform & Free Speech","Liz Truss is a British politician who served as the UK's Prime Minister and Leader of the Conservative Party.

Liz Truss: The Deep State, Grooming Gangs, Economic Reform & Free Speech (https://www.petermccormack.com/episodes/the-deep-state-grooming-gangs-economic-reform-free-speech-liz-truss)
https://www.petermccormack.com/episodes/the-deep-state-grooming-gangs-economic-reform-free-speech-liz-truss
http://www.petermccormack.com
mailto:me@petermccormack.com
http://www.x.com/petermccormack
http://instagram.com/mccormack555
https://open.spotify.com/show/0mWUJuONiilW5JSBBFZ0s7
https://www.youtube.com/@PeterMcCormackShow
LISTEN NOW (https://www.petermccormack.com/episodes/the-deep-state-grooming-gangs-economic-reform-free-speech-liz-truss)
Previous Shows
https://www.petermccormack.com/episodes/einstein-aliens-and-the-mystery-of-existence-paul-m-sutter
https://www.petermccormack.com/episodes/immigration-policies-terrorism-security-and-global-trends-tony-smith

https://www.petermccormack.com/episodes/what-is-the-government-nudge-unit-david-halpen

https://www.petermccormack.com/episodes/the-elite-middle-class-takeover-of-the-labour-party-george-galloway

https://www.petermccormack.com/episodes/mass-migration-populism-freedom-and-political-disruption-matt-goodwin

Thank You to our Show Sponsors
https://iren.com/
https://casa.io/

https://www.ledger.com/

https://ledn.io/

https://www.xapobank.com/

https://bitcasino.io/

https://www.cheatcode.co.uk/

https://river.com/
http://www.mrobnoxious.com
mailto:studio@mrobnoxious.com
http://www.x.com/mrobnoxiouspod
http://instagram.com/mrobnoxiouspod
https://open.spotify.com/show/0mWUJuONiilW5JSBBFZ0s7
https://www.youtube.com/@MrObnoxiousPod

============================================================

This email was sent to phishing@pot (mailto:phishing@pot@hotmail.com)
why did I get this? (https://petermccormack.us16.list-manage.com/about?u=4a6b4c444e85721a744db292c&id=961d7f4dfe&e=6fdc40d018&c=e0ad234226) unsubscribe from this list (https://petermccormack.us16.list-manage.com/unsubscribe?u=4a6b4c444e85721a744db292c&id=961d7f4dfe&t=b&e=6fdc40d018&c=e0ad234226) update subscription preferences (https://petermccormack.us16.list-manage.com/profile?u=4a6b4c444e85721a744db292c&id=961d7f4dfe&e=6fdc40d018&c=e0ad234226)
The Peter McCormack Show . 5 Goldington Road . Bedford, Bedfordshire MK40 3JY . United Kingdom",1,1
Introduction Guide for New Team,What are the optimal procedures for integrating new team members into your project management platform? A successful onboarding process guarantees a seamless transition and high productivity.,0,0
