row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,overall_is_valid,invalid_scanner_count,flagged_scanners,malicious_urls_is_valid,malicious_urls_risk_score,ban_substrings_is_valid,ban_substrings_risk_score,sensitive_is_valid,sensitive_risk_score
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,1,llm_guard_000201_000300_chunk_input,Report: Preventing Data Breaches in Healthcare IT Systems,0,S8-fill-bracket-full:llama,4063,True,0,,True,-1.0,True,-1.0,True,-1.0
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,2,llm_guard_000201_000300_chunk_input,URGENT SECURITY ALERT,1,S8-fill-bracket-full:llama,2613,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,3,llm_guard_000201_000300_chunk_input,URGENT SECURITY ALERT,0,S8-fill-bracket-full:llama,2248,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,4,llm_guard_000201_000300_chunk_input,Temporary Account Block: Verification Required,1,S8-fill-bracket-full:llama,1928,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,5,llm_guard_000201_000300_chunk_input,Exclusive Offer: Free Turkey Dinner Promotion,1,S8-fill-bracket-full:llama,1483,False,1,sensitive,True,-0.7,True,-1.0,False,1.0
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,6,llm_guard_000201_000300_chunk_input,Exclusive Gift Offer from Amazon - Limited Time Only!,1,S8-fill-bracket-full:llama,1139,False,1,sensitive,True,-0.7,True,-1.0,False,1.0
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,7,llm_guard_000201_000300_chunk_input,Exclusive Gift Opportunity - Limited Time Only!,1,S8-fill-bracket-full:llama,1380,False,2,ban_substrings | sensitive,True,-0.7,False,1.0,False,1.0
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,8,llm_guard_000201_000300_chunk_input,Request for Security Measures Information for Sensitive Data Protection,0,S8-fill-bracket-full:llama,1445,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,9,llm_guard_000201_000300_chunk_input,Request for Data Protection Protocols and Compliance Standards for Medical Information,0,S8-fill-bracket-full:llama,1552,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s8-llama_detector_suite_eku6jpef/llm_guard_000201_000300/chunk_input.csv,10,llm_guard_000201_000300_chunk_input,Request for Overview of Data Security Measures and Compliance with Industry Standards,0,S8-fill-bracket-full:llama,1730,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
