subject,body,label,model_prediction
Barclays is proud to announce about their new updated secure system.,[],1,0
Reported Issue with Digital Campaign Analytics,"Dear Customer Support,\n\nI am reporting an issue with our digital campaign analytics that has suddenly stopped working. It could be due to outdated Laravel 8 integration issues, but I am uncertain of the exact cause.\n\nAlready checked the Redis 6.2 caching settings, but the problem still exists. I would greatly appreciate your assistance in resolving this as soon as possible.\n\n**What happened:** The digital campaign analytics stopped working suddenly.\n**Why it might have occurred:** Potential outdated Laravel 8 integration issues.\n**What was tried so far:** Checked Redis 6.2 caching settings.\n\nI am ready to provide any additional information required to resolve this issue. Please let me know if there are any steps I should take or further details you need from me.\n\nThank you for your timely assistance in this matter. I look forward to your response.\n\nBest regards,\n[Your Name]",0,1
"PO Approval Required: €71,634","Purchase Order Request:

Vendor: MetalWorks Inc
Amount: €90,795
Description: Spare parts
Urgency: Standard

Please approve in system.

Jasmin",0,1
Digital Strategies for Brand Amplification,"I am reaching out to explore the most impactful digital strategies that can propel brand growth for marketing firms. As a marketer, I am eager to grasp the current trends and methodologies that can elevate our agency to a higher level. I would greatly value any insights on crafting a thorough digital strategy that includes social media, content marketing, and search engine optimization. Moreover, I am interested in learning more about the significance of data analytics in assessing the effectiveness of digital campaigns and how to utilize this data to guide future marketing strategies. I look forward to your response and to gaining more knowledge on how to boost brand growth via digital strategies.",0,0
Re: [opensuse] A Quick Start - VirtualBox Howto,"David C. Rankin wrote: > Listmates, > > Just had my first experience with XP running in VirtualBox and > ...wow... this is the greatest thing since sliced bread. Most all of > the following information was taken from the VirtualBox help file > provided in /usr/share/doc/packages/VirtualBox. Here is a quick howto > I put together while installing and configuring virtualbox. I hope you > find it useful: > > > Pre-Install: > > (1) If you would like to take a look at the user manual before taking > the plunge, grab it here: > > wget http://www.virtualbox.org/download/UserManual.pdf [rest pruned] Many thanks, David, for the above. It has now given me the courage to try out installing and using this VirtualBox-thingie. Thanks. Ciao. -- Past experience, if not forgotten, is a guide for the future.",0,1
hey! she knows what you dream of. you can't get more dissolute girl,"<meta http-equiv=""Content-Type"" content=""text/html; charset=us-ascii"">Click for date
http://lovamuch.space/sexxys",1,1
It’s on: Buy More Save More,"Macy*s Shop online & in store (2 days only!) & spruce up your space for less ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Women Men Home Handbags Shoes Beauty Brands Wait, you’re not a Star Rewards member? Join Now Go Bronze & get so much more Star Rewards members unlock all the perks! Details Spoil yourself with Star Money Get 1 point per $1 spent Except Gift Cards, services & fees Free Shipping onpurchases $25+ Join For Free View Online Unsubscribe Customer Service Store Locator Macy's Credit Card Regular and original prices reflect offering prices that may not have resulted in actual sales. See Pricing Policy. Note: If you signed up to receive email alerts from Citibank N.A. regarding your Macy's Credit Account, you will continue to receive these alerts even if you unsubscribe. To opt-out or change your communication preferences regarding your Credit Account, visit Macy's Credit Card, sign into your account, and go to Manage Credit Alerts. Macys.com LLC, 151 West 34th Street, New York, NY 10001 Macy’s Credit and Customer Service, PO Box 8113, Mason, OH 45040 Shipping Policy Return Policy Privacy Policy Legal Notice Email Preferences 20230530_MCOM_HmeBTBMSM",1,1
Important Message on Your Account,"Dear Customer, Our records show that your USAA Online Banking profile is out of date Notice Click here to update your complete online profile. Thank You Â©2016, USAA Bank. All Rights Reserved. Dear Customer, Our records show that your USAA Online Banking profile is out of date Notice Click here to update your complete online profile. Thank You Â©2016, USAA Bank. All Rights Reserved.",1,0
Privacy of Medical Information,"Despite the presence of fundamental firewalls, there are still risks involved.",0,0
Re: Overdue: Customer 566855296,Customer claims invoice never received. Resending now.,0,1
