feature_a,feature_b,cell_slug,contribution_type,group_size,background_size,mean_group_contribution,mean_background_contribution,max_group_contribution,top_doc_count_used
Authority,Authority,authority__authority,diagonal,25397,72779,0.8892096675985353,0.9037797471523379,1.0,400
Authority,Liking,authority__liking,cooccurrence,25397,72779,0.5314167400180148,0.7058194220178012,1.0,400
Authority,Reciprocity,authority__reciprocity,cooccurrence,25397,72779,0.3295934133832603,0.38582191165250457,1.0,400
Authority,Social Proof,authority__social_proof,cooccurrence,25397,72779,0.25022984830172046,0.2968888735007587,1.0,400
Authority,Scarcity,authority__scarcity,cooccurrence,25397,72779,0.0524875697555559,0.05963882874853399,0.771534,400
Authority,Commitment,authority__commitment,cooccurrence,25397,72779,0.018160293423944283,0.020194555267750398,0.447942,400
Liking,Liking,liking__liking,diagonal,25397,72779,0.5591408373823681,0.7406356771596202,1.0,400
Liking,Reciprocity,liking__reciprocity,cooccurrence,25397,72779,0.25989597337051407,0.3457725062065458,1.0,400
Liking,Social Proof,liking__social_proof,cooccurrence,25397,72779,0.1964534524096963,0.2645131238051318,1.0,400
Liking,Scarcity,liking__scarcity,cooccurrence,25397,72779,0.04214320163987058,0.05402228912160238,0.771534,400
Liking,Commitment,liking__commitment,cooccurrence,25397,72779,0.014573845640497421,0.01853485637783589,0.447942,400
Reciprocity,Reciprocity,reciprocity__reciprocity,diagonal,25397,72779,0.3425704079221956,0.4069356920128059,1.0,400
Reciprocity,Social Proof,reciprocity__social_proof,cooccurrence,25397,72779,0.1375789044472272,0.1765478899151293,0.99999,400
Reciprocity,Scarcity,reciprocity__scarcity,cooccurrence,25397,72779,0.030272227314140056,0.03883104843854141,0.7611946728660001,400
Reciprocity,Commitment,reciprocity__commitment,cooccurrence,25397,72779,0.010322265220579637,0.013325838783328981,0.447940208232,400
Social Proof,Social Proof,social_proof__social_proof,diagonal,25397,72779,0.2606261524589518,0.3081490019511122,1.0,400
Social Proof,Scarcity,social_proof__scarcity,cooccurrence,25397,72779,0.025516206544061185,0.03311268809253318,0.771534,400
Social Proof,Commitment,social_proof__commitment,cooccurrence,25397,72779,0.008743182826190495,0.011161117902278514,0.447515559216,400
Scarcity,Scarcity,scarcity__scarcity,diagonal,25397,72779,0.05462037496554712,0.061067061885983605,0.771534,400
Scarcity,Commitment,scarcity__commitment,cooccurrence,25397,72779,0.0025496068592094734,0.0031828425033605294,0.331598472282,400
Commitment,Commitment,commitment__commitment,diagonal,25397,72779,0.019061505020277987,0.020735148944063534,0.447942,400
