stage,hw_precision,hw_recall,hw_accuracy,hw_fpr,hw_fnr,hw_f0_5,hw_f1,hw_f2,hw_mcc,llm_precision,llm_recall,llm_accuracy,llm_fpr,llm_fnr,llm_f0_5,llm_f1,llm_f2,llm_mcc
S1,0.4181994191674734,0.6419019316493314,0.6849981294425739,0.3005,0.35809806835066865,0.449531737773153,0.5064478311840562,0.5798657718120805,0.30431013673342444,0.373374613003096,0.8959881129271917,0.5952113729891507,0.506,0.10401188707280833,0.42268330295808215,0.5270979020979021,0.7000232180171814,0.3461344313598293
S2,0.6724845995893224,0.6569709127382146,0.668671679197995,0.3196392785571142,0.3430290872617854,0.6693235234007766,0.6646372399797057,0.6600161225312374,0.337425243955587,0.4888888888888889,0.37512537612838515,0.4917293233082707,0.39178356713426854,0.6248746238716149,0.4609317229479911,0.4245175936435868,0.3934357248053861,-0.01713000201221019
S4,0.8239982530843979,0.6426807459763263,0.6632848281059771,0.29277152197602613,0.3573192540236737,0.77998718452221,0.7221318534111568,0.6722666619158754,0.32686222657327485,0.8109820485744457,0.6540066422549604,0.6606759812163024,0.3250998910279695,0.3459933577450396,0.7738347137416117,0.7240842879366426,0.6803444243648347,0.30813678483994233
S5,0.6837606837606838,0.6514657980456026,0.6750814332247557,0.30130293159609123,0.3485342019543974,0.6770480704129993,0.6672226855713094,0.6576783952647156,0.3505540915460546,1.0,0.739413680781759,0.8697068403908795,0.0,0.26058631921824105,0.934156378600823,0.850187265917603,0.7800687285223368,0.7658742112733266
S6-MPG,0.6939454424484365,0.651875,0.6821875,0.2875,0.348125,0.6851024697845507,0.6722526587173703,0.6598759964570416,0.3650464617104956,0.7852307692307692,0.7975,0.7896875,0.218125,0.2025,0.7876543209876543,0.7913178294573643,0.7950155763239876,0.5794457374399804
S6-UTA,0.6994609164420486,0.64875,0.685,0.27875,0.35125,0.6886942675159236,0.6731517509727627,0.6582952815829528,0.3709762565264814,0.6228686058174524,0.388125,0.5765625,0.235,0.611875,0.5556549749463136,0.4782441278398152,0.4197647695011491,0.16531461751660856
S6-fuzzer,0.806674338319908,0.6372727272727273,0.6563636363636364,0.3054545454545455,0.36272727272727273,0.7659527972027972,0.7120365667851701,0.6652116151072309,0.3132870630993901,0.6684622918707149,0.6204545454545455,0.5418181818181819,0.6154545454545455,0.3795454545454545,0.6582754629629629,0.6435643564356436,0.6294964028776978,0.004852991133989397
S8-deepseek,0.6689847009735744,0.6413333333333333,0.662,0.31733333333333336,0.3586666666666667,0.6632653061224489,0.6548672566371682,0.6466792148426996,0.3242771231377109,0.5504625735912532,0.8726666666666667,0.58,0.7126666666666667,0.12733333333333333,0.5943516164184526,0.6750902527075813,0.7812126999283838,0.197337728215293
S8-llama,0.6842475386779184,0.6486666666666666,0.6746666666666666,0.29933333333333334,0.35133333333333333,0.6768224819143016,0.6659822039698836,0.6554836971166801,0.3498065919851065,0.6193771626297578,0.5966666666666667,0.615,0.36666666666666664,0.4033333333333333,0.6146978021978022,0.6078098471986417,0.6010745466756212,0.2301547671855191
S8-ministral,0.6916083916083916,0.6593333333333333,0.6826666666666666,0.294,0.3406666666666667,0.6849030470914127,0.6750853242320819,0.6655450874831763,0.3657317916742706,0.6126666666666667,0.6126666666666667,0.6126666666666667,0.3873333333333333,0.3873333333333333,0.6126666666666667,0.6126666666666667,0.6126666666666667,0.22533333333333333
