Subject,Body,label,data_source,No.,Sender,URL,File,Type,Created by,Source,Year,Motivation
"""master_thesis"" — shared by Andrea",Project Invite You have been invited to an Overleaf project. Project: master_thesis Shared by: alanti@ifi.uio.no view project https://www.overleaf.com/project/65db31e01a850/invite/token/a67a0e68cfa900170414b250e997b,0,fuzzer-LLM,55,Overleaf<welcome@overleaf.com>,https://www.overleaf.com/project,,Valid,Human,Manual,2025,Follow the link
Welcome onboard,"Welcome to a world of travel inspiration Thank you for subscribing. You will now be among the first to know about our latest offers and updates, delivered directly to your inbox. To ensure you do not miss any of our exclusive offers, please add email@qr.qatarairways.com to your safe sender list. While we know you love getting emails from us, you can choose to unsubscribe at any time.",0,fuzzer-LLM,56,Qatar Airways <email@qr.qatarairways.com>,https://www.qatarairways.com/en-no/homepage.html?CID=SXNO23456883M&account=Google-Europe-NO-EN-Brand&campaign=Google%7CNO%7CBrand%7CQatar%7CXXX%7CXXX%7CEN%7CEXT&adgroup=Brand+Qatar&term=qatar&&&&&gclsrc=aw.ds&gad_source=1&gad_campaignid=22941679820&gbraid=0AAAAADex6O1BCkN_OqCOgEoZjW9UT1_O_&gclid=Cj0KCQiAyvHLBhDlARIsAHxl6xobkWKyywQgOWewEp-vI9-KPvPBkJLLqCP00I34YDDjJa7VlhFCDxcaAqDBEALw_wcB,,Valid,Human,Manual,2025,Unknown
Ingrid ble med på Premium Duo (Marie joined Premium Duo),"Ingrid joined the Premium Duo. This is just to let you know that Marie has joined you on Premium Duo. Spotify Logo Get Spotify for: iPhone iPad Android Other This message was sent to zxx9y6dqh6@privaterelay.appleid.com . If you have any questions, please contact us . Terms of Use Privacy Policy Contact us Spotify AB, Regeringsgatan 19, 111 53, Stockholm, Sweden",0,fuzzer-LLM,57,Spotify <no-reply_at_spotify_com_zxx9y6dqh6_97db6a59@privaterelay.appleid.com>,https://www.spotify.com/no-nb/duo/,,Valid,Human,Manual,2025,Unknown
Caleb added you as an extra member,"You’ve been invited Hi Max, Great TV shows and movies are in your future. Caleb invited you to be an extra member on their Netflix plan — at no cost to you. As an extra member, you’ll be able to enjoy: • All of Netflix in Ultra HD. • Your own account and password with 1 profile. • Watching on any device (1 at a time). Set up your account to discover your new favorites. Get Started link: https://www.netflix.com/extra/activate?g= Not interested? You can decline this invitation and we’ll stop sending emails about this invitation. We're here to help if you need it. Visit the Help Center for more info or contact us. The Netflix team Questions? Call 80 982 787 ‪Netflix International B.V.‬ Communication Settings Terms of Use Privacy Help Center This message was sent to [maxri@gmail.com] by Netflix as an invitation from a Netflix member to join their plan as an extra member. SRC: 61B7B3_03366-9f49-42-be-2a780def_en_HU_EVO",0,fuzzer-LLM,58,Netflix <info@account.netflix.com>,https://www.netflix.com/,,Valid,Human,Manual,2025,Follow the link
Your EasyChair preprint,"Dear David, This is a reminder that you have an unpublished EasyChair preprint: Impact of Emotions on User Behavior To publish your preprint in EasyChair, you should make the following steps. (1) Log in to EasyChair and use menu tabs EasyChair -> My preprints (2) Select the unpublished preprint in the table of preprints and click on its ""Access"" icon. (3) If you have already uploaded your PDF, you should click on ""Publish this Preprint"". Otherwise, click on ""Upload Files"" to upload files first and then on ""Publish this Preprint"". If you do not wish to publish your preprint, you should click on the ""Withdraw"" link instead. You will receive (infrequent) periodic reminders about your unpublished preprints while you still have them. __________________________________________________ Please be aware that this is an unmonitored email alias, so please do not reply to this email. To contact EasyChair use the EasyChair contact Web page https://easychair.org/contact",0,fuzzer-LLM,59,noreply@easychair.org,https://easychair.org/,,Valid,Human,Manual,2025,Follow the link
"Reminder: ""WEEK² — The Career Fair""","Dear Participant, This is a friendly reminder that you are registered to attend ""WEEK² — The Career Fair"" which is taking place tomorrow. Please find the details below: Time: an. 16, 2025 12:00 PM – 4:00 PM Place: Vilhelm Bjerknes' hus We look forward to your participation in what promises to be an engaging and insightful session. Best regards, Organizing Committee",0,fuzzer-LLM,60,UiO : Universitet i Oslo<noreply@pameldingssystem.no>,https://www.mn.uio.no/english/research/phd/phdevents/week2-2025/events/2025/,,Valid,Human,Manual,2025,Unknown
NIKT 2024 notification for paper 3,"Dear Bianca, We are pleased to inform you that your paper has been ACCEPTED to be presented at the Norwegian Information Security Conference (NISK) on Nov. 25-27, 2024, in Bergen, Norway. The reviews by the Technical Program Committee of your paper follow this message. We urge you to complete the following procedure: 1. closely follow all the reviews and upload your revised paper by Oct. 25th, 2024 (updating your paper in the easychair system) 2. register by Nov. 1st, 2024 using the following link: https://www.nikt2024.no/attending/registration We are looking forward to seeing you in Bergen in November. Thank you again for your contribution to this conference. Sincerely, Martin G. Jaatun Chunlei Li Program Chairs for NISK-2024 SUBMISSION: 3 TITLE: Impact of Emotions on User Behavior Toward Phishing Emails",0,fuzzer-LLM,61,NIKT 2024<nikt2024@easychair.org>,https://www.nikt2024.no/attending/registration,,Valid,Human,Manual,2025,Follow the link
SafeComp2024 - manifestation of interest in guided tour,"Dear SafeComp 2024 Attendees, This mail is to collect your manifestation of interest to participate to a guided tour on Wednesday 18th September, of approximately 2 hours, 17:45-19:45. It would consist of a walk from the Conference Venue towards the city center. Tour is open to accompaning people. It will be organized if we receive a sufficient number of (non-binding) manifestation of interests by Tuesday 10th September. Please express your interest using the following form: https://docs.google.com/forms/d/1FjIR0j7oY-TlJksyNpEO-eKQuLIEa_3bnC12Nmw/viewform?edit_requested=true Thank you for your collaboration, and looking forward to meet you in Florence. Best Regards, SafeComp2024 Organizers SafeComp2024 Tuesday, 17 September 2024 at 08:30 - Friday, 20 September 2024 at 16:00 (CEST) Hotel NH Firenze 4 Piazza Vittorio Veneto 50123 Firenze Italy View Order link: https://clicks.eventbrite.com/f/a/NUlNvzad2Z9bCCXUNg0nCQ~~/AAQxAQA~/RgRovT6JP0QzaHR0cHM6Ly93d3cuZXZlbnRicml0ZS5jby51ay9teXRpY2tldHMlMkY5ODY0NzgwODc5VwNzcGNCCmbPibnaZlRHKF9SEnJlYmVrYXRAaWZpLnVpby5ub1gEAAAAAA~~ Organised by Andrea Bondavalli, Andrea Ceccarelli Questions about the event? Contact the organiser This email was sent to your email Sent using Eventbrite Copyright © 2024 Eventbrite. All rights reserved. Privacy Policy",0,fuzzer-LLM,62,noreply@event.eventbrite.com,https://docs.google.com/forms/d/1FjIRwu0j7oY-TlJksyNpEO-eKQuZLIQEa_3bnC12Nmw/viewform?edit_requested=true,,Valid,Human,Manual,2025,Follow the link
You can still join Athletica BOOST!,"Hi, Hedvig. Join Athletica BOOST – and win great prizes! We’re already in the third week of Athletica BOOST, but it’s not too late to join! The competition runs for three more weeks, helping you build solid workout habits – while giving you the chance to win amazing prizes. 🎯 Here’s how it works: ✅ Work out at least twice a week – get a reward every week ✅ Sign up via My Page on sio.no/en ✅ Pick up your reward at the reception after your second workout of the week Starting this week? You’ll still be in the running for the grand prizes: 🏆 Gift card for Power – 6000 NOK 🏆 Gift card for Hummel – 4000 NOK 🏆 1 year of free membership at SiO Athletica Recruit a friend and get free training! Do you have a workout buddy who isn’t a member? In March, you can recruit friends through our recruitment campaign! For each friend you recruit, you get 1 month of free training. Just bring them to the reception, and we’ll take care of the rest! 🔗Yes, I want to join Athletica BOOST link: https://public-eur.mkt.dynamics.com/api/orgs/721b7eb3-edb2-4164-8f82-6b985c851e43/r/pS5DbuudKUWD3fqKipkCAAYAAAA?target=%7B%22TargetUrl%22%3A%22https%253A%252F%252Fwww.sio.no%252Fen%252Fsports%252Fathletica-boost-var25%22%2C%22RedirectOptions%22%3A%7B%221%22%3Anull%2C%222%22%3A%7B%22utm_source%22%3A%22Dynamics%20365%20Customer%20Insights%20-%20Journeys%22%2C%22utm_medium%22%3A%22EMAIL%22%2C%22utm_term%22%3A%22N%2FA%22%2C%22utm_campaign%22%3A%22Ath_boost%20%26%20verv%20en%20venn_mar25%22%2C%22utm_content%22%3A%22Ath_leve_mars25_BOOST1_Verv_en_Venn_GR%C3%85_EN%22%7D%7D%7D&digest=oTTpk%2Fp6wqRCb8MMzU6LNDrSAYAslfqxMk2NFzr0ckA%3D&secretVersion=7c13c22c20aa46a1b2fc8b71fde4d19a",0,fuzzer-LLM,63,SiO Athletica<info@sio.no>,https://www.sio.no/en/login?callbackUrl=%2Fen%2Fmy-page%2Fsports%2Fboost%3Futm_source%3DDynamics%2B365%2BCustomer%2BInsights%2B-%2BJourneys%26utm_medium%3DEMAIL%26utm_term%3DN%252FA%26utm_campaign%3DAth_boost%2B%2526%2Bverv%2Ben%2Bvenn_mar25%26utm_content%3DAth_leve_mars25_BOOST1_Verv_en_Venn_GR%25C3%2585_EN,,Valid,Human,Manual,2025,Follow the link
Nicoline Meisl har delt Oppnevning av sensor - ACIT - Stian med deg,"Nicoline Meisl har delt en fil med deg Hei igjen! Jeg har fått beskjed om at du skal være sensor i emnet ACIT4015. Jeg trenger derfor info fra deg, det er fint om du kan fylle ut info i skjemaet, i feltene under navnet ditt. Husk 11 siffer personnummer. + send meg din CV, eller lim den inn i oppnevningsskjemaet. Hilsen Nicoline icon Oppnevning av sensor - ACIT - Stian permission globe icon Koblingen fungerer bare for direkte mottakere av denne meldingen. Åpne",0,fuzzer-LLM,115,nimei2422@oslomet.no,https://hioa365.sharepoint.com/:w:/s/SensoradministrasjonTKD/sensortkd/sensorertkd/EfZV21AglxpIn0Ag25fu8V0BAXk4qyt7cD04M0fPiKjxdQ?e=4%3aJjyoxW&at=9,,Valid,Human,Manual,2025,Follow the link
