Subject,Body,label,data_source
Expanding our partnership,Very pleased with service quality. Looking to double our monthly orders. Can we discuss volume discounts?,0,uberjugaad
Excellent service - increasing orders,Your team has been outstanding. We are making you our primary supplier.,0,uberjugaad
Product specifications do not match requirements,The items received do not meet our specifications. This is not what we ordered based on the quote. We need to return these items.,0,uberjugaad
Cancelling remaining orders,"Due to issues with initial orders, we are cancelling all pending orders. Please confirm cancellation.",0,uberjugaad
Billing entity clarification needed,There is confusion about which entity should be billed. We have multiple divisions ordering. Please clarify the billing structure.,0,uberjugaad
Consolidate orders across divisions,We need to consolidate orders from our various divisions for better pricing. Can we set up a master agreement?,0,uberjugaad
No longer requiring your services,We have found an alternative supplier. Thank you for your past service.,0,uberjugaad
Account closure notification,We have decided to close our account. Please process final invoices and confirm account closure.,0,uberjugaad
Q4 volume increase,Preparing for seasonal demand. Will need 3x normal volume for Q4. Please confirm capacity.,0,uberjugaad
Invoice routing issues,Invoices going to wrong entity. Ship-to and bill-to are different companies in our group. Please update.,0,uberjugaad
Request for quotation,Please provide quote for attached list. Need pricing and lead time.,0,uberjugaad
Large volume order - special terms needed,"Placing order for 10,000 units. Need special pricing and extended payment terms for this volume.",0,uberjugaad
URGENT EXPEDITE REQUEST,Customer threatening to cancel $1M contract. MUST have delivery tomorrow. Authorize overtime/air freight.,0,uberjugaad
Order status inquiry,Can you provide status update on our recent order? Need ETA for planning.,0,uberjugaad
Confirming delivery schedule,Received order confirmation. Delivery date works perfectly. Appreciate the consistency.,0,uberjugaad
Monthly standard order,Please process our standard monthly order. Same as last month. Thanks!,0,uberjugaad
Reducing order volumes,"Due to ongoing issues, reducing orders by 75%. Will source remainder from competitors.",0,uberjugaad
Unacceptable service levels,Quality and delivery issues continue despite multiple complaints. Reviewing alternative suppliers.,0,uberjugaad
Customer issue: First Shop Inc - Product specifications do not match requirements,"FYI - Customer complaint received:

Customer: First Shop Inc
Issue: Product specifications do not match requirements
Severity: 4/5

Please review and advise if escalation needed.

Lorenzo Kranz",0,uberjugaad
Customer issue: First Shop Inc - Cancelling remaining orders,"FYI - Customer complaint received:

Customer: First Shop Inc
Issue: Cancelling remaining orders
Severity: 3/5

Please review and advise if escalation needed.

Amy Klapp",0,uberjugaad
Customer issue: First Shop Inc - Product specifications do not match requirements,"FYI - Customer complaint received:

Customer: First Shop Inc
Issue: Product specifications do not match requirements
Severity: 4/5

Please review and advise if escalation needed.

Alicia Mühle",0,uberjugaad
Customer issue: First Shop Inc - Product specifications do not match requirements,"FYI - Customer complaint received:

Customer: First Shop Inc
Issue: Product specifications do not match requirements
Severity: 4/5

Please review and advise if escalation needed.

Isa Powell",0,uberjugaad
Customer issue: Davis Equipment Inc - Billing entity clarification needed,"FYI - Customer complaint received:

Customer: Davis Equipment Inc
Issue: Billing entity clarification needed
Severity: 4/5

Please review and advise if escalation needed.

Vincent auch Schlauchin",0,uberjugaad
