row_number,source_kind,source_path,source_row_number,subject,AI Verdict,AI Confidence,AI Phishing Score (0-10),AI Identified Brands,Key Suspicious Elements Cited by AI,AI Explanation,official_status,official_error,official_returncode
1,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,1,Email jose@monkey.org,SUSPICIOUS,75.0,7,,Missing standard 'Date' header | Missing standard 'Message-ID' header | Urgency in body text ('Your password has Expired') | Repeated call to action ('CLICK HERE') without specifying a legitimate brand | SPF check failed (not_found) | DKIM check failed (not_found),"The email lacks standard headers like 'Date' and 'Message-ID', which is unusual and raises suspicion. The body contains urgent language ('Your password has Expired') and a repeated call to action ('CLICK HERE') without specifying a legitimate brand or domain. Authentication checks (SPF, DKIM) are missing, and while DMARC policy is present, it does not confirm the email's legitimacy due to the lack of SPF and DKIM. The absence of attachments reduces risk, but the overall structure and content suggest a phishing attempt.",Analysis completed successfully,,0
2,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,2,[Email notification]:Incoming Massage Blocked,MALICIOUS,90.0,8,Generic email service provider,Typo in subject ('Massage' instead of 'Message') | Urgency in body text | Suspicious link to verify email and password | Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed | DKIM check failed | DMARC policy set to reject,"The email exhibits multiple phishing indicators: the subject contains a typo ('Massage' instead of 'Message'), the body urges immediate action with a suspicious link to verify email and password, and the email lacks standard headers like 'Date' and 'Message-ID'. Additionally, SPF and DKIM checks failed, and the DMARC policy is set to reject, further raising suspicions. The email appears to impersonate a generic email service provider.",Analysis completed successfully,,0
3,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,3,Adobe Acrobat Reader Security update,SUSPICIOUS,80.0,7,Adobe | Microsoft,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found | Urgency in body text | Poor grammar in body text | Brand impersonation of Adobe and Microsoft,"The email lacks standard headers ('Date' and 'Message-ID'), and authentication checks (SPF and DKIM) are not found, which is unusual for legitimate emails. The body text contains urgent language ('Your account will be blocked if no action is taken within this time frame') and poor grammar ('To be upto date'), which are common phishing tactics. Although no links or attachments are present, the impersonation of Adobe and Microsoft brands raises suspicion.",Analysis completed successfully,,0
4,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,4,Carson (Co-Founder) has left a message for you on your WA profile,SUSPICIOUS,65.0,3,Instagram | Wealthy Affiliate,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed for domain example.com | DKIM check failed for domain example.com | Link domain my.wealthyaffiliate.com differs from mentioned brand instagram.com,"The email lacks standard headers ('Date', 'Message-ID') and fails SPF and DKIM authentication checks, which raises concerns. The body mentions Instagram but links to a different domain (my.wealthyaffiliate.com), creating a mismatch. However, no malicious attachments were found, and the link's VT status is inconclusive due to API key issues.",Analysis completed successfully,,0
5,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,5,Please confirm your email ⚠️,CLEAN,80.0,2,Ipsos iSay,SPF: not_found | DKIM: not_found | Missing standard 'Date' header | Missing standard 'Message-ID' header,"The email appears to be a legitimate communication from Ipsos iSay, encouraging users to confirm their email. The body content is consistent with Ipsos iSay's branding and does not contain urgent language or grammatical errors. No suspicious links or attachments were found. However, the absence of SPF and DKIM authentication, along with missing standard headers like 'Date' and 'Message-ID', raises minor concerns. These issues alone do not definitively indicate phishing, especially given the otherwise clean content.",Analysis completed successfully,,0
6,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,6,Re: [spambayes-dev] [patches] IMAP and train-to-exhaustion,CLEAN,95.0,1,Python,SPF: not_found | DKIM: not_found | Missing 'Date' header | Missing 'Message-ID' header,"The email appears to be a legitimate communication related to a software development mailing list. The content is technical and relevant to the subject line. No suspicious links or attachments were found. The absence of SPF and DKIM records is noted, but the DMARC policy is correctly configured and set to 'reject'. Missing 'Date' and 'Message-ID' headers are unusual but not inherently malicious in this context.",Analysis completed successfully,,0
7,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,7,How To Attack Your Job Search,CLEAN,85.0,2,JobSeeker Weekly,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email lacks standard headers like 'Date' and 'Message-ID', and SPF/DKIM authentication checks were not found, which raises minor concerns. However, DMARC policy is correctly configured to reject, suggesting the domain is legitimate. The body content appears to be a typical newsletter promoting job search tools, with no urgent language, poor grammar, or suspicious requests. Links point to 'jobseekerweekly.com', which aligns with the email's context, and no attachments are present. Overall, the email seems legitimate despite minor header anomalies.",Analysis completed successfully,,0
8,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,8,NAVY FCU Account Monitoring - You have a new transaction for review.,SUSPICIOUS,75.0,6,Navy Federal Credit Union,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed | DKIM check failed | Grammatical error in body text ('Departement') | Urgency in body text | Brand impersonation (Navy Federal Credit Union),"The email lacks standard headers ('Date' and 'Message-ID'), which is unusual for legitimate communications. The SPF and DKIM authentication checks failed, indicating potential email spoofing. The body text contains grammatical errors ('Departement' instead of 'Department') and urges the recipient to download a PDF file, which is a common phishing tactic. However, no actual attachment was found, reducing the immediate risk. The email impersonates Navy Federal Credit Union, a known brand.",Analysis completed successfully,,0
9,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,9,It’s not too late to plan for the long weekend ☀️,CLEAN,95.0,1,,SPF: not_found | DKIM: not_found | Missing standard 'Date' header | Missing standard 'Message-ID' header,"The email lacks phishing indicators such as suspicious links, urgent language, or mismatched domains. The absence of SPF and DKIM records is notable but not conclusive evidence of phishing, especially given the presence of a DMARC policy. The body content appears benign and relevant to the subject, with no signs of brand impersonation or typosquatting. No attachments were found, eliminating risks associated with malicious files.",Analysis completed successfully,,0
10,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,10,Re: A few multiple dispatch questions,CLEAN,95.0,0,,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF not_found | DKIM not_found,"The email appears to be a legitimate technical discussion with no signs of phishing. The headers lack standard fields like 'Date' and 'Message-ID', but this is not inherently suspicious. Authentication checks (SPF, DKIM) were not found, but DMARC policy is present and set to reject, which is a positive sign. The body contains a technical discussion snippet with no urgency, poor grammar, or suspicious links. No attachments were found.",Analysis completed successfully,,0
11,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,11,[opensuse] Re: [opensuse-kde] KDE:KDE4 deleted,CLEAN,95.0,1,openSUSE | KDE,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF: not_found | DKIM: not_found,"The email appears to be a legitimate discussion thread related to openSUSE and KDE. No suspicious links, attachments, or phishing indicators were found. The absence of SPF and DKIM records is noted but does not necessarily indicate malicious intent. The email lacks urgency, poor grammar, or mismatched domains. The link points to a legitimate openSUSE mailing list archive.",Analysis completed successfully,,0
12,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,12,[IRR] Klez: The Virus That Won't Die,CLEAN,95.0,0,PC World | Symantec | McAfee,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email appears to be a legitimate historical article about the Klez virus, referencing reputable sources like PC World magazine and antivirus software makers Symantec and McAfee. No suspicious links or attachments were found. Missing standard headers like 'Date' and 'Message-ID' are unusual but not inherently malicious. Authentication checks (SPF, DKIM) were not found, but DMARC policy is set to reject, which aligns with the sender's domain.",Analysis completed successfully,,0
13,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,13,Re: Strange headers on mail from SA users list,CLEAN,95.0,0,,Missing 'Date' header | Missing 'Message-ID' header | SPF check not found | DKIM check not found,"The email appears to be a legitimate discussion thread with no phishing indicators. Missing headers like 'Date' and 'Message-ID' are unusual but not inherently malicious. No suspicious links, attachments, or brand impersonation detected. Authentication checks (SPF, DKIM) are missing, but DMARC policy is present and set to 'reject', which is a good security practice.",Analysis completed successfully,,0
14,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,14,"Online Approval for $5000 Now MIME-Version: 1.0 X-Keywords: Content-Type: text/html; charset=us-ascii Content-Transfer-Encoding: 7bit <HTML><HEAD><TITLE>Free Card Search</TITLE> <META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1""> </HEAD><BODY BGCOLOR=""#000000""><div align=""center""> <a href=""http://mbf.%61%66%66%69%6c%69%61%74%65%6e%65%74%74%2e%63%6f%6d/fcard/""> <IMG SRC=""http://mbf.%61%66%66%69%6c%69%61%74%65%6e%65%74%74%2e%63%6f%6d/fcard/ad/new_fcard.jpg"" WIDTH=523 HEIGHT=373 border=""0""></a> </div><TABLE WIDTH=523 BORDER=0 CELLPADDING=0 CELLSPACING=0 align=""center""> <TR><td colspan=7 align=left><br><font color=""white"" size=""1"" face=""arial""> Sincerely,<BR><B>Your New Offers Staff</B><BR></FONT> <FONT SIZE=""-2""><A HREF=""mailto:montage@btamail.net.cn?subject=Remove"">Remove</A></FONT> </td></tr></TABLE></BODY></HTML>",MALICIOUS,95.0,8,,"Obfuscated URLs (hex encoding) | Missing standard headers (Date, Message-ID) | SPF check failed (not_found) | DKIM check failed (not_found) | Urgency in subject line ('Online Approval for $5000 Now')","The email exhibits multiple suspicious indicators, including obfuscated URLs (hex encoding), missing standard headers (Date, Message-ID), and failed SPF/DKIM authentication checks. The subject line uses urgent language ('Online Approval for $5000 Now'), and the email body contains obfuscated links that could lead to malicious sites. The absence of brand impersonation does not mitigate the other red flags.",Analysis completed successfully,,0
15,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,15,A New Wells Fargo. Bill Pay: Payee'(s) Added.,MALICIOUS,90.0,8,Wells Fargo,Mismatch From/Reply-To domains | Urgency in body text | SPF check failed for domain example.com | DKIM check failed for domain example.com | Missing standard 'Date' header | Missing standard 'Message-ID' header | Reference to non-existent attachment,"The email exhibits multiple suspicious indicators: it impersonates Wells Fargo, lacks standard headers ('Date' and 'Message-ID'), and fails SPF and DKIM authentication checks. The body contains urgent language prompting immediate action and references a non-existent attachment for verification, which is a common phishing tactic. The absence of attachments despite the instruction to download one further raises suspicion.",Analysis completed successfully,,0
16,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,16,Email Notification,SUSPICIOUS,80.0,7,,Missing standard 'Date' header | Missing standard 'Message-ID' header | Urgency in body text | Poor grammar in body text | SPF check failed | DKIM check failed,"The email lacks standard headers such as 'Date' and 'Message-ID', which is unusual and raises suspicion. The body text contains urgent language and poor grammar, suggesting a phishing attempt. Additionally, the SPF and DKIM authentication checks failed, indicating potential email spoofing. The DMARC policy is set to reject, but the lack of authentication increases the risk.",Analysis completed successfully,,0
17,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,17,Check your account,MALICIOUS,90.0,8,PayPal,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed for domain None | DKIM check failed for domain None | Urgency in body text | Placeholder text for dynamic content replacement | Brand impersonation of PayPal,"The email exhibits multiple suspicious indicators, including missing standard headers ('Date' and 'Message-ID'), failed SPF and DKIM authentication, and a DMARC policy that suggests strict rejection. The body content contains urgent language and mentions 'PayPal Secure Notice of changes to the PayPal user agreement,' which is a common phishing tactic. Additionally, the email includes placeholder text for dynamic content replacement, which is often used in phishing templates. The absence of links or attachments does not mitigate the overall suspicious nature of the email.",Analysis completed successfully,,0
18,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,18,How to prepare if the U.S. defaults; Ukraine's spring counteroffensive; Tributes pour in for Tina Turner,CLEAN,80.0,2,NPR,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email appears to be clean with no overt signs of phishing. The subject and body content are consistent with legitimate news updates. No suspicious links, attachments, or urgent language were detected. Authentication checks (SPF, DKIM) were not found, but DMARC policy is present and set to reject, which is a positive indicator. Missing standard headers like 'Date' and 'Message-ID' are noted but not inherently malicious.",Analysis completed successfully,,0
19,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,19,Warehouse Management Best Practices June 25 PM,CLEAN,80.0,2,,Missing SPF record | Missing DKIM record | Missing 'Date' header | Missing 'Message-ID' header,"The email appears to be a legitimate training announcement with links to Google Forms for registration. No suspicious elements were found in the body or links. The absence of SPF and DKIM records is notable but not definitive evidence of phishing, especially since DMARC policy is set to reject. Missing 'Date' and 'Message-ID' headers are unusual but not inherently malicious.",Analysis completed successfully,,0
20,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_001761_001780/chunk_input.csv,20,Norwegian partial refund N9LKOO,CLEAN,80.0,2,,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email lacks standard headers like 'Date' and 'Message-ID', and SPF/DKIM authentication checks were not found, which is suspicious. However, the body content appears legitimate, referencing a ticket refund request without urgency or grammatical errors. No attachments or links were present, reducing potential risks. The DMARC policy is set to reject, which adds a layer of security.",Analysis completed successfully,,0
