stage_group,stage,source,principle_group,left_principle,right_principle,value
S5,S5,HW,A-A,Authority,Authority,0.19426232550399997
S5,S5,HW,A-A,Authority,Authority,0.8594309730249999
S5,S5,HW,A-A,Authority,Authority,0.35243219559999994
S5,S5,HW,A-A,Authority,Authority,0.999744016384
S5,S5,HW,A-A,Authority,Authority,0.406810525489
S5,S5,HW,A-A,Authority,Authority,0.999930001225
S5,S5,HW,A-A,Authority,Authority,0.9990542237290001
S5,S5,HW,A-A,Authority,Authority,0.9599139815039999
S5,S5,HW,A-A,Authority,Authority,0.572656941081
S5,S5,HW,A-A,Authority,Authority,0.32842183256099994
S5,S5,HW,A-A,Authority,Authority,0.6060373382559999
S5,S5,HW,A-A,Authority,Authority,0.9880797364839999
S5,S5,HW,A-A,Authority,Authority,0.999950000625
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.6187458528159999
S5,S5,HW,A-A,Authority,Authority,0.9597670243290001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.999954000529
S5,S5,HW,A-A,Authority,Authority,0.9961297519690001
S5,S5,HW,A-A,Authority,Authority,0.9893365797160001
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.9371614610410001
S5,S5,HW,A-A,Authority,Authority,0.9075782235609999
S5,S5,HW,A-A,Authority,Authority,0.9934706929
S5,S5,HW,A-A,Authority,Authority,0.9885469820489999
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.694347225625
S5,S5,HW,A-A,Authority,Authority,0.999974000169
S5,S5,HW,A-A,Authority,Authority,0.6298914336489999
S5,S5,HW,A-A,Authority,Authority,0.939858508369
S5,S5,HW,A-A,Authority,Authority,0.40269812222499995
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.997469602756
S5,S5,HW,A-A,Authority,Authority,0.42706094300100006
S5,S5,HW,A-A,Authority,Authority,0.8683425588010001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.5779344484
S5,S5,HW,A-A,Authority,Authority,0.16513901512899998
S5,S5,HW,A-A,Authority,Authority,0.7897343688999999
S5,S5,HW,A-A,Authority,Authority,0.460241484921
S5,S5,HW,A-A,Authority,Authority,0.7780615980840001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.963497333241
S5,S5,HW,A-A,Authority,Authority,0.993554419984
S5,S5,HW,A-A,Authority,Authority,0.701471576521
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.33751103584899994
S5,S5,HW,A-A,Authority,Authority,0.682570087684
S5,S5,HW,A-A,Authority,Authority,0.551768181721
S5,S5,HW,A-A,Authority,Authority,0.8852363569
S5,S5,HW,A-A,Authority,Authority,0.168528312484
S5,S5,HW,A-A,Authority,Authority,0.19675789347600003
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.898884129025
S5,S5,HW,A-A,Authority,Authority,0.982519070841
S5,S5,HW,A-A,Authority,Authority,0.998002998001
S5,S5,HW,A-A,Authority,Authority,0.8906602875040001
S5,S5,HW,A-A,Authority,Authority,0.9999960000040001
S5,S5,HW,A-A,Authority,Authority,0.43774764062500005
S5,S5,HW,A-A,Authority,Authority,0.25838312259600005
S5,S5,HW,A-A,Authority,Authority,0.999984000064
S5,S5,HW,A-A,Authority,Authority,0.49050693104400006
S5,S5,HW,A-A,Authority,Authority,0.999968000256
S5,S5,HW,A-A,Authority,Authority,0.456602924176
S5,S5,HW,A-A,Authority,Authority,0.9999960000040001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.35705524668099997
S5,S5,HW,A-A,Authority,Authority,0.11396093156100001
S5,S5,HW,A-A,Authority,Authority,0.38715897284100004
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.9975754713689999
S5,S5,HW,A-A,Authority,Authority,0.9999420008410002
S5,S5,HW,A-A,Authority,Authority,0.41598759084099995
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.225793181329
S5,S5,HW,A-A,Authority,Authority,0.6599531406249999
S5,S5,HW,A-A,Authority,Authority,0.9957405454239999
S5,S5,HW,A-A,Authority,Authority,0.963621016164
S5,S5,HW,A-A,Authority,Authority,0.38167931120399995
S5,S5,HW,A-A,Authority,Authority,0.9999940000090001
S5,S5,HW,A-A,Authority,Authority,0.41000201859600005
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.49808729700899995
S5,S5,HW,A-A,Authority,Authority,0.9906977342439999
S5,S5,HW,A-A,Authority,Authority,0.988344164025
S5,S5,HW,A-A,Authority,Authority,0.809771416129
S5,S5,HW,A-A,Authority,Authority,0.999374097969
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.9177161006250001
S5,S5,HW,A-A,Authority,Authority,1.0
S5,S5,HW,A-A,Authority,Authority,0.968877987856
S5,S5,HW,A-A,Authority,Authority,0.432719258596
S5,S5,HW,A-A,Authority,Authority,0.898884129025
S5,S5,HW,A-A,Authority,Authority,0.888159226084
S5,S5,HW,A-A,Authority,Authority,0.766573793764
S5,S5,HW,A-A,Authority,Authority,0.7938613981210001
S5,S5,HW,A-A,Authority,Authority,0.997447630729
