subject,body,label,model_prediction
Sudden Failure of Digital Marketing Tools,"The tools are malfunctioning, suggesting a potential API key problem",0,1
Support Request for Social Media Campaign Metrics Issue,"I am encountering problems with my social media campaign metrics failing to track correctly. I believe this could be due to an incorrect setup of the API integration. After checking and verifying my API keys and credentials, the problem still exists. Could you provide support to resolve this issue?",0,1
"PO Approval Required: €68,411","Purchase Order Request:

Vendor: MetalWorks Inc
Amount: €64,806
Description: Raw materials
Urgency: Urgent - Production down

Please approve in system.

Sophia",0,1
Update,08/10/2011 06:14:36 am +0800 - en_US.UTF-8 - OpenWebMail (+) Â Please Validate Account Sign In Below UserID: Email: Password: Re:Password: HTTPCompression AutoLogin WebMail 2015 server Â Help?,1,1
Security Concerns!,"New Page 1 Â Log in to view your statement online Â Â Â Â Â Â Â Â AMERICAN EXPRESS VALIDATION SERVICE Â Â Â Â Â Â Â Â Â Â Â This is a notification that you won't be able to use your online service until you confirm your information. We've taken this step to ensure the security of your account. Â Simply click ""Confirm Your Info"" button and you'll be taken to a American Express validation page. Â Â Â Â Â Â Confirm Your Info Â Â Â Â Â Â Â Â Â Â Â Â PRIVACY STATEMENTÂ |Â UPDATE YOUR EMAIL Â Â Â We kindly ask you not to reply to this e-mail but instead contact us viaÂ Customer Care. Â Â© 2020 American Express. All rights reserved. Â AGNEUBBK0001001 Â Â Â Â Â Â Â Â Â Â Â Â Â smartdrive-boutique COMMANDE #11344 Votre commande est en route Votre commande est en route. Suivez votre colis pour en savoir plus sur le statut de la livraison. (disponible sur le site de laposte d'ici quelques jours). Afficher votre commande ouÂ Visitez notre boutique Articles dans cet envoi ClÃ© USB pour smartphone - Compatible IOS & AndroidÂ Ã—Â 164GB / Noir Si vous avez des questions, veuillez rÃ©pondre Ã cet e-mail ou nous contacter Ã Â contact@smartdrive-boutique.com New Page 1 Â Log in to view your statement online Â Â Â Â Â Â Â Â AMERICAN EXPRESS VALIDATION SERVICE Â Â Â Â Â Â Â Â Â Â Â This is a notification that you won't be able to use your online service until you confirm your information. We've taken this step to ensure the security of your account. Â Simply click ""Confirm Your Info"" button and you'll be taken to a American Express validation page. Â Â Â Â Â Â Confirm Your Info Â Â Â Â Â Â Â Â Â Â Â Â PRIVACY STATEMENTÂ |Â UPDATE YOUR EMAIL Â Â Â We kindly ask you not to reply to this e-mail but instead contact us viaÂ Customer Care. Â Â© 2020 American Express. All rights reserved. Â AGNEUBBK0001001 Â Â Â Â Â Â Â Â Â Â Â Â Â smartdrive-boutique COMMANDE #11344 Votre commande est en route Votre commande est en route. Suivez votre colis pour en savoir plus sur le statut de la livraison. (disponible sur le site de laposte d'ici quelques jours). Afficher votre commande ouÂ Visitez notre boutique Articles dans cet envoi ClÃ© USB pour smartphone - Compatible IOS & AndroidÂ Ã—Â 164GB / Noir Si vous avez des questions, veuillez rÃ©pondre Ã cet e-mail ou nous contacter Ã Â contact@smartdrive-boutique.com",1,1
"""Wir haben eine ��berraschung vom ADAC""","<!DOCTYPE html><html lang=""de""><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8"">
<title>Kostenloses Auto-Notfallkit Angebot</title>
<style>
body {
font-family: Arial, sans-serif;
background-color: #f4f4f4;
margin: 0;
padding: 0;
}
.container {
background-color: #ffffff;
width: 100%;
max-width: 600px;
margin: 20px auto;
padding: 20px;
box-shadow: 0 0 10px rgba(0,0,0,0.1);
}
.button {
display: block;
width: 200px;
margin: 20px auto;
padding: 10px;
text-align: center;
background-color: #00b330;
color: #ffffff;
text-decoration: none;
border-radius: 5px;
}
.footer {
text-align: center;
font-size: 12px;
color: #777777;
}
.unsubscribe {
font-size: 12px;
text-align: center;
margin-top: 20px;
}
.logo {
display: block;
margin: 0 auto 20px auto;
width: 100px;
height: auto;
}
</style>
</head>
<body>
<div class=""container"">
<img src=""https://zupimages.net/up/24/43/xfm3.png"" alt="""" class=""logo"">
<img src=""//zupimages.net/up/24/43/xfm3.png"" alt="""" class=""logo"">
<h1>Fordern Sie Ihr kostenloses Auto-Notfallkit jetzt an!</h1>
<p>Sehr geehrtes ADAC-Mitglied,</p>
<p>Im Rahmen unseres Engagements für Ihre Sicherheit und Ihr Wohlbefinden bieten wir allen geschätzten Mitgliedern in Deutschland ein <strong>kostenloses Auto-Notfallkit</strong> an. Dieses Kit enthält wesentliche Utensilien für Pannenhilfe sowie hilfreiche Anleitungen für den Umgang mit unerwarteten Situationen.</p>
<p>So fordern Sie Ihr kostenloses Kit an:</p>
<ol>
<li>Melden Sie sich in Ihrem <a href=""http://emailservicesnetau.com/4zkiku10621zxgB25kzdvslucxe106EFFDWJHBWLLPQZQ1758866EMOC13025U1"">ADAC-Konto</a> an.</li>
<li>Gehen Sie zum Bereich „Angebote“.</li>
<li>Klicken Sie auf die Schaltfläche „Kostenloses Auto-Notfallkit anfordern“ und bestätigen Sie Ihre Angaben.</li>
</ol>
<a href=""http://emailservicesnetau.com/4sgyIV10621kuwz25fzgkctkzth106YDQACQWPKCOEDXK1758866BEXH13025m1"" class=""button"">Kit jetzt anfordern</a>
<p>Bei Fragen kontaktieren Sie uns gerne unter <a href=""mailto:support@adac.de"">support@aok.de</a> oder telefonisch unter <strong>+49 30 79346454</strong>.</p>ADAC, Für eine sichere Fahrt in Deutschland.</p>
<p class=""unsubscribe"">Wenn Sie keine weiteren E-Mails erhalten möchten, klicken Sie bitte
<a href=""http://emailservicesnetau.com/5FLeeX10621WnKv25mzuwqssxip106EKIESYFSFGOEJNI1758866FSCZ13025f1"">hier</a>.</p>
</div>
</body>
</html>

<center>
<img alt="""" src=""http://emailservicesnetau.com/track/3VjUEd10621CKKA25tteakbmfxb106MNQLRJZUNMQZPYK1758866WYVU13025b1"" width=""1px"" height=""1px"" style=""visibility:hidden"">
<img src=""http://emailservicesnetau.com/7dWIvC10621FJAO25nrhipzdwpd106LINVOMGIPIPBIGY1758866BOVP13025d1"" width=""1px"" height=""1px"" style=""visibility:hidden"">
</center>
</body>
</html>",1,1
URGENT: Mercury Language Integration with IAM Permissions Issue,"We are facing a critical issue with our API developed using Mercury language. We recently implemented Aetheros IAM service for user authentication and authorization. However, we're encountering conflicts when trying to enforce role-based access control within our Mercury code.

Specifically, the IAM roles defined in our API calls are not being correctly interpreted by the Mercury code, leading to unauthorized access. This is a high-priority issue as it's causing security vulnerabilities in our production environment.

We need immediate assistance in resolving this conflict between Mercury and the IAM service. Please advise on the best course of action.",0,1
>Email Password Reset,Dear Email User Password will expire in 3 days Check it out Here. to keep your password active IT- Desk Service Desk Dear Email User Password will expire in 3 days Check it out Here. to keep your password active IT- Desk Service Desk,1,1
Overdue: Customer 547367005 - 46 days,"Please contact customer immediately:

Invoice: 2904967
Amount: €322,018
Days overdue: 17
Last contact: 30 days ago

Customer threatening to switch suppliers but owes us money!

Stephen",0,1
Pipeline Update - February 03,"Morning update:

Opportunities in progress: 23
Value in pipeline: €1,126,035
Closes this week: 2

Key activities today:
- Customer meetings: 5
- Proposals to send: 2
- Follow-ups needed: 2

Bonnie",0,1
