row_number,source_path,source_row_number,dataset_name,subject,label,data_source,prediction,probability,confidence,digit_count,domain_age,domain_length,email_length,has_attachment,html_tags,hyphen_count,link_density,links_count,sender_domain,special_chars,subdomain_count,subject_length,urgent_keywords,http_status,response_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,1,phishing_email_agent_000201_000300_chunk_input,"POR FAVOR, VERIFIQUE SE VOCÊ RECEBEU MINHA PRIMEIRA MENSAGEM PARA VOCÊ, SE SIM, VOLTE PARA MIM",1,phishing_pot,legitimate,0.2466280283314785,0.7533719716685214,0,0,9,368,0,0,0,0.0,0,gmail.com,11,1,94,0,200,
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,2,phishing_email_agent_000201_000300_chunk_input,Overdue: Customer 563282209 - 17 days,0,uberjugaad,legitimate,0.4998986874298703,0.5001013125701297,0,0,0,184,0,0,0,0.0,0,,7,0,37,1,200,
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,3,phishing_email_agent_000201_000300_chunk_input,verification for jose@monkey.org needed,1,phishpuzzer,phishing,0.5845119623044384,0.5845119623044384,0,0,10,1596,0,0,0,0.0,0,monkey.org,73,1,39,1,200,
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,4,phishing_email_agent_000201_000300_chunk_input,Update Your cPanel Portal.,1,phishpuzzer,legitimate,0.47151984055621987,0.5284801594437801,0,0,0,450,0,0,0,0.0,0,,8,0,26,1,200,
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,5,phishing_email_agent_000201_000300_chunk_input,"phishing@pot-f-p , 750��� Amazon Gutschein gewinnen..",1,phishing_pot,legitimate,0.4510232779242294,0.5489767220757706,1,0,6,6861,0,158,0,0.0010201107548819587,7,www.w3.org,1193,1,53,0,200,
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,6,phishing_email_agent_000201_000300_chunk_input,Request for Detailed Information on Data Analytics Service,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,609,0,0,0,0.0,0,,8,0,58,0,200,
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,7,phishing_email_agent_000201_000300_chunk_input,"PO Approval Required: €65,350",0,uberjugaad,phishing,0.5386088203822,0.5386088203822,0,0,0,167,0,0,0,0.0,0,,7,0,29,1,200,
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,8,phishing_email_agent_000201_000300_chunk_input,Discussion on Marketing Campaign Support,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,226,0,0,0,0.0,0,,4,0,40,0,200,
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,9,phishing_email_agent_000201_000300_chunk_input,Dernier avertissement : Votre abonnement a été suspendu [DD-992116-D9058],1,nazario,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,562,0,0,0,0.0,0,,16,0,73,0,200,
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,10,phishing_email_agent_000201_000300_chunk_input,Support for Optimizing Investment Analysis with MATLAB and Zoho CRM,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,185,0,0,0,0.0,0,,2,0,67,0,200,
11,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,11,phishing_email_agent_000201_000300_chunk_input,Partnership,1,phishpuzzer,legitimate,0.4573762608854715,0.5426237391145285,0,0,9,2349,0,0,0,0.0,0,yahoo.com,53,1,11,1,200,
12,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,12,phishing_email_agent_000201_000300_chunk_input,FREE PIANO DONATION.!!!,1,cmu-archived-phish,legitimate,0.41489558388775594,0.5851044161122441,0,0,7,356,0,0,0,0.0028011204481792717,1,www.cmu.edu,23,1,23,0,200,
13,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000201_000300/chunk_input.csv,13,phishing_email_agent_000201_000300_chunk_input,Recommendations from your Substacks,1,phishpuzzer,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,891,0,0,0,0.0,0,,17,0,35,0,200,
